排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,75548,-4805.0,2025-12-25,LC2605,空单持仓,LC
2,国泰君安期货,71229,-7168.0,2025-12-25,LC2605,空单持仓,LC
3,广发期货,48837,-1645.0,2025-12-25,LC2605,空单持仓,LC
4,东证期货,42641,-1785.0,2025-12-25,LC2605,空单持仓,LC
5,瑞达期货,31033,-448.0,2025-12-25,LC2605,空单持仓,LC
6,五矿期货,31000,-1606.0,2025-12-25,LC2605,空单持仓,LC
7,华泰期货,29362,-689.0,2025-12-25,LC2605,空单持仓,LC
8,银河期货,28471,735.0,2025-12-25,LC2605,空单持仓,LC
9,中粮期货,24128,-1349.0,2025-12-25,LC2605,空单持仓,LC
10,中信建投,19281,571.0,2025-12-25,LC2605,空单持仓,LC
11,国贸期货,16104,-489.0,2025-12-25,LC2605,空单持仓,LC
12,永安期货,13862,358.0,2025-12-25,LC2605,空单持仓,LC
13,方正中期,11041,-939.0,2025-12-25,LC2605,空单持仓,LC
14,弘业期货,9195,159.0,2025-12-25,LC2605,空单持仓,LC
15,浙商期货,8854,-3583.0,2025-12-25,LC2605,空单持仓,LC
16,光大期货,8068,-420.0,2025-12-25,LC2605,空单持仓,LC
17,国投期货,7737,-559.0,2025-12-25,LC2605,空单持仓,LC
18,海通期货,6562,-283.0,2025-12-25,LC2605,空单持仓,LC
19,物产中大期货,5874,-169.0,2025-12-25,LC2605,空单持仓,LC
20,东吴期货,4987,-270.0,2025-12-25,LC2605,空单持仓,LC
1,中信期货,74675,-873.0,2025-12-26,LC2605,空单持仓,LC
2,国泰君安期货,68280,-2949.0,2025-12-26,LC2605,空单持仓,LC
3,广发期货,47655,-1182.0,2025-12-26,LC2605,空单持仓,LC
4,东证期货,40400,-2241.0,2025-12-26,LC2605,空单持仓,LC
5,瑞达期货,31235,202.0,2025-12-26,LC2605,空单持仓,LC
6,五矿期货,29897,-1103.0,2025-12-26,LC2605,空单持仓,LC
7,华泰期货,29413,51.0,2025-12-26,LC2605,空单持仓,LC
8,银河期货,27263,-1208.0,2025-12-26,LC2605,空单持仓,LC
9,中粮期货,23955,-173.0,2025-12-26,LC2605,空单持仓,LC
10,中信建投,18417,-864.0,2025-12-26,LC2605,空单持仓,LC
11,国贸期货,13973,-2131.0,2025-12-26,LC2605,空单持仓,LC
12,方正中期,11358,317.0,2025-12-26,LC2605,空单持仓,LC
13,永安期货,11109,-2753.0,2025-12-26,LC2605,空单持仓,LC
14,弘业期货,9016,-179.0,2025-12-26,LC2605,空单持仓,LC
15,浙商期货,8361,-493.0,2025-12-26,LC2605,空单持仓,LC
16,光大期货,8109,41.0,2025-12-26,LC2605,空单持仓,LC
17,国投期货,7350,-387.0,2025-12-26,LC2605,空单持仓,LC
18,物产中大期货,5870,-4.0,2025-12-26,LC2605,空单持仓,LC
19,海通期货,5165,-1397.0,2025-12-26,LC2605,空单持仓,LC
20,东吴期货,4662,-325.0,2025-12-26,LC2605,空单持仓,LC
1,中信期货,69566,-5109.0,2025-12-29,LC2605,空单持仓,LC
2,国泰君安期货,66675,-1605.0,2025-12-29,LC2605,空单持仓,LC
3,广发期货,43405,-4250.0,2025-12-29,LC2605,空单持仓,LC
4,东证期货,36299,-4101.0,2025-12-29,LC2605,空单持仓,LC
5,瑞达期货,29926,-1309.0,2025-12-29,LC2605,空单持仓,LC
6,五矿期货,29295,-602.0,2025-12-29,LC2605,空单持仓,LC
7,华泰期货,26649,-2764.0,2025-12-29,LC2605,空单持仓,LC
8,银河期货,24558,-2705.0,2025-12-29,LC2605,空单持仓,LC
9,中粮期货,22599,-1356.0,2025-12-29,LC2605,空单持仓,LC
10,中信建投,16058,-2359.0,2025-12-29,LC2605,空单持仓,LC
11,国贸期货,13402,-571.0,2025-12-29,LC2605,空单持仓,LC
