排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,148560,-15896.0,2025-12-25,LC2605,成交量,LC
2,国泰君安期货,144460,-8132.0,2025-12-25,LC2605,成交量,LC
3,东证期货,86893,-332.0,2025-12-25,LC2605,成交量,LC
4,广发期货,78567,-33374.0,2025-12-25,LC2605,成交量,LC
5,银河期货,63747,3863.0,2025-12-25,LC2605,成交量,LC
6,中信建投,62017,8120.0,2025-12-25,LC2605,成交量,LC
7,徽商期货,55125,1621.0,2025-12-25,LC2605,成交量,LC
8,方正中期,45802,8165.0,2025-12-25,LC2605,成交量,LC
9,华闻期货,42768,-13990.0,2025-12-25,LC2605,成交量,LC
10,东方财富期货,39058,1466.0,2025-12-25,LC2605,成交量,LC
11,华泰期货,37985,-4353.0,2025-12-25,LC2605,成交量,LC
12,宝城期货,32665,-5575.0,2025-12-25,LC2605,成交量,LC
13,中泰期货,31683,-15104.0,2025-12-25,LC2605,成交量,LC
14,东吴期货,29869,-4678.0,2025-12-25,LC2605,成交量,LC
15,国信期货,29422,1.0,2025-12-25,LC2605,成交量,LC
16,民生期货,28863,1662.0,2025-12-25,LC2605,成交量,LC
17,创元期货,27301,1111.0,2025-12-25,LC2605,成交量,LC
18,永安期货,26691,3755.0,2025-12-25,LC2605,成交量,LC
19,海通期货,25053,-2854.0,2025-12-25,LC2605,成交量,LC
20,瑞达期货,25008,2932.0,2025-12-25,LC2605,成交量,LC
1,中信期货,75179,-73381.0,2025-12-26,LC2605,成交量,LC
2,国泰君安期货,59708,-84752.0,2025-12-26,LC2605,成交量,LC
3,东证期货,42477,-44416.0,2025-12-26,LC2605,成交量,LC
4,广发期货,34816,-43751.0,2025-12-26,LC2605,成交量,LC
5,中信建投,30369,-31648.0,2025-12-26,LC2605,成交量,LC
6,银河期货,26699,-37048.0,2025-12-26,LC2605,成交量,LC
7,方正中期,20832,-24970.0,2025-12-26,LC2605,成交量,LC
8,徽商期货,20164,-34961.0,2025-12-26,LC2605,成交量,LC
9,华泰期货,19384,-18601.0,2025-12-26,LC2605,成交量,LC
10,永安期货,18010,-8681.0,2025-12-26,LC2605,成交量,LC
11,中泰期货,17935,-13748.0,2025-12-26,LC2605,成交量,LC
12,华闻期货,17496,-25272.0,2025-12-26,LC2605,成交量,LC
13,海通期货,17342,-7711.0,2025-12-26,LC2605,成交量,LC
14,东吴期货,15581,-14288.0,2025-12-26,LC2605,成交量,LC
15,国信期货,15490,-13932.0,2025-12-26,LC2605,成交量,LC
16,东方财富期货,14667,-24391.0,2025-12-26,LC2605,成交量,LC
17,宝城期货,13834,-18831.0,2025-12-26,LC2605,成交量,LC
18,申银万国,10693,-9112.0,2025-12-26,LC2605,成交量,LC
19,光大期货,10690,-14011.0,2025-12-26,LC2605,成交量,LC
20,民生期货,10148,-18715.0,2025-12-26,LC2605,成交量,LC
1,国泰君安期货,126377,66669.0,2025-12-29,LC2605,成交量,LC
2,中信期货,103163,27984.0,2025-12-29,LC2605,成交量,LC
3,广发期货,74430,39614.0,2025-12-29,LC2605,成交量,LC
4,东证期货,57477,15000.0,2025-12-29,LC2605,成交量,LC
5,银河期货,50312,23613.0,2025-12-29,LC2605,成交量,LC
6,中信建投,45339,14970.0,2025-12-29,LC2605,成交量,LC
7,方正中期,35509,14677.0,2025-12-29,LC2605,成交量,LC
8,徽商期货,34287,14123.0,2025-12-29,LC2605,成交量,LC
9,华泰期货,31476,12092.0,2025-12-29,LC2605,成交量,LC
10,华闻期货,25781,8285.0,2025-12-29,LC2605,成交量,LC
11,宝城期货,25097,11263.0,2025-12-29,LC2605,成交量,LC
12,东吴期货,21917,6336.0,2025-12-29,LC2605,成交量,LC
13,永安期货,21913,3903.0,2025-12-29,LC2605,成交量,LC
14,中泰期货,20898,2963.0,2025-12-29,LC2605,成交量,LC
15,东方财富期货,20812,6145.0,2025-12-29,LC2605,成交量,LC
16,海通期货,20725,3383.0,2025-12-29,LC2605,成交量,LC
17,国信期货,19572,4082.0,2025-12-29,LC2605,成交量,LC
18,申银万国,18464,7771.0,2025-12-29,LC2605,成交量,LC
19,中辉期货,18134,7995.0,2025-12-29,LC2605,成交量,LC
20,渤海期货,17893,8861.0,2025-12-29,LC2605,成交量,LC
1,国泰君安期货,83664,-42713.0,2025-12-30,LC2605,成交量,LC
2,中信期货,82913,-20250.0,2025-12-30,LC2605,成交量,LC
3,广发期货,42469,-31961.0,2025-12-30,LC2605,成交量,LC
4,东证期货,38759,-18718.0,2025-12-30,LC2605,成交量,LC
5,银河期货,31517,-18795.0,2025-12-30,LC2605,成交量,LC
6,中信建投,26062,-19277.0,2025-12-30,LC2605,成交量,LC
7,徽商期货,24622,-9665.0,2025-12-30,LC2605,成交量,LC
8,华闻期货,23588,-2193.0,2025-12-30,LC2605,成交量,LC
9,方正中期,20756,-14753.0,2025-12-30,LC2605,成交量,LC
10,东方财富期货,17683,-3129.0,2025-12-30,LC2605,成交量,LC
11,华泰期货,17456,-14020.0,2025-12-30,LC2605,成交量,LC
12,宝城期货,17056,-8041.0,2025-12-30,LC2605,成交量,LC
13,中泰期货,16355,-4543.0,2025-12-30,LC2605,成交量,LC
14,海通期货,15090,-5635.0,2025-12-30,LC2605,成交量,LC
15,国信期货,14977,-4595.0,2025-12-30,LC2605,成交量,LC
16,东吴期货,14769,-7148.0,2025-12-30,LC2605,成交量,LC
17,民生期货,13400,-3281.0,2025-12-30,LC2605,成交量,LC
18,创元期货,13234,-3564.0,2025-12-30,LC2605,成交量,LC
19,永安期货,12630,-9283.0,2025-12-30,LC2605,成交量,LC
20,宏源期货,11370,-2694.0,2025-12-30,LC2605,成交量,LC
1,中信期货,71758,-11155.0,2025-12-31,LC2605,成交量,LC
