排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,11177,425.0,2025-12-25,lh2603,多单持仓,LH
2,国泰君安,10797,-94.0,2025-12-25,lh2603,多单持仓,LH
3,中信建投,6145,-10.0,2025-12-25,lh2603,多单持仓,LH
4,方正中期,5815,-16.0,2025-12-25,lh2603,多单持仓,LH
5,东方财富,5584,244.0,2025-12-25,lh2603,多单持仓,LH
6,银河期货,5406,-285.0,2025-12-25,lh2603,多单持仓,LH
7,东证期货,4757,482.0,2025-12-25,lh2603,多单持仓,LH
8,广发期货,4271,280.0,2025-12-25,lh2603,多单持仓,LH
9,海通期货,4189,-308.0,2025-12-25,lh2603,多单持仓,LH
10,招商期货,4113,-49.0,2025-12-25,lh2603,多单持仓,LH
11,中泰期货,3945,28.0,2025-12-25,lh2603,多单持仓,LH
12,长江期货,3710,-60.0,2025-12-25,lh2603,多单持仓,LH
13,徽商期货,3373,-20.0,2025-12-25,lh2603,多单持仓,LH
14,华泰期货,3364,198.0,2025-12-25,lh2603,多单持仓,LH
15,永安期货,3287,48.0,2025-12-25,lh2603,多单持仓,LH
16,南华期货,3082,2.0,2025-12-25,lh2603,多单持仓,LH
17,光大期货,2870,106.0,2025-12-25,lh2603,多单持仓,LH
18,国信期货,2766,42.0,2025-12-25,lh2603,多单持仓,LH
19,平安期货,2553,-15.0,2025-12-25,lh2603,多单持仓,LH
20,申银万国,2548,60.0,2025-12-25,lh2603,多单持仓,LH
1,中信期货,11835,658.0,2025-12-26,lh2603,多单持仓,LH
2,国泰君安,10823,26.0,2025-12-26,lh2603,多单持仓,LH
3,中信建投,6824,679.0,2025-12-26,lh2603,多单持仓,LH
4,方正中期,6008,193.0,2025-12-26,lh2603,多单持仓,LH
5,银河期货,5773,367.0,2025-12-26,lh2603,多单持仓,LH
6,东证期货,5435,678.0,2025-12-26,lh2603,多单持仓,LH
7,东方财富,5070,-514.0,2025-12-26,lh2603,多单持仓,LH
8,广发期货,4578,307.0,2025-12-26,lh2603,多单持仓,LH
9,海通期货,4559,370.0,2025-12-26,lh2603,多单持仓,LH
10,招商期货,4431,318.0,2025-12-26,lh2603,多单持仓,LH
11,中泰期货,3796,-149.0,2025-12-26,lh2603,多单持仓,LH
12,华泰期货,3715,351.0,2025-12-26,lh2603,多单持仓,LH
13,长江期货,3713,3.0,2025-12-26,lh2603,多单持仓,LH
14,徽商期货,3273,-100.0,2025-12-26,lh2603,多单持仓,LH
15,光大期货,3196,326.0,2025-12-26,lh2603,多单持仓,LH
16,南华期货,3179,97.0,2025-12-26,lh2603,多单持仓,LH
17,国信期货,2868,102.0,2025-12-26,lh2603,多单持仓,LH
18,永安期货,2864,-423.0,2025-12-26,lh2603,多单持仓,LH
19,申银万国,2493,-55.0,2025-12-26,lh2603,多单持仓,LH
20,平安期货,2446,-107.0,2025-12-26,lh2603,多单持仓,LH
1,中信期货,11470,-365.0,2025-12-29,lh2603,多单持仓,LH
2,国泰君安,10366,-457.0,2025-12-29,lh2603,多单持仓,LH
3,方正中期,6726,718.0,2025-12-29,lh2603,多单持仓,LH
4,中信建投,6642,-182.0,2025-12-29,lh2603,多单持仓,LH
5,银河期货,5940,167.0,2025-12-29,lh2603,多单持仓,LH
6,东方财富,5321,251.0,2025-12-29,lh2603,多单持仓,LH
