排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,18767,-247.0,2025-12-25,lh2603,空单持仓,LH
2,中信期货,13880,259.0,2025-12-25,lh2603,空单持仓,LH
3,永安期货,10528,646.0,2025-12-25,lh2603,空单持仓,LH
4,东证期货,7558,601.0,2025-12-25,lh2603,空单持仓,LH
5,中信建投,7332,165.0,2025-12-25,lh2603,空单持仓,LH
6,方正中期,4878,40.0,2025-12-25,lh2603,空单持仓,LH
7,银河期货,4102,-127.0,2025-12-25,lh2603,空单持仓,LH
8,中粮期货,3757,88.0,2025-12-25,lh2603,空单持仓,LH
9,中泰期货,3490,251.0,2025-12-25,lh2603,空单持仓,LH
10,长江期货,3397,33.0,2025-12-25,lh2603,空单持仓,LH
11,南华期货,3303,-49.0,2025-12-25,lh2603,空单持仓,LH
12,国投期货,3258,109.0,2025-12-25,lh2603,空单持仓,LH
13,华泰期货,3215,-269.0,2025-12-25,lh2603,空单持仓,LH
14,广发期货,3140,257.0,2025-12-25,lh2603,空单持仓,LH
15,中财期货,3011,135.0,2025-12-25,lh2603,空单持仓,LH
16,海通期货,2973,21.0,2025-12-25,lh2603,空单持仓,LH
17,招商期货,2963,-14.0,2025-12-25,lh2603,空单持仓,LH
18,光大期货,2676,177.0,2025-12-25,lh2603,空单持仓,LH
19,东吴期货,2554,99.0,2025-12-25,lh2603,空单持仓,LH
20,宝城期货,2494,-12.0,2025-12-25,lh2603,空单持仓,LH
1,国泰君安,20150,1383.0,2025-12-26,lh2603,空单持仓,LH
2,中信期货,14548,668.0,2025-12-26,lh2603,空单持仓,LH
3,永安期货,10830,302.0,2025-12-26,lh2603,空单持仓,LH
4,东证期货,8487,929.0,2025-12-26,lh2603,空单持仓,LH
5,中信建投,7643,311.0,2025-12-26,lh2603,空单持仓,LH
6,银河期货,4962,860.0,2025-12-26,lh2603,空单持仓,LH
7,方正中期,4791,-87.0,2025-12-26,lh2603,空单持仓,LH
8,中粮期货,4023,266.0,2025-12-26,lh2603,空单持仓,LH
9,中泰期货,3880,390.0,2025-12-26,lh2603,空单持仓,LH
10,长江期货,3411,14.0,2025-12-26,lh2603,空单持仓,LH
11,海通期货,3343,370.0,2025-12-26,lh2603,空单持仓,LH
12,广发期货,3336,196.0,2025-12-26,lh2603,空单持仓,LH
13,中财期货,3325,314.0,2025-12-26,lh2603,空单持仓,LH
14,南华期货,3235,-68.0,2025-12-26,lh2603,空单持仓,LH
15,国投期货,3224,-34.0,2025-12-26,lh2603,空单持仓,LH
16,招商期货,3219,256.0,2025-12-26,lh2603,空单持仓,LH
17,光大期货,2973,297.0,2025-12-26,lh2603,空单持仓,LH
18,华泰期货,2559,-656.0,2025-12-26,lh2603,空单持仓,LH
19,宝城期货,2489,-5.0,2025-12-26,lh2603,空单持仓,LH
20,东吴期货,2439,-115.0,2025-12-26,lh2603,空单持仓,LH
1,国泰君安,19539,-611.0,2025-12-29,lh2603,空单持仓,LH
2,中信期货,14104,-444.0,2025-12-29,lh2603,空单持仓,LH
3,永安期货,10965,135.0,2025-12-29,lh2603,空单持仓,LH
4,东证期货,8315,-172.0,2025-12-29,lh2603,空单持仓,LH
5,中信建投,7591,-52.0,2025-12-29,lh2603,空单持仓,LH
6,银河期货,5030,68.0,2025-12-29,lh2603,空单持仓,LH
7,方正中期,4782,-9.0,2025-12-29,lh2603,空单持仓,LH
8,中粮期货,3985,-38.0,2025-12-29,lh2603,空单持仓,LH
9,中泰期货,3800,-80.0,2025-12-29,lh2603,空单持仓,LH
10,中财期货,3370,45.0,2025-12-29,lh2603,空单持仓,LH
11,海通期货,3370,27.0,2025-12-29,lh2603,空单持仓,LH
12,国投期货,3282,58.0,2025-12-29,lh2603,空单持仓,LH
13,南华期货,3229,-6.0,2025-12-29,lh2603,空单持仓,LH
14,广发期货,3224,-112.0,2025-12-29,lh2603,空单持仓,LH
15,长江期货,3130,-281.0,2025-12-29,lh2603,空单持仓,LH
16,招商期货,2912,-307.0,2025-12-29,lh2603,空单持仓,LH
17,光大期货,2752,-221.0,2025-12-29,lh2603,空单持仓,LH
18,华泰期货,2666,107.0,2025-12-29,lh2603,空单持仓,LH
19,创元期货,2632,488.0,2025-12-29,lh2603,空单持仓,LH
20,东吴期货,2613,174.0,2025-12-29,lh2603,空单持仓,LH
1,国泰君安,18728,-811.0,2025-12-30,lh2603,空单持仓,LH
2,中信期货,14017,-87.0,2025-12-30,lh2603,空单持仓,LH
3,永安期货,11010,45.0,2025-12-30,lh2603,空单持仓,LH
4,东证期货,7883,-432.0,2025-12-30,lh2603,空单持仓,LH
5,中信建投,7830,239.0,2025-12-30,lh2603,空单持仓,LH
6,方正中期,4991,209.0,2025-12-30,lh2603,空单持仓,LH
7,银河期货,4676,-354.0,2025-12-30,lh2603,空单持仓,LH
8,中粮期货,3998,13.0,2025-12-30,lh2603,空单持仓,LH
9,中泰期货,3846,46.0,2025-12-30,lh2603,空单持仓,LH
10,广发期货,3304,80.0,2025-12-30,lh2603,空单持仓,LH
11,南华期货,3277,48.0,2025-12-30,lh2603,空单持仓,LH
12,国投期货,3271,-11.0,2025-12-30,lh2603,空单持仓,LH
13,中财期货,3216,-154.0,2025-12-30,lh2603,空单持仓,LH
14,长江期货,3203,73.0,2025-12-30,lh2603,空单持仓,LH
15,海通期货,3186,-184.0,2025-12-30,lh2603,空单持仓,LH
16,招商期货,2988,76.0,2025-12-30,lh2603,空单持仓,LH
17,光大期货,2735,-17.0,2025-12-30,lh2603,空单持仓,LH
18,创元期货,2607,-25.0,2025-12-30,lh2603,空单持仓,LH
19,东吴期货,2579,-34.0,2025-12-30,lh2603,空单持仓,LH
20,宝城期货,2429,-103.0,2025-12-30,lh2603,空单持仓,LH
