排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,17980,-2581.0,2025-12-25,lh2603,成交量,LH
2,国泰君安,10079,76.0,2025-12-25,lh2603,成交量,LH
3,南华期货,6445,-81.0,2025-12-25,lh2603,成交量,LH
4,东证期货,5739,-2077.0,2025-12-25,lh2603,成交量,LH
5,广发期货,5125,1275.0,2025-12-25,lh2603,成交量,LH
6,银河期货,4904,59.0,2025-12-25,lh2603,成交量,LH
7,中泰期货,3701,-37.0,2025-12-25,lh2603,成交量,LH
8,光大期货,3701,134.0,2025-12-25,lh2603,成交量,LH
9,海通期货,3569,-234.0,2025-12-25,lh2603,成交量,LH
10,中信建投,3507,671.0,2025-12-25,lh2603,成交量,LH
11,东方财富,3273,200.0,2025-12-25,lh2603,成交量,LH
12,华泰期货,3025,-24.0,2025-12-25,lh2603,成交量,LH
13,国信期货,2113,729.0,2025-12-25,lh2603,成交量,LH
14,方正中期,2024,-30.0,2025-12-25,lh2603,成交量,LH
15,中辉期货,1998,1312.0,2025-12-25,lh2603,成交量,LH
16,华闻期货,1921,-423.0,2025-12-25,lh2603,成交量,LH
17,徽商期货,1646,-584.0,2025-12-25,lh2603,成交量,LH
18,永安期货,1618,129.0,2025-12-25,lh2603,成交量,LH
19,平安期货,1549,7.0,2025-12-25,lh2603,成交量,LH
20,招商期货,1385,-73.0,2025-12-25,lh2603,成交量,LH
1,中信期货,25162,7182.0,2025-12-26,lh2603,成交量,LH
2,国泰君安,23299,13220.0,2025-12-26,lh2603,成交量,LH
3,东证期货,13515,7776.0,2025-12-26,lh2603,成交量,LH
4,南华期货,10805,4360.0,2025-12-26,lh2603,成交量,LH
5,银河期货,7883,2979.0,2025-12-26,lh2603,成交量,LH
6,中泰期货,7357,3656.0,2025-12-26,lh2603,成交量,LH
7,广发期货,7159,2034.0,2025-12-26,lh2603,成交量,LH
8,中信建投,6312,2805.0,2025-12-26,lh2603,成交量,LH
9,华泰期货,6219,3194.0,2025-12-26,lh2603,成交量,LH
10,方正中期,5688,3664.0,2025-12-26,lh2603,成交量,LH
11,海通期货,5618,2049.0,2025-12-26,lh2603,成交量,LH
12,东方财富,5298,2025.0,2025-12-26,lh2603,成交量,LH
13,光大期货,5275,1574.0,2025-12-26,lh2603,成交量,LH
14,永安期货,3717,2099.0,2025-12-26,lh2603,成交量,LH
15,徽商期货,3695,2049.0,2025-12-26,lh2603,成交量,LH
16,国信期货,3081,968.0,2025-12-26,lh2603,成交量,LH
17,中辉期货,2966,968.0,2025-12-26,lh2603,成交量,LH
18,东吴期货,2862,1554.0,2025-12-26,lh2603,成交量,LH
19,国元期货,2809,1515.0,2025-12-26,lh2603,成交量,LH
20,浙商期货,2729,1720.0,2025-12-26,lh2603,成交量,LH
1,中信期货,25936,774.0,2025-12-29,lh2603,成交量,LH
2,国泰君安,20586,-2713.0,2025-12-29,lh2603,成交量,LH
3,东证期货,13110,-405.0,2025-12-29,lh2603,成交量,LH
4,南华期货,9906,-899.0,2025-12-29,lh2603,成交量,LH
5,银河期货,8553,670.0,2025-12-29,lh2603,成交量,LH
6,广发期货,7384,225.0,2025-12-29,lh2603,成交量,LH
7,中泰期货,6834,-523.0,2025-12-29,lh2603,成交量,LH
8,海通期货,6367,749.0,2025-12-29,lh2603,成交量,LH
9,中信建投,6138,-174.0,2025-12-29,lh2603,成交量,LH
10,光大期货,5157,-118.0,2025-12-29,lh2603,成交量,LH
11,华泰期货,4677,-1542.0,2025-12-29,lh2603,成交量,LH
12,方正中期,4470,-1218.0,2025-12-29,lh2603,成交量,LH
13,东方财富,4245,-1053.0,2025-12-29,lh2603,成交量,LH
14,徽商期货,3099,-596.0,2025-12-29,lh2603,成交量,LH
15,永安期货,2716,-1001.0,2025-12-29,lh2603,成交量,LH
16,华闻期货,2541,465.0,2025-12-29,lh2603,成交量,LH
17,浙商期货,2450,-279.0,2025-12-29,lh2603,成交量,LH
18,平安期货,2276,-326.0,2025-12-29,lh2603,成交量,LH
19,国信期货,2239,-842.0,2025-12-29,lh2603,成交量,LH
20,招商期货,2160,-238.0,2025-12-29,lh2603,成交量,LH
1,中信期货,28449,2513.0,2025-12-30,lh2603,成交量,LH
2,国泰君安,18721,-1865.0,2025-12-30,lh2603,成交量,LH
3,东证期货,14579,1469.0,2025-12-30,lh2603,成交量,LH
4,银河期货,8635,82.0,2025-12-30,lh2603,成交量,LH
5,南华期货,7569,-2337.0,2025-12-30,lh2603,成交量,LH
6,广发期货,6704,-680.0,2025-12-30,lh2603,成交量,LH
7,中信建投,6576,438.0,2025-12-30,lh2603,成交量,LH
8,中泰期货,6362,-472.0,2025-12-30,lh2603,成交量,LH
9,光大期货,5567,410.0,2025-12-30,lh2603,成交量,LH
10,海通期货,5499,-868.0,2025-12-30,lh2603,成交量,LH
11,东方财富,5293,1048.0,2025-12-30,lh2603,成交量,LH
12,华泰期货,4914,237.0,2025-12-30,lh2603,成交量,LH
13,方正中期,4277,-193.0,2025-12-30,lh2603,成交量,LH
14,徽商期货,3444,345.0,2025-12-30,lh2603,成交量,LH
15,国信期货,2638,399.0,2025-12-30,lh2603,成交量,LH
16,东吴期货,2619,490.0,2025-12-30,lh2603,成交量,LH
17,华闻期货,2395,-146.0,2025-12-30,lh2603,成交量,LH
18,浙商期货,2287,-163.0,2025-12-30,lh2603,成交量,LH
19,招商期货,2229,69.0,2025-12-30,lh2603,成交量,LH
20,宏源期货,2139,142.0,2025-12-30,lh2603,成交量,LH
