排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,205929,11284.0,2025-12-25,m2605,多单持仓,M
2,东证期货,190311,7070.0,2025-12-25,m2605,多单持仓,M
3,国泰君安,164477,4311.0,2025-12-25,m2605,多单持仓,M
4,银河期货,78176,1714.0,2025-12-25,m2605,多单持仓,M
5,南华期货,76752,-2595.0,2025-12-25,m2605,多单持仓,M
6,国投期货,67950,2394.0,2025-12-25,m2605,多单持仓,M
7,中信建投,61001,-4113.0,2025-12-25,m2605,多单持仓,M
8,摩根大通,52241,1323.0,2025-12-25,m2605,多单持仓,M
9,中粮期货,45511,-3224.0,2025-12-25,m2605,多单持仓,M
10,广发期货,44576,-4481.0,2025-12-25,m2605,多单持仓,M
11,华泰期货,43215,-2115.0,2025-12-25,m2605,多单持仓,M
12,乾坤期货,41176,-2492.0,2025-12-25,m2605,多单持仓,M
13,中财期货,35559,-666.0,2025-12-25,m2605,多单持仓,M
14,永安期货,34860,-16026.0,2025-12-25,m2605,多单持仓,M
15,海通期货,33787,984.0,2025-12-25,m2605,多单持仓,M
16,中泰期货,33657,1562.0,2025-12-25,m2605,多单持仓,M
17,宏源期货,31308,-1441.0,2025-12-25,m2605,多单持仓,M
18,兴业期货,30802,553.0,2025-12-25,m2605,多单持仓,M
19,国贸期货,29004,-2161.0,2025-12-25,m2605,多单持仓,M
20,招商期货,28686,-193.0,2025-12-25,m2605,多单持仓,M
1,中信期货,217520,11591.0,2025-12-26,m2605,多单持仓,M
2,东证期货,186358,-3953.0,2025-12-26,m2605,多单持仓,M
3,国泰君安,176471,11994.0,2025-12-26,m2605,多单持仓,M
4,银河期货,80913,2737.0,2025-12-26,m2605,多单持仓,M
5,南华期货,72060,-4692.0,2025-12-26,m2605,多单持仓,M
6,摩根大通,59626,7385.0,2025-12-26,m2605,多单持仓,M
7,国投期货,59056,-8894.0,2025-12-26,m2605,多单持仓,M
8,中信建投,58336,-2665.0,2025-12-26,m2605,多单持仓,M
9,乾坤期货,57208,16032.0,2025-12-26,m2605,多单持仓,M
