排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中粮期货,441574,-5413.0,2025-12-25,m2605,空单持仓,M
2,国投期货,250657,10112.0,2025-12-25,m2605,空单持仓,M
3,国泰君安,132166,-7665.0,2025-12-25,m2605,空单持仓,M
4,中信期货,130578,-11680.0,2025-12-25,m2605,空单持仓,M
5,广发期货,108470,-23762.0,2025-12-25,m2605,空单持仓,M
6,东证期货,106308,-5005.0,2025-12-25,m2605,空单持仓,M
7,摩根大通,99252,-2986.0,2025-12-25,m2605,空单持仓,M
8,永安期货,73389,2966.0,2025-12-25,m2605,空单持仓,M
9,五矿期货,49738,4552.0,2025-12-25,m2605,空单持仓,M
10,银河期货,47739,-874.0,2025-12-25,m2605,空单持仓,M
11,海通期货,34324,-1108.0,2025-12-25,m2605,空单持仓,M
12,乾坤期货,32381,-363.0,2025-12-25,m2605,空单持仓,M
13,中泰期货,31386,-4341.0,2025-12-25,m2605,空单持仓,M
14,北京首创,30319,-2930.0,2025-12-25,m2605,空单持仓,M
15,华泰期货,27738,-5424.0,2025-12-25,m2605,空单持仓,M
16,一德期货,24099,-1019.0,2025-12-25,m2605,空单持仓,M
17,平安期货,24083,-1519.0,2025-12-25,m2605,空单持仓,M
18,新湖期货,23377,549.0,2025-12-25,m2605,空单持仓,M
19,国信期货,22016,-569.0,2025-12-25,m2605,空单持仓,M
20,中金财富,21177,-2215.0,2025-12-25,m2605,空单持仓,M
1,中粮期货,452829,11255.0,2025-12-26,m2605,空单持仓,M
2,国投期货,255738,5081.0,2025-12-26,m2605,空单持仓,M
3,国泰君安,132951,785.0,2025-12-26,m2605,空单持仓,M
4,东证期货,115153,8845.0,2025-12-26,m2605,空单持仓,M
5,广发期货,112601,4131.0,2025-12-26,m2605,空单持仓,M
6,中信期货,110037,-20541.0,2025-12-26,m2605,空单持仓,M
7,摩根大通,102086,2834.0,2025-12-26,m2605,空单持仓,M
8,永安期货,67901,-5488.0,2025-12-26,m2605,空单持仓,M
9,五矿期货,54665,4927.0,2025-12-26,m2605,空单持仓,M
10,银河期货,48962,1223.0,2025-12-26,m2605,空单持仓,M
11,海通期货,35219,895.0,2025-12-26,m2605,空单持仓,M
12,一德期货,32824,8725.0,2025-12-26,m2605,空单持仓,M
13,中泰期货,31570,184.0,2025-12-26,m2605,空单持仓,M
14,北京首创,31448,1129.0,2025-12-26,m2605,空单持仓,M
15,乾坤期货,30075,-2306.0,2025-12-26,m2605,空单持仓,M
16,新湖期货,25976,2599.0,2025-12-26,m2605,空单持仓,M
17,中金财富,24999,3822.0,2025-12-26,m2605,空单持仓,M
18,华泰期货,24956,-2782.0,2025-12-26,m2605,空单持仓,M
19,平安期货,21754,-2329.0,2025-12-26,m2605,空单持仓,M
20,国信期货,21526,-490.0,2025-12-26,m2605,空单持仓,M
1,中粮期货,456832,4003.0,2025-12-29,m2605,空单持仓,M
2,国投期货,265040,9302.0,2025-12-29,m2605,空单持仓,M
3,国泰君安,133832,881.0,2025-12-29,m2605,空单持仓,M
4,中信期货,124137,14100.0,2025-12-29,m2605,空单持仓,M
5,东证期货,119973,4820.0,2025-12-29,m2605,空单持仓,M
6,广发期货,111438,-1163.0,2025-12-29,m2605,空单持仓,M
7,摩根大通,105863,3777.0,2025-12-29,m2605,空单持仓,M
8,永安期货,70479,2578.0,2025-12-29,m2605,空单持仓,M
9,五矿期货,55277,612.0,2025-12-29,m2605,空单持仓,M
10,银河期货,47301,-1661.0,2025-12-29,m2605,空单持仓,M
11,海通期货,39178,3959.0,2025-12-29,m2605,空单持仓,M
12,中泰期货,34360,2790.0,2025-12-29,m2605,空单持仓,M
13,一德期货,34036,1212.0,2025-12-29,m2605,空单持仓,M
14,中金财富,33094,8095.0,2025-12-29,m2605,空单持仓,M
15,北京首创,31328,-120.0,2025-12-29,m2605,空单持仓,M
16,新湖期货,30136,4160.0,2025-12-29,m2605,空单持仓,M
17,乾坤期货,27686,-2389.0,2025-12-29,m2605,空单持仓,M
18,华泰期货,25132,176.0,2025-12-29,m2605,空单持仓,M
19,国信期货,22678,1152.0,2025-12-29,m2605,空单持仓,M
20,西部期货,18872,1634.0,2025-12-29,m2605,空单持仓,M
1,中粮期货,453085,-3747.0,2025-12-30,m2605,空单持仓,M
2,国投期货,270117,5077.0,2025-12-30,m2605,空单持仓,M
3,国泰君安,135831,1999.0,2025-12-30,m2605,空单持仓,M
4,东证期货,133431,13458.0,2025-12-30,m2605,空单持仓,M
5,中信期货,131558,7421.0,2025-12-30,m2605,空单持仓,M
6,广发期货,115649,4211.0,2025-12-30,m2605,空单持仓,M
7,摩根大通,109892,4029.0,2025-12-30,m2605,空单持仓,M
8,永安期货,66236,-4243.0,2025-12-30,m2605,空单持仓,M
9,五矿期货,58266,2989.0,2025-12-30,m2605,空单持仓,M
10,银河期货,46843,-458.0,2025-12-30,m2605,空单持仓,M
11,海通期货,44672,5494.0,2025-12-30,m2605,空单持仓,M
12,一德期货,35511,1475.0,2025-12-30,m2605,空单持仓,M
13,中泰期货,33724,-636.0,2025-12-30,m2605,空单持仓,M
14,北京首创,30803,-525.0,2025-12-30,m2605,空单持仓,M
15,华泰期货,28346,3214.0,2025-12-30,m2605,空单持仓,M
16,乾坤期货,27969,283.0,2025-12-30,m2605,空单持仓,M
17,新湖期货,25611,-4525.0,2025-12-30,m2605,空单持仓,M
18,中金财富,25581,-7513.0,2025-12-30,m2605,空单持仓,M
19,国信期货,21999,-679.0,2025-12-30,m2605,空单持仓,M
20,西部期货,18378,-494.0,2025-12-30,m2605,空单持仓,M
