排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,67941,-4860.0,2025-12-25,MA2605,多单持仓,MA
2,中信期货,53988,-3731.0,2025-12-25,MA2605,多单持仓,MA
3,东证期货,40655,-6089.0,2025-12-25,MA2605,多单持仓,MA
4,永安期货,32811,-2008.0,2025-12-25,MA2605,多单持仓,MA
5,方正中期,27182,1312.0,2025-12-25,MA2605,多单持仓,MA
6,银河期货,26615,644.0,2025-12-25,MA2605,多单持仓,MA
7,国投期货,25892,-446.0,2025-12-25,MA2605,多单持仓,MA
8,华泰期货,25187,-1388.0,2025-12-25,MA2605,多单持仓,MA
9,浙商期货,20437,1654.0,2025-12-25,MA2605,多单持仓,MA
10,中信建投,18256,-557.0,2025-12-25,MA2605,多单持仓,MA
11,中泰期货,17339,-772.0,2025-12-25,MA2605,多单持仓,MA
12,国海良时,15623,351.0,2025-12-25,MA2605,多单持仓,MA
13,中粮期货,13837,115.0,2025-12-25,MA2605,多单持仓,MA
14,南华期货,12928,-417.0,2025-12-25,MA2605,多单持仓,MA
15,光大期货,12376,-135.0,2025-12-25,MA2605,多单持仓,MA
16,国贸期货,12280,1445.0,2025-12-25,MA2605,多单持仓,MA
17,广发期货,11536,-480.0,2025-12-25,MA2605,多单持仓,MA
18,建信期货,11203,229.0,2025-12-25,MA2605,多单持仓,MA
19,徽商期货,10702,944.0,2025-12-25,MA2605,多单持仓,MA
20,招商期货,10360,-114.0,2025-12-25,MA2605,多单持仓,MA
1,国泰君安,63737,-4204.0,2025-12-26,MA2605,多单持仓,MA
2,中信期货,51373,-2615.0,2025-12-26,MA2605,多单持仓,MA
3,东证期货,39814,-841.0,2025-12-26,MA2605,多单持仓,MA
4,永安期货,33133,322.0,2025-12-26,MA2605,多单持仓,MA
5,华泰期货,30130,4943.0,2025-12-26,MA2605,多单持仓,MA
6,国投期货,26386,494.0,2025-12-26,MA2605,多单持仓,MA
7,银河期货,25316,-1299.0,2025-12-26,MA2605,多单持仓,MA
8,方正中期,23335,-3847.0,2025-12-26,MA2605,多单持仓,MA
9,浙商期货,20531,94.0,2025-12-26,MA2605,多单持仓,MA
10,中泰期货,17976,637.0,2025-12-26,MA2605,多单持仓,MA
11,中信建投,16257,-1999.0,2025-12-26,MA2605,多单持仓,MA
12,国海良时,15826,203.0,2025-12-26,MA2605,多单持仓,MA
13,南华期货,14502,1574.0,2025-12-26,MA2605,多单持仓,MA
14,中粮期货,14486,649.0,2025-12-26,MA2605,多单持仓,MA
15,光大期货,12524,148.0,2025-12-26,MA2605,多单持仓,MA
16,国贸期货,12339,59.0,2025-12-26,MA2605,多单持仓,MA
17,广发期货,11918,382.0,2025-12-26,MA2605,多单持仓,MA
18,徽商期货,11687,985.0,2025-12-26,MA2605,多单持仓,MA
19,东方财富,10493,351.0,2025-12-26,MA2605,多单持仓,MA
20,申银万国,10356,180.0,2025-12-26,MA2605,多单持仓,MA
1,国泰君安,63464,-273.0,2025-12-29,MA2605,多单持仓,MA
2,中信期货,54932,3559.0,2025-12-29,MA2605,多单持仓,MA
3,东证期货,42163,2349.0,2025-12-29,MA2605,多单持仓,MA
4,永安期货,32828,-305.0,2025-12-29,MA2605,多单持仓,MA
5,华泰期货,31353,1223.0,2025-12-29,MA2605,多单持仓,MA
6,银河期货,25767,451.0,2025-12-29,MA2605,多单持仓,MA
7,国投期货,25200,-1186.0,2025-12-29,MA2605,多单持仓,MA
8,方正中期,22734,-601.0,2025-12-29,MA2605,多单持仓,MA
9,浙商期货,19610,-921.0,2025-12-29,MA2605,多单持仓,MA
10,中泰期货,15916,-2060.0,2025-12-29,MA2605,多单持仓,MA
11,中信建投,15672,-585.0,2025-12-29,MA2605,多单持仓,MA
12,广发期货,15595,3677.0,2025-12-29,MA2605,多单持仓,MA
13,南华期货,14339,-163.0,2025-12-29,MA2605,多单持仓,MA
14,国海良时,13412,-2414.0,2025-12-29,MA2605,多单持仓,MA
15,徽商期货,13108,1421.0,2025-12-29,MA2605,多单持仓,MA
16,中粮期货,12467,-2019.0,2025-12-29,MA2605,多单持仓,MA
17,光大期货,11791,-733.0,2025-12-29,MA2605,多单持仓,MA
18,国贸期货,11685,-654.0,2025-12-29,MA2605,多单持仓,MA
19,招商期货,9614,-370.0,2025-12-29,MA2605,多单持仓,MA
20,东方财富,9425,-1068.0,2025-12-29,MA2605,多单持仓,MA
1,中信期货,79489,24557.0,2025-12-30,MA2605,多单持仓,MA
2,国泰君安,63849,385.0,2025-12-30,MA2605,多单持仓,MA
3,东证期货,55550,13387.0,2025-12-30,MA2605,多单持仓,MA
4,华泰期货,39811,8458.0,2025-12-30,MA2605,多单持仓,MA
5,永安期货,28482,-4346.0,2025-12-30,MA2605,多单持仓,MA
6,国投期货,24446,-754.0,2025-12-30,MA2605,多单持仓,MA
7,银河期货,22182,-3585.0,2025-12-30,MA2605,多单持仓,MA
8,方正中期,19953,-2781.0,2025-12-30,MA2605,多单持仓,MA
9,广发期货,18262,2667.0,2025-12-30,MA2605,多单持仓,MA
10,中信建投,17851,2179.0,2025-12-30,MA2605,多单持仓,MA
11,国海良时,15847,2435.0,2025-12-30,MA2605,多单持仓,MA
12,浙商期货,15544,-4066.0,2025-12-30,MA2605,多单持仓,MA
13,中泰期货,14680,-1236.0,2025-12-30,MA2605,多单持仓,MA
14,徽商期货,13697,589.0,2025-12-30,MA2605,多单持仓,MA
15,南华期货,12724,-1615.0,2025-12-30,MA2605,多单持仓,MA
16,光大期货,12279,488.0,2025-12-30,MA2605,多单持仓,MA
17,中粮期货,12192,-275.0,2025-12-30,MA2605,多单持仓,MA
18,招商期货,10453,839.0,2025-12-30,MA2605,多单持仓,MA
19,宏源期货,10168,1801.0,2025-12-30,MA2605,多单持仓,MA
20,国贸期货,10150,-1535.0,2025-12-30,MA2605,多单持仓,MA
1,国泰君安,65978,2129.0,2025-12-31,MA2605,多单持仓,MA
2,中信期货,49536,-29953.0,2025-12-31,MA2605,多单持仓,MA
3,东证期货,43433,-12117.0,2025-12-31,MA2605,多单持仓,MA
4,华泰期货,35205,-4606.0,2025-12-31,MA2605,多单持仓,MA
5,永安期货,26730,-1752.0,2025-12-31,MA2605,多单持仓,MA
6,国投期货,22520,-1926.0,2025-12-31,MA2605,多单持仓,MA
7,银河期货,21642,-540.0,2025-12-31,MA2605,多单持仓,MA
8,方正中期,18439,-1514.0,2025-12-31,MA2605,多单持仓,MA
9,广发期货,18387,125.0,2025-12-31,MA2605,多单持仓,MA
10,中信建投,16407,-1444.0,2025-12-31,MA2605,多单持仓,MA
11,徽商期货,14208,511.0,2025-12-31,MA2605,多单持仓,MA
12,国海良时,13900,-1947.0,2025-12-31,MA2605,多单持仓,MA
13,浙商期货,13618,-1926.0,2025-12-31,MA2605,多单持仓,MA
14,南华期货,12159,-565.0,2025-12-31,MA2605,多单持仓,MA
15,中泰期货,11916,-2764.0,2025-12-31,MA2605,多单持仓,MA
16,中粮期货,11272,-920.0,2025-12-31,MA2605,多单持仓,MA
