排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,155957,-45651.0,2025-12-25,MA2605,成交量,MA
2,东证期货,115493,-69164.0,2025-12-25,MA2605,成交量,MA
3,国泰君安,101202,-82313.0,2025-12-25,MA2605,成交量,MA
4,银河期货,57969,-40549.0,2025-12-25,MA2605,成交量,MA
5,广发期货,46174,-9767.0,2025-12-25,MA2605,成交量,MA
6,华闻期货,40499,-26617.0,2025-12-25,MA2605,成交量,MA
7,新湖期货,39325,-10826.0,2025-12-25,MA2605,成交量,MA
8,方正中期,28713,-9978.0,2025-12-25,MA2605,成交量,MA
9,徽商期货,28128,-9767.0,2025-12-25,MA2605,成交量,MA
10,光大期货,27739,-8963.0,2025-12-25,MA2605,成交量,MA
11,华泰期货,26944,-12221.0,2025-12-25,MA2605,成交量,MA
12,中信建投,25406,-13459.0,2025-12-25,MA2605,成交量,MA
13,东方财富,23622,-4271.0,2025-12-25,MA2605,成交量,MA
14,中泰期货,21689,-27573.0,2025-12-25,MA2605,成交量,MA
15,瑞达期货,19204,993.0,2025-12-25,MA2605,成交量,MA
16,五矿期货,18754,6415.0,2025-12-25,MA2605,成交量,MA
17,海通期货,17359,-14666.0,2025-12-25,MA2605,成交量,MA
18,国信期货,15834,-4459.0,2025-12-25,MA2605,成交量,MA
19,东吴期货,14814,-7939.0,2025-12-25,MA2605,成交量,MA
20,华安期货,14627,-1416.0,2025-12-25,MA2605,成交量,MA
1,中信期货,252272,96315.0,2025-12-26,MA2605,成交量,MA
2,国泰君安,202016,100814.0,2025-12-26,MA2605,成交量,MA
3,东证期货,188484,72991.0,2025-12-26,MA2605,成交量,MA
4,广发期货,69419,23245.0,2025-12-26,MA2605,成交量,MA
5,银河期货,63095,5126.0,2025-12-26,MA2605,成交量,MA
6,华闻期货,55501,15002.0,2025-12-26,MA2605,成交量,MA
7,新湖期货,54514,15189.0,2025-12-26,MA2605,成交量,MA
8,方正中期,49868,21155.0,2025-12-26,MA2605,成交量,MA
9,徽商期货,49653,21525.0,2025-12-26,MA2605,成交量,MA
10,华泰期货,46709,19765.0,2025-12-26,MA2605,成交量,MA
11,中泰期货,43008,21319.0,2025-12-26,MA2605,成交量,MA
12,光大期货,41419,13680.0,2025-12-26,MA2605,成交量,MA
13,中信建投,36549,11143.0,2025-12-26,MA2605,成交量,MA
14,海通期货,35728,18369.0,2025-12-26,MA2605,成交量,MA
15,东方财富,29861,6239.0,2025-12-26,MA2605,成交量,MA
16,瑞达期货,24277,5073.0,2025-12-26,MA2605,成交量,MA
17,东吴期货,23954,9140.0,2025-12-26,MA2605,成交量,MA
18,南华期货,23537,11439.0,2025-12-26,MA2605,成交量,MA
19,国信期货,22393,6559.0,2025-12-26,MA2605,成交量,MA
20,平安期货,22068,10093.0,2025-12-26,MA2605,成交量,MA
1,中信期货,210943,-41329.0,2025-12-29,MA2605,成交量,MA
2,东证期货,165302,-23182.0,2025-12-29,MA2605,成交量,MA
3,国泰君安,156612,-45404.0,2025-12-29,MA2605,成交量,MA
4,华闻期货,55057,-444.0,2025-12-29,MA2605,成交量,MA
5,广发期货,54337,-15082.0,2025-12-29,MA2605,成交量,MA
6,新湖期货,52231,-2283.0,2025-12-29,MA2605,成交量,MA
