排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,18245,-3242.0,2025-12-25,ni2602,空单持仓,NI
2,国泰君安,16842,-482.0,2025-12-25,ni2602,空单持仓,NI
3,银河期货,8920,-86.0,2025-12-25,ni2602,空单持仓,NI
4,五矿期货,5465,39.0,2025-12-25,ni2602,空单持仓,NI
5,东证期货,5296,-1719.0,2025-12-25,ni2602,空单持仓,NI
6,永安期货,4863,700.0,2025-12-25,ni2602,空单持仓,NI
7,中国国际,4806,-15.0,2025-12-25,ni2602,空单持仓,NI
8,广发期货,4797,-192.0,2025-12-25,ni2602,空单持仓,NI
9,华泰期货,4210,48.0,2025-12-25,ni2602,空单持仓,NI
10,浙商期货,3876,185.0,2025-12-25,ni2602,空单持仓,NI
11,瑞达期货,3400,25.0,2025-12-25,ni2602,空单持仓,NI
12,中泰期货,3320,-391.0,2025-12-25,ni2602,空单持仓,NI
13,光大期货,3213,-82.0,2025-12-25,ni2602,空单持仓,NI
14,国投期货,3103,-237.0,2025-12-25,ni2602,空单持仓,NI
15,中金财富,3023,-1024.0,2025-12-25,ni2602,空单持仓,NI
16,东吴期货,2316,-24.0,2025-12-25,ni2602,空单持仓,NI
17,方正中期,2133,69.0,2025-12-25,ni2602,空单持仓,NI
18,大有期货,2042,64.0,2025-12-25,ni2602,空单持仓,NI
19,海通期货,1942,-268.0,2025-12-25,ni2602,空单持仓,NI
20,东海期货,1857,8.0,2025-12-25,ni2602,空单持仓,NI
1,中信期货,15404,-2841.0,2025-12-26,ni2602,空单持仓,NI
2,国泰君安,14359,-2483.0,2025-12-26,ni2602,空单持仓,NI
3,银河期货,9702,782.0,2025-12-26,ni2602,空单持仓,NI
4,五矿期货,5671,206.0,2025-12-26,ni2602,空单持仓,NI
5,永安期货,5355,492.0,2025-12-26,ni2602,空单持仓,NI
6,广发期货,4935,138.0,2025-12-26,ni2602,空单持仓,NI
7,中国国际,4808,2.0,2025-12-26,ni2602,空单持仓,NI
8,东证期货,4671,-625.0,2025-12-26,ni2602,空单持仓,NI
9,华泰期货,4076,-134.0,2025-12-26,ni2602,空单持仓,NI
10,浙商期货,3954,78.0,2025-12-26,ni2602,空单持仓,NI
11,瑞达期货,3606,206.0,2025-12-26,ni2602,空单持仓,NI
12,国投期货,3060,-43.0,2025-12-26,ni2602,空单持仓,NI
13,中泰期货,3051,-269.0,2025-12-26,ni2602,空单持仓,NI
14,光大期货,2987,-226.0,2025-12-26,ni2602,空单持仓,NI
15,方正中期,2089,-44.0,2025-12-26,ni2602,空单持仓,NI
16,东吴期货,2035,-281.0,2025-12-26,ni2602,空单持仓,NI
17,东海期货,2019,162.0,2025-12-26,ni2602,空单持仓,NI
18,中信建投,1884,82.0,2025-12-26,ni2602,空单持仓,NI
19,海通期货,1844,-98.0,2025-12-26,ni2602,空单持仓,NI
20,大有期货,1842,-200.0,2025-12-26,ni2602,空单持仓,NI
1,国泰君安,12909,-1450.0,2025-12-29,ni2602,空单持仓,NI
2,中信期货,11383,-4021.0,2025-12-29,ni2602,空单持仓,NI
3,银河期货,8804,-898.0,2025-12-29,ni2602,空单持仓,NI
4,五矿期货,6140,469.0,2025-12-29,ni2602,空单持仓,NI
5,东证期货,6103,1432.0,2025-12-29,ni2602,空单持仓,NI
6,广发期货,5252,317.0,2025-12-29,ni2602,空单持仓,NI
7,永安期货,4965,-390.0,2025-12-29,ni2602,空单持仓,NI
8,中国国际,4805,-3.0,2025-12-29,ni2602,空单持仓,NI
9,华泰期货,3986,-90.0,2025-12-29,ni2602,空单持仓,NI
10,瑞达期货,3802,196.0,2025-12-29,ni2602,空单持仓,NI
11,国投期货,3406,346.0,2025-12-29,ni2602,空单持仓,NI
12,中泰期货,3249,198.0,2025-12-29,ni2602,空单持仓,NI
13,浙商期货,2690,-1264.0,2025-12-29,ni2602,空单持仓,NI
14,光大期货,2529,-458.0,2025-12-29,ni2602,空单持仓,NI
15,方正中期,2224,135.0,2025-12-29,ni2602,空单持仓,NI
16,东海期货,2087,68.0,2025-12-29,ni2602,空单持仓,NI
17,东吴期货,1937,-98.0,2025-12-29,ni2602,空单持仓,NI
18,中信建投,1866,-18.0,2025-12-29,ni2602,空单持仓,NI
19,国信期货,1863,193.0,2025-12-29,ni2602,空单持仓,NI
20,建信期货,1776,-26.0,2025-12-29,ni2602,空单持仓,NI
1,国泰君安,13351,442.0,2025-12-30,ni2602,空单持仓,NI
2,中信期货,11667,284.0,2025-12-30,ni2602,空单持仓,NI
3,银河期货,10570,1766.0,2025-12-30,ni2602,空单持仓,NI
4,东证期货,8863,2760.0,2025-12-30,ni2602,空单持仓,NI
5,广发期货,6668,1416.0,2025-12-30,ni2602,空单持仓,NI
6,五矿期货,6277,137.0,2025-12-30,ni2602,空单持仓,NI
7,永安期货,5578,613.0,2025-12-30,ni2602,空单持仓,NI
8,中国国际,4826,21.0,2025-12-30,ni2602,空单持仓,NI
9,华泰期货,4369,383.0,2025-12-30,ni2602,空单持仓,NI
10,瑞达期货,3908,106.0,2025-12-30,ni2602,空单持仓,NI
11,国投期货,3400,-6.0,2025-12-30,ni2602,空单持仓,NI
12,光大期货,3119,590.0,2025-12-30,ni2602,空单持仓,NI
13,国信期货,2969,1106.0,2025-12-30,ni2602,空单持仓,NI
14,浙商期货,2802,112.0,2025-12-30,ni2602,空单持仓,NI
15,建信期货,2749,973.0,2025-12-30,ni2602,空单持仓,NI
16,方正中期,2590,366.0,2025-12-30,ni2602,空单持仓,NI
17,东吴期货,2336,399.0,2025-12-30,ni2602,空单持仓,NI
18,中泰期货,2277,-972.0,2025-12-30,ni2602,空单持仓,NI
19,大有期货,2271,504.0,2025-12-30,ni2602,空单持仓,NI
20,中信建投,2177,311.0,2025-12-30,ni2602,空单持仓,NI
1,国泰君安,11908,-1443.0,2025-12-31,ni2602,空单持仓,NI
2,银河期货,9080,-1490.0,2025-12-31,ni2602,空单持仓,NI
3,中信期货,8678,-2989.0,2025-12-31,ni2602,空单持仓,NI
4,东证期货,7959,-904.0,2025-12-31,ni2602,空单持仓,NI
5,五矿期货,6570,293.0,2025-12-31,ni2602,空单持仓,NI
6,广发期货,5853,-815.0,2025-12-31,ni2602,空单持仓,NI
7,永安期货,5636,58.0,2025-12-31,ni2602,空单持仓,NI
8,中国国际,5308,482.0,2025-12-31,ni2602,空单持仓,NI
9,方正中期,3990,1400.0,2025-12-31,ni2602,空单持仓,NI
10,华泰期货,3906,-463.0,2025-12-31,ni2602,空单持仓,NI
11,光大期货,3113,-6.0,2025-12-31,ni2602,空单持仓,NI
12,瑞达期货,2914,-994.0,2025-12-31,ni2602,空单持仓,NI
13,建信期货,2741,-8.0,2025-12-31,ni2602,空单持仓,NI
14,大有期货,2567,296.0,2025-12-31,ni2602,空单持仓,NI
15,国投期货,2469,-931.0,2025-12-31,ni2602,空单持仓,NI
16,国信期货,2468,-501.0,2025-12-31,ni2602,空单持仓,NI
17,东海期货,2136,51.0,2025-12-31,ni2602,空单持仓,NI
18,申万期货,2127,93.0,2025-12-31,ni2602,空单持仓,NI
19,浙商期货,1960,-842.0,2025-12-31,ni2602,空单持仓,NI
20,海通期货,1919,-130.0,2025-12-31,ni2602,空单持仓,NI
