排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,184909,-121690.0,2025-12-25,ni2602,成交量,NI
2,中信期货,112234,-71591.0,2025-12-25,ni2602,成交量,NI
3,东证期货,87132,-64390.0,2025-12-25,ni2602,成交量,NI
4,海通期货,86220,-26198.0,2025-12-25,ni2602,成交量,NI
5,银河期货,54086,-7985.0,2025-12-25,ni2602,成交量,NI
6,广发期货,44382,-40746.0,2025-12-25,ni2602,成交量,NI
7,中泰期货,42716,-13729.0,2025-12-25,ni2602,成交量,NI
8,华闻期货,34007,-52532.0,2025-12-25,ni2602,成交量,NI
9,徽商期货,26400,-14951.0,2025-12-25,ni2602,成交量,NI
10,华泰期货,24634,-10434.0,2025-12-25,ni2602,成交量,NI
11,光大期货,22150,-14901.0,2025-12-25,ni2602,成交量,NI
12,中信建投,22070,-14013.0,2025-12-25,ni2602,成交量,NI
13,东方财富,21703,-13229.0,2025-12-25,ni2602,成交量,NI
14,方正中期,21700,-8911.0,2025-12-25,ni2602,成交量,NI
15,东吴期货,18560,-21677.0,2025-12-25,ni2602,成交量,NI
16,浙商期货,17633,-18377.0,2025-12-25,ni2602,成交量,NI
17,国信期货,17565,-14830.0,2025-12-25,ni2602,成交量,NI
18,瑞达期货,16160,-9099.0,2025-12-25,ni2602,成交量,NI
19,宝城期货,14914,-13273.0,2025-12-25,ni2602,成交量,NI
20,申万期货,13446,-14058.0,2025-12-25,ni2602,成交量,NI
1,国泰君安,194201,9292.0,2025-12-26,ni2602,成交量,NI
2,中信期货,114025,1791.0,2025-12-26,ni2602,成交量,NI
3,东证期货,81722,-5410.0,2025-12-26,ni2602,成交量,NI
4,海通期货,76521,-9699.0,2025-12-26,ni2602,成交量,NI
5,中泰期货,47164,4448.0,2025-12-26,ni2602,成交量,NI
6,华闻期货,39871,5864.0,2025-12-26,ni2602,成交量,NI
7,银河期货,39633,-14453.0,2025-12-26,ni2602,成交量,NI
8,广发期货,36884,-7498.0,2025-12-26,ni2602,成交量,NI
9,华泰期货,24461,-173.0,2025-12-26,ni2602,成交量,NI
10,徽商期货,23605,-2795.0,2025-12-26,ni2602,成交量,NI
11,东方财富,21870,167.0,2025-12-26,ni2602,成交量,NI
12,中信建投,20076,-1994.0,2025-12-26,ni2602,成交量,NI
13,光大期货,20059,-2091.0,2025-12-26,ni2602,成交量,NI
14,方正中期,20008,-1692.0,2025-12-26,ni2602,成交量,NI
15,浙商期货,16371,-1262.0,2025-12-26,ni2602,成交量,NI
16,国信期货,15697,-1868.0,2025-12-26,ni2602,成交量,NI
17,瑞达期货,15332,-828.0,2025-12-26,ni2602,成交量,NI
18,东吴期货,14197,-4363.0,2025-12-26,ni2602,成交量,NI
19,申万期货,13673,227.0,2025-12-26,ni2602,成交量,NI
20,创元期货,13415,709.0,2025-12-26,ni2602,成交量,NI
1,国泰君安,224824,30623.0,2025-12-29,ni2602,成交量,NI
2,中信期货,145447,31422.0,2025-12-29,ni2602,成交量,NI
3,东证期货,117346,35624.0,2025-12-29,ni2602,成交量,NI
4,海通期货,98869,22348.0,2025-12-29,ni2602,成交量,NI
5,中泰期货,67894,20730.0,2025-12-29,ni2602,成交量,NI
6,华闻期货,67649,27778.0,2025-12-29,ni2602,成交量,NI
7,广发期货,55793,18909.0,2025-12-29,ni2602,成交量,NI
8,银河期货,46452,6819.0,2025-12-29,ni2602,成交量,NI
9,徽商期货,32576,8971.0,2025-12-29,ni2602,成交量,NI
10,光大期货,31052,10993.0,2025-12-29,ni2602,成交量,NI
11,华泰期货,27842,3381.0,2025-12-29,ni2602,成交量,NI
12,浙商期货,26418,10047.0,2025-12-29,ni2602,成交量,NI
13,中信建投,25290,5214.0,2025-12-29,ni2602,成交量,NI
14,方正中期,23990,3982.0,2025-12-29,ni2602,成交量,NI
15,东方财富,23188,1318.0,2025-12-29,ni2602,成交量,NI
16,瑞达期货,19573,4241.0,2025-12-29,ni2602,成交量,NI
17,国信期货,18737,3040.0,2025-12-29,ni2602,成交量,NI
18,申万期货,17133,3460.0,2025-12-29,ni2602,成交量,NI
19,东吴期货,15758,1561.0,2025-12-29,ni2602,成交量,NI
20,宝城期货,15669,3060.0,2025-12-29,ni2602,成交量,NI
1,国泰君安,248150,23326.0,2025-12-30,ni2602,成交量,NI
2,中信期货,178390,32943.0,2025-12-30,ni2602,成交量,NI
3,东证期货,144689,27343.0,2025-12-30,ni2602,成交量,NI
4,海通期货,128825,29956.0,2025-12-30,ni2602,成交量,NI
5,广发期货,83735,27942.0,2025-12-30,ni2602,成交量,NI
6,中泰期货,82975,15081.0,2025-12-30,ni2602,成交量,NI
