排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,乾坤期货,15489,0.0,2025-12-25,OI2605,多单持仓,OI
2,东证期货,15238,-61.0,2025-12-25,OI2605,多单持仓,OI
3,国泰君安,11212,822.0,2025-12-25,OI2605,多单持仓,OI
4,摩根大通,11021,185.0,2025-12-25,OI2605,多单持仓,OI
5,国投期货,10161,-955.0,2025-12-25,OI2605,多单持仓,OI
6,中粮期货,7742,565.0,2025-12-25,OI2605,多单持仓,OI
7,中信期货,6946,-262.0,2025-12-25,OI2605,多单持仓,OI
8,华泰期货,5795,-221.0,2025-12-25,OI2605,多单持仓,OI
9,平安期货,5755,158.0,2025-12-25,OI2605,多单持仓,OI
10,银河期货,5493,245.0,2025-12-25,OI2605,多单持仓,OI
11,西部期货,4375,48.0,2025-12-25,OI2605,多单持仓,OI
12,瑞银期货,3958,1.0,2025-12-25,OI2605,多单持仓,OI
13,一德期货,3789,-665.0,2025-12-25,OI2605,多单持仓,OI
14,申银万国,3643,42.0,2025-12-25,OI2605,多单持仓,OI
15,永安期货,3534,335.0,2025-12-25,OI2605,多单持仓,OI
16,新湖期货,3375,156.0,2025-12-25,OI2605,多单持仓,OI
17,浙商期货,3174,78.0,2025-12-25,OI2605,多单持仓,OI
18,光大期货,3088,-50.0,2025-12-25,OI2605,多单持仓,OI
19,紫金天风,2984,164.0,2025-12-25,OI2605,多单持仓,OI
20,广发期货,2556,282.0,2025-12-25,OI2605,多单持仓,OI
1,乾坤期货,16690,1201.0,2025-12-26,OI2605,多单持仓,OI
2,东证期货,15424,186.0,2025-12-26,OI2605,多单持仓,OI
3,摩根大通,11601,580.0,2025-12-26,OI2605,多单持仓,OI
4,国泰君安,10376,-836.0,2025-12-26,OI2605,多单持仓,OI
5,国投期货,8935,-1226.0,2025-12-26,OI2605,多单持仓,OI
6,中信期货,7108,162.0,2025-12-26,OI2605,多单持仓,OI
7,中粮期货,6505,-1237.0,2025-12-26,OI2605,多单持仓,OI
8,平安期货,5715,-40.0,2025-12-26,OI2605,多单持仓,OI
9,银河期货,5531,38.0,2025-12-26,OI2605,多单持仓,OI
10,华泰期货,5261,-534.0,2025-12-26,OI2605,多单持仓,OI
11,西部期货,4165,-210.0,2025-12-26,OI2605,多单持仓,OI
12,瑞银期货,3960,2.0,2025-12-26,OI2605,多单持仓,OI
13,永安期货,3940,406.0,2025-12-26,OI2605,多单持仓,OI
14,申银万国,3781,138.0,2025-12-26,OI2605,多单持仓,OI
15,浙商期货,3314,140.0,2025-12-26,OI2605,多单持仓,OI
16,光大期货,2917,-171.0,2025-12-26,OI2605,多单持仓,OI
17,一德期货,2803,-986.0,2025-12-26,OI2605,多单持仓,OI
18,新湖期货,2795,-580.0,2025-12-26,OI2605,多单持仓,OI
19,广发期货,2589,33.0,2025-12-26,OI2605,多单持仓,OI
20,国信期货,2502,-45.0,2025-12-26,OI2605,多单持仓,OI
1,乾坤期货,18102,1412.0,2025-12-29,OI2605,多单持仓,OI
2,东证期货,14775,-649.0,2025-12-29,OI2605,多单持仓,OI
3,摩根大通,11442,-159.0,2025-12-29,OI2605,多单持仓,OI
4,国泰君安,10432,56.0,2025-12-29,OI2605,多单持仓,OI
5,国投期货,8512,-423.0,2025-12-29,OI2605,多单持仓,OI
6,中信期货,7515,407.0,2025-12-29,OI2605,多单持仓,OI
7,中粮期货,6264,-241.0,2025-12-29,OI2605,多单持仓,OI
8,银河期货,5755,224.0,2025-12-29,OI2605,多单持仓,OI
9,平安期货,5542,-173.0,2025-12-29,OI2605,多单持仓,OI
10,华泰期货,5492,231.0,2025-12-29,OI2605,多单持仓,OI
11,西部期货,4157,-8.0,2025-12-29,OI2605,多单持仓,OI
12,瑞银期货,4132,172.0,2025-12-29,OI2605,多单持仓,OI
13,永安期货,3597,-343.0,2025-12-29,OI2605,多单持仓,OI
14,浙商期货,3281,-33.0,2025-12-29,OI2605,多单持仓,OI
15,申银万国,3089,-692.0,2025-12-29,OI2605,多单持仓,OI
16,一德期货,2819,16.0,2025-12-29,OI2605,多单持仓,OI
17,新湖期货,2781,-14.0,2025-12-29,OI2605,多单持仓,OI
18,中金财富,2690,689.0,2025-12-29,OI2605,多单持仓,OI
19,光大期货,2647,-270.0,2025-12-29,OI2605,多单持仓,OI
20,广发期货,2512,-77.0,2025-12-29,OI2605,多单持仓,OI
1,乾坤期货,19088,986.0,2025-12-30,OI2605,多单持仓,OI
2,摩根大通,17089,5647.0,2025-12-30,OI2605,多单持仓,OI
3,东证期货,16628,1853.0,2025-12-30,OI2605,多单持仓,OI
4,国泰君安,11280,848.0,2025-12-30,OI2605,多单持仓,OI
5,中信期货,7744,229.0,2025-12-30,OI2605,多单持仓,OI
6,国投期货,7347,-1165.0,2025-12-30,OI2605,多单持仓,OI
7,平安期货,6094,552.0,2025-12-30,OI2605,多单持仓,OI
8,银河期货,6043,288.0,2025-12-30,OI2605,多单持仓,OI
9,华泰期货,5782,290.0,2025-12-30,OI2605,多单持仓,OI
10,瑞银期货,5230,1098.0,2025-12-30,OI2605,多单持仓,OI
11,中粮期货,5029,-1235.0,2025-12-30,OI2605,多单持仓,OI
12,一德期货,4750,1931.0,2025-12-30,OI2605,多单持仓,OI
13,西部期货,3741,-416.0,2025-12-30,OI2605,多单持仓,OI
14,永安期货,3714,117.0,2025-12-30,OI2605,多单持仓,OI
15,浙商期货,3055,-226.0,2025-12-30,OI2605,多单持仓,OI
16,中金财富,3048,358.0,2025-12-30,OI2605,多单持仓,OI
17,广发期货,2609,97.0,2025-12-30,OI2605,多单持仓,OI
18,光大期货,2558,-89.0,2025-12-30,OI2605,多单持仓,OI
19,申银万国,2399,-690.0,2025-12-30,OI2605,多单持仓,OI
20,中信建投,2281,-173.0,2025-12-30,OI2605,多单持仓,OI
1,乾坤期货,20013,925.0,2025-12-31,OI2605,多单持仓,OI
2,摩根大通,19457,2368.0,2025-12-31,OI2605,多单持仓,OI
3,东证期货,16194,-434.0,2025-12-31,OI2605,多单持仓,OI
4,国泰君安,11242,-38.0,2025-12-31,OI2605,多单持仓,OI
5,中信期货,8537,793.0,2025-12-31,OI2605,多单持仓,OI
6,国投期货,7372,25.0,2025-12-31,OI2605,多单持仓,OI
7,银河期货,5984,-59.0,2025-12-31,OI2605,多单持仓,OI
8,华泰期货,5822,40.0,2025-12-31,OI2605,多单持仓,OI
9,瑞银期货,5326,96.0,2025-12-31,OI2605,多单持仓,OI
10,中粮期货,4861,-168.0,2025-12-31,OI2605,多单持仓,OI
11,平安期货,4589,-1505.0,2025-12-31,OI2605,多单持仓,OI
12,一德期货,4465,-285.0,2025-12-31,OI2605,多单持仓,OI
13,永安期货,3961,247.0,2025-12-31,OI2605,多单持仓,OI
14,中金财富,3805,757.0,2025-12-31,OI2605,多单持仓,OI
15,西部期货,3766,25.0,2025-12-31,OI2605,多单持仓,OI
16,浙商期货,3168,113.0,2025-12-31,OI2605,多单持仓,OI
17,广发期货,2452,-157.0,2025-12-31,OI2605,多单持仓,OI
18,中信建投,2352,71.0,2025-12-31,OI2605,多单持仓,OI
19,申银万国,2241,-158.0,2025-12-31,OI2605,多单持仓,OI
20,海证期货,2211,21.0,2025-12-31,OI2605,多单持仓,OI
