排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,东证期货,22621,695.0,2025-12-25,OI2605,空单持仓,OI
2,摩根大通,21877,1422.0,2025-12-25,OI2605,空单持仓,OI
3,中粮期货,16386,219.0,2025-12-25,OI2605,空单持仓,OI
4,中信期货,16009,685.0,2025-12-25,OI2605,空单持仓,OI
5,国泰君安,13454,-1309.0,2025-12-25,OI2605,空单持仓,OI
6,乾坤期货,9718,-23.0,2025-12-25,OI2605,空单持仓,OI
7,国投期货,9534,-82.0,2025-12-25,OI2605,空单持仓,OI
8,广发期货,6522,-150.0,2025-12-25,OI2605,空单持仓,OI
9,申银万国,5942,74.0,2025-12-25,OI2605,空单持仓,OI
10,建信期货,5933,-29.0,2025-12-25,OI2605,空单持仓,OI
11,宏源期货,5330,61.0,2025-12-25,OI2605,空单持仓,OI
12,瑞银期货,3622,0.0,2025-12-25,OI2605,空单持仓,OI
13,华泰期货,3333,-91.0,2025-12-25,OI2605,空单持仓,OI
14,浙商期货,3315,774.0,2025-12-25,OI2605,空单持仓,OI
15,一德期货,2630,-944.0,2025-12-25,OI2605,空单持仓,OI
16,海证期货,2572,-117.0,2025-12-25,OI2605,空单持仓,OI
17,海通期货,1750,314.0,2025-12-25,OI2605,空单持仓,OI
18,招商期货,1654,-221.0,2025-12-25,OI2605,空单持仓,OI
19,徽商期货,1529,9.0,2025-12-25,OI2605,空单持仓,OI
20,中国国际,1523,157.0,2025-12-25,OI2605,空单持仓,OI
1,东证期货,21971,-650.0,2025-12-26,OI2605,空单持仓,OI
2,摩根大通,18039,-3838.0,2025-12-26,OI2605,空单持仓,OI
3,中粮期货,17152,766.0,2025-12-26,OI2605,空单持仓,OI
4,中信期货,15081,-928.0,2025-12-26,OI2605,空单持仓,OI
5,国泰君安,12791,-663.0,2025-12-26,OI2605,空单持仓,OI
6,国投期货,9525,-9.0,2025-12-26,OI2605,空单持仓,OI
7,乾坤期货,9499,-219.0,2025-12-26,OI2605,空单持仓,OI
8,广发期货,6481,-41.0,2025-12-26,OI2605,空单持仓,OI
9,建信期货,5989,56.0,2025-12-26,OI2605,空单持仓,OI
10,申银万国,5896,-46.0,2025-12-26,OI2605,空单持仓,OI
11,宏源期货,5242,-88.0,2025-12-26,OI2605,空单持仓,OI
12,浙商期货,4624,1309.0,2025-12-26,OI2605,空单持仓,OI
13,华泰期货,3609,276.0,2025-12-26,OI2605,空单持仓,OI
14,瑞银期货,3163,-459.0,2025-12-26,OI2605,空单持仓,OI
15,一德期货,2849,219.0,2025-12-26,OI2605,空单持仓,OI
16,海证期货,2533,-39.0,2025-12-26,OI2605,空单持仓,OI
17,海通期货,1956,206.0,2025-12-26,OI2605,空单持仓,OI
18,招商期货,1684,30.0,2025-12-26,OI2605,空单持仓,OI
19,徽商期货,1673,144.0,2025-12-26,OI2605,空单持仓,OI
20,银河期货,1464,27.0,2025-12-26,OI2605,空单持仓,OI
1,摩根大通,20997,2958.0,2025-12-29,OI2605,空单持仓,OI
2,东证期货,20320,-1651.0,2025-12-29,OI2605,空单持仓,OI
3,中粮期货,17348,196.0,2025-12-29,OI2605,空单持仓,OI
4,中信期货,16620,1539.0,2025-12-29,OI2605,空单持仓,OI
5,国泰君安,12911,120.0,2025-12-29,OI2605,空单持仓,OI
6,乾坤期货,9792,293.0,2025-12-29,OI2605,空单持仓,OI
