排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,43428,-30671.0,2025-12-25,OI2605,成交量,OI
2,中信期货,31771,-8521.0,2025-12-25,OI2605,成交量,OI
3,中信建投,21474,-1556.0,2025-12-25,OI2605,成交量,OI
4,国泰君安,17949,-8541.0,2025-12-25,OI2605,成交量,OI
5,南华期货,14321,-1762.0,2025-12-25,OI2605,成交量,OI
6,广发期货,12454,-12239.0,2025-12-25,OI2605,成交量,OI
7,中泰期货,11896,-7669.0,2025-12-25,OI2605,成交量,OI
8,华闻期货,9933,-16248.0,2025-12-25,OI2605,成交量,OI
9,国元期货,9115,-5014.0,2025-12-25,OI2605,成交量,OI
10,徽商期货,8793,-5637.0,2025-12-25,OI2605,成交量,OI
11,五矿期货,7669,-4989.0,2025-12-25,OI2605,成交量,OI
12,华泰期货,7472,-3357.0,2025-12-25,OI2605,成交量,OI
13,银河期货,7099,-5963.0,2025-12-25,OI2605,成交量,OI
14,中粮期货,6774,-3959.0,2025-12-25,OI2605,成交量,OI
15,浙商期货,6460,-14812.0,2025-12-25,OI2605,成交量,OI
16,海通期货,6239,-3176.0,2025-12-25,OI2605,成交量,OI
17,国信期货,6087,-2247.0,2025-12-25,OI2605,成交量,OI
18,光大期货,5619,-3579.0,2025-12-25,OI2605,成交量,OI
19,华安期货,4854,-753.0,2025-12-25,OI2605,成交量,OI
20,方正中期,4479,-1803.0,2025-12-25,OI2605,成交量,OI
1,东证期货,53312,9884.0,2025-12-26,OI2605,成交量,OI
2,中信期货,26290,-5481.0,2025-12-26,OI2605,成交量,OI
3,中信建投,19528,-1946.0,2025-12-26,OI2605,成交量,OI
4,国泰君安,18017,68.0,2025-12-26,OI2605,成交量,OI
5,广发期货,14654,2200.0,2025-12-26,OI2605,成交量,OI
6,中泰期货,12568,672.0,2025-12-26,OI2605,成交量,OI
7,华闻期货,12535,2602.0,2025-12-26,OI2605,成交量,OI
8,南华期货,12199,-2122.0,2025-12-26,OI2605,成交量,OI
9,徽商期货,12010,3217.0,2025-12-26,OI2605,成交量,OI
10,五矿期货,9131,1462.0,2025-12-26,OI2605,成交量,OI
11,华泰期货,9020,1548.0,2025-12-26,OI2605,成交量,OI
12,银河期货,8951,1852.0,2025-12-26,OI2605,成交量,OI
13,海通期货,8291,2052.0,2025-12-26,OI2605,成交量,OI
14,国元期货,8080,-1035.0,2025-12-26,OI2605,成交量,OI
15,浙商期货,7621,1161.0,2025-12-26,OI2605,成交量,OI
16,国信期货,6234,147.0,2025-12-26,OI2605,成交量,OI
17,中粮期货,6177,-597.0,2025-12-26,OI2605,成交量,OI
18,方正中期,5692,1213.0,2025-12-26,OI2605,成交量,OI
