排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中粮期货,33490,6834.0,2025-12-25,p2605,多单持仓,P
2,东证期货,30533,-1442.0,2025-12-25,p2605,多单持仓,P
3,国泰君安,28497,-1680.0,2025-12-25,p2605,多单持仓,P
4,广发期货,23515,-47.0,2025-12-25,p2605,多单持仓,P
5,国投期货,18534,-1058.0,2025-12-25,p2605,多单持仓,P
6,中信期货,15120,806.0,2025-12-25,p2605,多单持仓,P
7,中泰期货,12982,467.0,2025-12-25,p2605,多单持仓,P
8,五矿期货,12712,-405.0,2025-12-25,p2605,多单持仓,P
9,永安期货,12545,-705.0,2025-12-25,p2605,多单持仓,P
10,华泰期货,12271,-630.0,2025-12-25,p2605,多单持仓,P
11,宝城期货,11821,-1267.0,2025-12-25,p2605,多单持仓,P
12,建信期货,11459,-20.0,2025-12-25,p2605,多单持仓,P
13,银河期货,9937,-575.0,2025-12-25,p2605,多单持仓,P
14,摩根大通,8752,341.0,2025-12-25,p2605,多单持仓,P
15,西部期货,8210,-22.0,2025-12-25,p2605,多单持仓,P
16,乾坤期货,7813,190.0,2025-12-25,p2605,多单持仓,P
17,浙商期货,6872,-1633.0,2025-12-25,p2605,多单持仓,P
18,光大期货,6787,-571.0,2025-12-25,p2605,多单持仓,P
19,国富期货,6569,256.0,2025-12-25,p2605,多单持仓,P
20,东吴期货,6393,287.0,2025-12-25,p2605,多单持仓,P
1,东证期货,31322,789.0,2025-12-26,p2605,多单持仓,P
2,国泰君安,30885,2388.0,2025-12-26,p2605,多单持仓,P
3,中粮期货,27812,-5678.0,2025-12-26,p2605,多单持仓,P
4,广发期货,22424,-1091.0,2025-12-26,p2605,多单持仓,P
5,国投期货,19203,669.0,2025-12-26,p2605,多单持仓,P
6,中信期货,17173,2053.0,2025-12-26,p2605,多单持仓,P
7,华泰期货,12989,718.0,2025-12-26,p2605,多单持仓,P
8,五矿期货,12280,-432.0,2025-12-26,p2605,多单持仓,P
9,永安期货,12069,-476.0,2025-12-26,p2605,多单持仓,P
10,中泰期货,11709,-1273.0,2025-12-26,p2605,多单持仓,P
11,建信期货,11430,-29.0,2025-12-26,p2605,多单持仓,P
12,摩根大通,9302,550.0,2025-12-26,p2605,多单持仓,P
13,银河期货,8768,-1169.0,2025-12-26,p2605,多单持仓,P
14,西部期货,8203,-7.0,2025-12-26,p2605,多单持仓,P
15,宝城期货,7283,-4538.0,2025-12-26,p2605,多单持仓,P
16,东吴期货,6931,538.0,2025-12-26,p2605,多单持仓,P
17,光大期货,6744,-43.0,2025-12-26,p2605,多单持仓,P
18,浙商期货,6741,-131.0,2025-12-26,p2605,多单持仓,P
19,南华期货,6440,185.0,2025-12-26,p2605,多单持仓,P
20,国富期货,6341,-228.0,2025-12-26,p2605,多单持仓,P
1,国泰君安,32191,1306.0,2025-12-29,p2605,多单持仓,P
2,东证期货,31487,165.0,2025-12-29,p2605,多单持仓,P
3,中粮期货,26980,-832.0,2025-12-29,p2605,多单持仓,P
4,国投期货,20665,1462.0,2025-12-29,p2605,多单持仓,P
5,广发期货,20596,-1828.0,2025-12-29,p2605,多单持仓,P
6,中信期货,15595,-1578.0,2025-12-29,p2605,多单持仓,P
7,华泰期货,14298,1309.0,2025-12-29,p2605,多单持仓,P
8,永安期货,12624,555.0,2025-12-29,p2605,多单持仓,P
9,五矿期货,11878,-402.0,2025-12-29,p2605,多单持仓,P
10,中泰期货,9954,-1755.0,2025-12-29,p2605,多单持仓,P
11,摩根大通,8553,-749.0,2025-12-29,p2605,多单持仓,P
12,西部期货,8208,5.0,2025-12-29,p2605,多单持仓,P
13,光大期货,7546,802.0,2025-12-29,p2605,多单持仓,P
14,银河期货,7520,-1248.0,2025-12-29,p2605,多单持仓,P
15,宝城期货,7340,57.0,2025-12-29,p2605,多单持仓,P
16,东吴期货,7094,163.0,2025-12-29,p2605,多单持仓,P
17,南华期货,6913,473.0,2025-12-29,p2605,多单持仓,P
18,一德期货,6038,13.0,2025-12-29,p2605,多单持仓,P
19,国富期货,6019,-322.0,2025-12-29,p2605,多单持仓,P
20,浙商期货,5708,-1033.0,2025-12-29,p2605,多单持仓,P
1,东证期货,32436,949.0,2025-12-30,p2605,多单持仓,P
2,国泰君安,30741,-1450.0,2025-12-30,p2605,多单持仓,P
3,中粮期货,25262,-1718.0,2025-12-30,p2605,多单持仓,P
4,广发期货,20362,-234.0,2025-12-30,p2605,多单持仓,P
5,中信期货,18542,2947.0,2025-12-30,p2605,多单持仓,P
6,国投期货,15716,-4949.0,2025-12-30,p2605,多单持仓,P
7,华泰期货,13232,-1066.0,2025-12-30,p2605,多单持仓,P
8,摩根大通,12246,3693.0,2025-12-30,p2605,多单持仓,P
9,永安期货,11157,-1467.0,2025-12-30,p2605,多单持仓,P
10,五矿期货,10835,-1043.0,2025-12-30,p2605,多单持仓,P
11,中泰期货,9760,-194.0,2025-12-30,p2605,多单持仓,P
12,西部期货,8256,48.0,2025-12-30,p2605,多单持仓,P
13,光大期货,7316,-230.0,2025-12-30,p2605,多单持仓,P
14,南华期货,7023,110.0,2025-12-30,p2605,多单持仓,P
15,银河期货,7013,-507.0,2025-12-30,p2605,多单持仓,P
16,东吴期货,6926,-168.0,2025-12-30,p2605,多单持仓,P
17,乾坤期货,6558,2711.0,2025-12-30,p2605,多单持仓,P
18,宝城期货,6481,-859.0,2025-12-30,p2605,多单持仓,P
19,申银万国,5864,1044.0,2025-12-30,p2605,多单持仓,P
20,一德期货,5361,-677.0,2025-12-30,p2605,多单持仓,P
