排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,摩根大通,43505,675.0,2025-12-25,p2605,空单持仓,P
2,中信期货,42664,-3190.0,2025-12-25,p2605,空单持仓,P
3,国泰君安,26890,-720.0,2025-12-25,p2605,空单持仓,P
4,乾坤期货,21605,-593.0,2025-12-25,p2605,空单持仓,P
5,银河期货,21136,459.0,2025-12-25,p2605,空单持仓,P
6,东证期货,20030,-3584.0,2025-12-25,p2605,空单持仓,P
7,海通期货,15411,22.0,2025-12-25,p2605,空单持仓,P
8,一德期货,14812,-1241.0,2025-12-25,p2605,空单持仓,P
9,浙商期货,14538,60.0,2025-12-25,p2605,空单持仓,P
10,中信建投,14345,16.0,2025-12-25,p2605,空单持仓,P
11,永安期货,13608,539.0,2025-12-25,p2605,空单持仓,P
12,中粮期货,10588,-1400.0,2025-12-25,p2605,空单持仓,P
13,华泰期货,9235,-711.0,2025-12-25,p2605,空单持仓,P
14,创元期货,8864,-34.0,2025-12-25,p2605,空单持仓,P
15,国投期货,7857,33.0,2025-12-25,p2605,空单持仓,P
16,中金财富,7748,-1618.0,2025-12-25,p2605,空单持仓,P
17,方正中期,7242,63.0,2025-12-25,p2605,空单持仓,P
18,平安期货,6299,-1063.0,2025-12-25,p2605,空单持仓,P
19,广发期货,5886,-134.0,2025-12-25,p2605,空单持仓,P
20,东海期货,5075,-54.0,2025-12-25,p2605,空单持仓,P
1,摩根大通,41376,-2129.0,2025-12-26,p2605,空单持仓,P
2,中信期货,40619,-2045.0,2025-12-26,p2605,空单持仓,P
3,国泰君安,24840,-2050.0,2025-12-26,p2605,空单持仓,P
4,银河期货,21978,842.0,2025-12-26,p2605,空单持仓,P
5,乾坤期货,20851,-754.0,2025-12-26,p2605,空单持仓,P
6,东证期货,19175,-855.0,2025-12-26,p2605,空单持仓,P
7,一德期货,15615,803.0,2025-12-26,p2605,空单持仓,P
8,海通期货,15406,-5.0,2025-12-26,p2605,空单持仓,P
9,永安期货,14954,1346.0,2025-12-26,p2605,空单持仓,P
10,浙商期货,14657,119.0,2025-12-26,p2605,空单持仓,P
11,中信建投,14508,163.0,2025-12-26,p2605,空单持仓,P
12,华泰期货,10473,1238.0,2025-12-26,p2605,空单持仓,P
13,中粮期货,10207,-381.0,2025-12-26,p2605,空单持仓,P
14,创元期货,8691,-173.0,2025-12-26,p2605,空单持仓,P
15,方正中期,7907,665.0,2025-12-26,p2605,空单持仓,P
16,中金财富,7118,-630.0,2025-12-26,p2605,空单持仓,P
17,平安期货,5894,-405.0,2025-12-26,p2605,空单持仓,P
18,广发期货,5712,-174.0,2025-12-26,p2605,空单持仓,P
19,东海期货,5039,-36.0,2025-12-26,p2605,空单持仓,P
20,国贸期货,4479,184.0,2025-12-26,p2605,空单持仓,P
1,中信期货,40356,-263.0,2025-12-29,p2605,空单持仓,P
2,摩根大通,33917,-7459.0,2025-12-29,p2605,空单持仓,P
3,国泰君安,24307,-533.0,2025-12-29,p2605,空单持仓,P
4,银河期货,21881,-97.0,2025-12-29,p2605,空单持仓,P
5,乾坤期货,20964,113.0,2025-12-29,p2605,空单持仓,P
6,东证期货,18534,-641.0,2025-12-29,p2605,空单持仓,P
7,一德期货,16664,1049.0,2025-12-29,p2605,空单持仓,P
8,海通期货,15328,-78.0,2025-12-29,p2605,空单持仓,P
9,浙商期货,15122,465.0,2025-12-29,p2605,空单持仓,P
10,永安期货,12753,-2201.0,2025-12-29,p2605,空单持仓,P
11,中粮期货,10302,95.0,2025-12-29,p2605,空单持仓,P
12,华泰期货,9377,-1096.0,2025-12-29,p2605,空单持仓,P
13,创元期货,9329,638.0,2025-12-29,p2605,空单持仓,P
14,方正中期,7847,-60.0,2025-12-29,p2605,空单持仓,P
15,中金财富,6994,-124.0,2025-12-29,p2605,空单持仓,P
16,中信建投,6695,-7813.0,2025-12-29,p2605,空单持仓,P
17,平安期货,5650,-244.0,2025-12-29,p2605,空单持仓,P
18,广发期货,5523,-189.0,2025-12-29,p2605,空单持仓,P
19,国贸期货,4262,-217.0,2025-12-29,p2605,空单持仓,P
20,瑞银期货,4234,0.0,2025-12-29,p2605,空单持仓,P
1,中信期货,35652,-4704.0,2025-12-30,p2605,空单持仓,P
2,摩根大通,31370,-2547.0,2025-12-30,p2605,空单持仓,P
3,国泰君安,25201,894.0,2025-12-30,p2605,空单持仓,P
4,银河期货,21650,-231.0,2025-12-30,p2605,空单持仓,P
5,乾坤期货,19203,-1761.0,2025-12-30,p2605,空单持仓,P
6,一德期货,19138,2474.0,2025-12-30,p2605,空单持仓,P
7,东证期货,15867,-2667.0,2025-12-30,p2605,空单持仓,P
8,浙商期货,15390,268.0,2025-12-30,p2605,空单持仓,P
9,海通期货,15144,-184.0,2025-12-30,p2605,空单持仓,P
10,永安期货,10749,-2004.0,2025-12-30,p2605,空单持仓,P
11,创元期货,10365,1036.0,2025-12-30,p2605,空单持仓,P
12,中粮期货,9515,-787.0,2025-12-30,p2605,空单持仓,P
13,华泰期货,9297,-80.0,2025-12-30,p2605,空单持仓,P
14,方正中期,8602,755.0,2025-12-30,p2605,空单持仓,P
15,中信建投,7372,677.0,2025-12-30,p2605,空单持仓,P
16,中金财富,5671,-1323.0,2025-12-30,p2605,空单持仓,P
17,广发期货,5635,112.0,2025-12-30,p2605,空单持仓,P
18,平安期货,5450,-200.0,2025-12-30,p2605,空单持仓,P
19,徽商期货,4370,141.0,2025-12-30,p2605,空单持仓,P
20,瑞银期货,4302,68.0,2025-12-30,p2605,空单持仓,P
