排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,110058,-32295.0,2025-12-25,p2605,成交量,P
2,中信期货,48192,-24813.0,2025-12-25,p2605,成交量,P
3,东证期货,41476,-23976.0,2025-12-25,p2605,成交量,P
4,广发期货,27729,-10360.0,2025-12-25,p2605,成交量,P
5,国联期货,17195,-4886.0,2025-12-25,p2605,成交量,P
6,银河期货,16640,-3153.0,2025-12-25,p2605,成交量,P
7,华泰期货,15099,-2623.0,2025-12-25,p2605,成交量,P
8,浙商期货,14707,-4204.0,2025-12-25,p2605,成交量,P
9,中粮期货,14214,1522.0,2025-12-25,p2605,成交量,P
10,徽商期货,12391,-2736.0,2025-12-25,p2605,成交量,P
11,光大期货,11731,-4485.0,2025-12-25,p2605,成交量,P
12,中泰期货,10316,-5458.0,2025-12-25,p2605,成交量,P
13,国信期货,10060,-1511.0,2025-12-25,p2605,成交量,P
14,方正中期,8783,612.0,2025-12-25,p2605,成交量,P
15,华闻期货,8164,-2046.0,2025-12-25,p2605,成交量,P
16,宝城期货,8030,1127.0,2025-12-25,p2605,成交量,P
17,中信建投,7873,-4408.0,2025-12-25,p2605,成交量,P
18,五矿期货,6786,1995.0,2025-12-25,p2605,成交量,P
19,海通期货,6539,-2853.0,2025-12-25,p2605,成交量,P
20,冠通期货,6202,838.0,2025-12-25,p2605,成交量,P
1,国泰君安,133694,23636.0,2025-12-26,p2605,成交量,P
2,中信期货,61364,13172.0,2025-12-26,p2605,成交量,P
3,东证期货,58030,16554.0,2025-12-26,p2605,成交量,P
4,广发期货,38771,11042.0,2025-12-26,p2605,成交量,P
5,银河期货,21773,5133.0,2025-12-26,p2605,成交量,P
6,浙商期货,20360,5653.0,2025-12-26,p2605,成交量,P
7,国联期货,17770,575.0,2025-12-26,p2605,成交量,P
8,华泰期货,16772,1673.0,2025-12-26,p2605,成交量,P
9,中泰期货,15791,5475.0,2025-12-26,p2605,成交量,P
10,光大期货,15647,3916.0,2025-12-26,p2605,成交量,P
11,中粮期货,14621,407.0,2025-12-26,p2605,成交量,P
12,徽商期货,13974,1583.0,2025-12-26,p2605,成交量,P
13,国投期货,11441,6644.0,2025-12-26,p2605,成交量,P
14,宝城期货,10770,2740.0,2025-12-26,p2605,成交量,P
15,海通期货,10419,3880.0,2025-12-26,p2605,成交量,P
16,国信期货,9290,-770.0,2025-12-26,p2605,成交量,P
17,永安期货,9092,3508.0,2025-12-26,p2605,成交量,P
18,中信建投,9050,1177.0,2025-12-26,p2605,成交量,P
19,摩根大通,8877,7075.0,2025-12-26,p2605,成交量,P
20,方正中期,7655,-1128.0,2025-12-26,p2605,成交量,P
1,国泰君安,131305,-2389.0,2025-12-29,p2605,成交量,P
2,东证期货,63948,5918.0,2025-12-29,p2605,成交量,P
3,中信期货,59469,-1895.0,2025-12-29,p2605,成交量,P
4,广发期货,32489,-6282.0,2025-12-29,p2605,成交量,P
5,银河期货,21003,-770.0,2025-12-29,p2605,成交量,P
6,浙商期货,20406,46.0,2025-12-29,p2605,成交量,P
7,华泰期货,19005,2233.0,2025-12-29,p2605,成交量,P
8,国联期货,18461,691.0,2025-12-29,p2605,成交量,P
9,中信建投,17190,8140.0,2025-12-29,p2605,成交量,P
10,建信期货,15505,13507.0,2025-12-29,p2605,成交量,P
11,光大期货,13084,-2563.0,2025-12-29,p2605,成交量,P
12,中泰期货,12421,-3370.0,2025-12-29,p2605,成交量,P
13,徽商期货,10245,-3729.0,2025-12-29,p2605,成交量,P
14,海通期货,9531,-888.0,2025-12-29,p2605,成交量,P
15,摩根大通,9148,271.0,2025-12-29,p2605,成交量,P
16,永安期货,8752,-340.0,2025-12-29,p2605,成交量,P
17,国信期货,8093,-1197.0,2025-12-29,p2605,成交量,P
18,国投期货,7812,-3629.0,2025-12-29,p2605,成交量,P
19,华闻期货,7708,1260.0,2025-12-29,p2605,成交量,P
20,中粮期货,7599,-7022.0,2025-12-29,p2605,成交量,P
1,国泰君安,131320,15.0,2025-12-30,p2605,成交量,P
2,中信期货,65407,5938.0,2025-12-30,p2605,成交量,P
3,东证期货,65144,1196.0,2025-12-30,p2605,成交量,P
4,广发期货,38454,5965.0,2025-12-30,p2605,成交量,P
5,银河期货,17634,-3369.0,2025-12-30,p2605,成交量,P
6,国联期货,16150,-2311.0,2025-12-30,p2605,成交量,P
7,华泰期货,15482,-3523.0,2025-12-30,p2605,成交量,P
8,光大期货,13614,530.0,2025-12-30,p2605,成交量,P
9,中泰期货,13162,741.0,2025-12-30,p2605,成交量,P
10,国投期货,11889,4077.0,2025-12-30,p2605,成交量,P
11,徽商期货,10990,745.0,2025-12-30,p2605,成交量,P
12,中信建投,10574,-6616.0,2025-12-30,p2605,成交量,P
13,国信期货,10406,2313.0,2025-12-30,p2605,成交量,P
14,摩根大通,10116,968.0,2025-12-30,p2605,成交量,P
15,方正中期,9610,2840.0,2025-12-30,p2605,成交量,P
16,永安期货,8933,181.0,2025-12-30,p2605,成交量,P
17,浙商期货,8793,-11613.0,2025-12-30,p2605,成交量,P
18,东吴期货,8681,2936.0,2025-12-30,p2605,成交量,P
19,中粮期货,8493,894.0,2025-12-30,p2605,成交量,P
20,海通期货,8282,-1249.0,2025-12-30,p2605,成交量,P
