排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,6263,-147.0,2025-12-25,pb2602,多单持仓,PB
2,国泰君安,4978,799.0,2025-12-25,pb2602,多单持仓,PB
3,乾坤期货,3904,-13.0,2025-12-25,pb2602,多单持仓,PB
4,申万期货,3039,15.0,2025-12-25,pb2602,多单持仓,PB
5,东证期货,2845,-444.0,2025-12-25,pb2602,多单持仓,PB
6,银河期货,2475,114.0,2025-12-25,pb2602,多单持仓,PB
7,中金财富,2074,-183.0,2025-12-25,pb2602,多单持仓,PB
8,国投期货,1922,179.0,2025-12-25,pb2602,多单持仓,PB
9,永安期货,1904,-55.0,2025-12-25,pb2602,多单持仓,PB
10,恒力期货,1903,1.0,2025-12-25,pb2602,多单持仓,PB
11,方正中期,1660,-341.0,2025-12-25,pb2602,多单持仓,PB
12,中信建投,1640,-86.0,2025-12-25,pb2602,多单持仓,PB
13,华泰期货,1582,-42.0,2025-12-25,pb2602,多单持仓,PB
14,光大期货,992,-6.0,2025-12-25,pb2602,多单持仓,PB
15,创元期货,812,-165.0,2025-12-25,pb2602,多单持仓,PB
16,中泰期货,770,-286.0,2025-12-25,pb2602,多单持仓,PB
17,招商期货,753,-38.0,2025-12-25,pb2602,多单持仓,PB
18,平安期货,737,161.0,2025-12-25,pb2602,多单持仓,PB
19,物产中大,722,-353.0,2025-12-25,pb2602,多单持仓,PB
20,国信期货,716,93.0,2025-12-25,pb2602,多单持仓,PB
1,中信期货,6611,348.0,2025-12-26,pb2602,多单持仓,PB
2,国泰君安,5379,401.0,2025-12-26,pb2602,多单持仓,PB
3,申万期货,3147,108.0,2025-12-26,pb2602,多单持仓,PB
4,乾坤期货,3096,-808.0,2025-12-26,pb2602,多单持仓,PB
5,东证期货,2615,-230.0,2025-12-26,pb2602,多单持仓,PB
6,银河期货,2236,-239.0,2025-12-26,pb2602,多单持仓,PB
7,国投期货,2060,138.0,2025-12-26,pb2602,多单持仓,PB
8,中金财富,1975,-99.0,2025-12-26,pb2602,多单持仓,PB
9,永安期货,1940,36.0,2025-12-26,pb2602,多单持仓,PB
10,恒力期货,1695,-208.0,2025-12-26,pb2602,多单持仓,PB
11,华泰期货,1606,24.0,2025-12-26,pb2602,多单持仓,PB
12,中信建投,1596,-44.0,2025-12-26,pb2602,多单持仓,PB
13,方正中期,1358,-302.0,2025-12-26,pb2602,多单持仓,PB
14,光大期货,974,-18.0,2025-12-26,pb2602,多单持仓,PB
15,创元期货,904,92.0,2025-12-26,pb2602,多单持仓,PB
