排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,6090,137.0,2025-12-25,pb2602,空单持仓,PB
2,国泰君安,4660,120.0,2025-12-25,pb2602,空单持仓,PB
3,东证期货,3668,21.0,2025-12-25,pb2602,空单持仓,PB
4,乾坤期货,3538,-8.0,2025-12-25,pb2602,空单持仓,PB
5,浙商期货,2921,-7.0,2025-12-25,pb2602,空单持仓,PB
6,国信期货,2177,-82.0,2025-12-25,pb2602,空单持仓,PB
7,中金财富,2082,-160.0,2025-12-25,pb2602,空单持仓,PB
8,金瑞期货,1591,199.0,2025-12-25,pb2602,空单持仓,PB
9,平安期货,1588,-497.0,2025-12-25,pb2602,空单持仓,PB
10,方正中期,1475,-11.0,2025-12-25,pb2602,空单持仓,PB
11,民生期货,1421,-76.0,2025-12-25,pb2602,空单持仓,PB
12,海通期货,1392,42.0,2025-12-25,pb2602,空单持仓,PB
13,华鑫期货,1300,250.0,2025-12-25,pb2602,空单持仓,PB
14,云晨期货,1116,79.0,2025-12-25,pb2602,空单持仓,PB
15,五矿期货,1048,101.0,2025-12-25,pb2602,空单持仓,PB
16,宏源期货,1030,-184.0,2025-12-25,pb2602,空单持仓,PB
17,大有期货,1020,65.0,2025-12-25,pb2602,空单持仓,PB
18,国投期货,1009,-40.0,2025-12-25,pb2602,空单持仓,PB
19,中辉期货,989,-147.0,2025-12-25,pb2602,空单持仓,PB
20,银河期货,966,32.0,2025-12-25,pb2602,空单持仓,PB
1,中信期货,6732,642.0,2025-12-26,pb2602,空单持仓,PB
2,国泰君安,4889,229.0,2025-12-26,pb2602,空单持仓,PB
3,东证期货,3558,-110.0,2025-12-26,pb2602,空单持仓,PB
4,浙商期货,2917,-4.0,2025-12-26,pb2602,空单持仓,PB
5,国信期货,2522,345.0,2025-12-26,pb2602,空单持仓,PB
6,乾坤期货,2460,-1078.0,2025-12-26,pb2602,空单持仓,PB
7,金瑞期货,1609,18.0,2025-12-26,pb2602,空单持仓,PB
8,方正中期,1589,114.0,2025-12-26,pb2602,空单持仓,PB
9,平安期货,1514,-74.0,2025-12-26,pb2602,空单持仓,PB
10,民生期货,1413,-8.0,2025-12-26,pb2602,空单持仓,PB
11,海通期货,1397,5.0,2025-12-26,pb2602,空单持仓,PB
12,华鑫期货,1349,49.0,2025-12-26,pb2602,空单持仓,PB
13,云晨期货,1172,56.0,2025-12-26,pb2602,空单持仓,PB
14,国投期货,1138,129.0,2025-12-26,pb2602,空单持仓,PB
15,大有期货,1104,84.0,2025-12-26,pb2602,空单持仓,PB
16,银河期货,1003,37.0,2025-12-26,pb2602,空单持仓,PB
17,华泰期货,999,116.0,2025-12-26,pb2602,空单持仓,PB
18,五矿期货,984,-64.0,2025-12-26,pb2602,空单持仓,PB
19,建信期货,956,72.0,2025-12-26,pb2602,空单持仓,PB
20,中辉期货,942,-47.0,2025-12-26,pb2602,空单持仓,PB
1,国泰君安,5727,838.0,2025-12-29,pb2602,空单持仓,PB
2,中信期货,4956,-1776.0,2025-12-29,pb2602,空单持仓,PB
3,东证期货,3797,239.0,2025-12-29,pb2602,空单持仓,PB
4,国信期货,2814,292.0,2025-12-29,pb2602,空单持仓,PB
5,浙商期货,2463,-454.0,2025-12-29,pb2602,空单持仓,PB
6,金瑞期货,2048,439.0,2025-12-29,pb2602,空单持仓,PB
