排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,18606,1807.0,2025-12-25,PF2602,多单持仓,PF
2,东证期货,17493,1238.0,2025-12-25,PF2602,多单持仓,PF
3,中信期货,16655,-100.0,2025-12-25,PF2602,多单持仓,PF
4,永安期货,13558,-146.0,2025-12-25,PF2602,多单持仓,PF
5,广发期货,10382,-88.0,2025-12-25,PF2602,多单持仓,PF
6,中金财富,9938,1197.0,2025-12-25,PF2602,多单持仓,PF
7,乾坤期货,9736,-9.0,2025-12-25,PF2602,多单持仓,PF
8,招商期货,7329,-140.0,2025-12-25,PF2602,多单持仓,PF
9,中信建投,7130,-557.0,2025-12-25,PF2602,多单持仓,PF
10,国投期货,6106,71.0,2025-12-25,PF2602,多单持仓,PF
11,平安期货,5372,-371.0,2025-12-25,PF2602,多单持仓,PF
12,方正中期,5298,-291.0,2025-12-25,PF2602,多单持仓,PF
13,华泰期货,4819,-986.0,2025-12-25,PF2602,多单持仓,PF
14,长江期货,4755,-777.0,2025-12-25,PF2602,多单持仓,PF
15,国贸期货,3986,60.0,2025-12-25,PF2602,多单持仓,PF
16,格林大华期货,3532,23.0,2025-12-25,PF2602,多单持仓,PF
17,银河期货,3334,385.0,2025-12-25,PF2602,多单持仓,PF
18,五矿期货,3326,-1533.0,2025-12-25,PF2602,多单持仓,PF
19,中融汇信,2248,-177.0,2025-12-25,PF2602,多单持仓,PF
20,光大期货,2159,350.0,2025-12-25,PF2602,多单持仓,PF
1,国泰君安,18863,257.0,2025-12-26,PF2602,多单持仓,PF
2,东证期货,17498,5.0,2025-12-26,PF2602,多单持仓,PF
3,中信期货,16512,-143.0,2025-12-26,PF2602,多单持仓,PF
4,永安期货,14358,800.0,2025-12-26,PF2602,多单持仓,PF
5,乾坤期货,9936,200.0,2025-12-26,PF2602,多单持仓,PF
6,中金财富,8529,-1409.0,2025-12-26,PF2602,多单持仓,PF
7,平安期货,6680,1308.0,2025-12-26,PF2602,多单持仓,PF
8,国投期货,6152,46.0,2025-12-26,PF2602,多单持仓,PF
9,广发期货,5774,-4608.0,2025-12-26,PF2602,多单持仓,PF
10,招商期货,5351,-1978.0,2025-12-26,PF2602,多单持仓,PF
11,长江期货,4603,-152.0,2025-12-26,PF2602,多单持仓,PF
12,中信建投,4432,-2698.0,2025-12-26,PF2602,多单持仓,PF
13,华泰期货,4317,-502.0,2025-12-26,PF2602,多单持仓,PF
14,国贸期货,4072,86.0,2025-12-26,PF2602,多单持仓,PF
15,银河期货,3858,524.0,2025-12-26,PF2602,多单持仓,PF
16,格林大华期货,3308,-224.0,2025-12-26,PF2602,多单持仓,PF
17,光大期货,2297,138.0,2025-12-26,PF2602,多单持仓,PF
18,物产中大,2273,229.0,2025-12-26,PF2602,多单持仓,PF
19,五矿期货,2254,-1072.0,2025-12-26,PF2602,多单持仓,PF
20,中融汇信,2233,-15.0,2025-12-26,PF2602,多单持仓,PF
1,东证期货,17672,174.0,2025-12-29,PF2602,多单持仓,PF
2,国泰君安,17030,-1833.0,2025-12-29,PF2602,多单持仓,PF
3,中信期货,15431,-1081.0,2025-12-29,PF2602,多单持仓,PF
4,永安期货,12403,-1955.0,2025-12-29,PF2602,多单持仓,PF
5,乾坤期货,9641,-295.0,2025-12-29,PF2602,多单持仓,PF
6,平安期货,7849,1169.0,2025-12-29,PF2602,多单持仓,PF
7,中金财富,7745,-784.0,2025-12-29,PF2602,多单持仓,PF
8,华泰期货,5080,763.0,2025-12-29,PF2602,多单持仓,PF
9,国投期货,4504,-1648.0,2025-12-29,PF2602,多单持仓,PF
10,招商期货,4296,-1055.0,2025-12-29,PF2602,多单持仓,PF
11,广发期货,3756,-2018.0,2025-12-29,PF2602,多单持仓,PF
12,银河期货,3494,-364.0,2025-12-29,PF2602,多单持仓,PF
13,中信建投,3327,-1105.0,2025-12-29,PF2602,多单持仓,PF
14,国贸期货,3228,-844.0,2025-12-29,PF2602,多单持仓,PF
15,格林大华期货,3020,-288.0,2025-12-29,PF2602,多单持仓,PF
16,长江期货,2787,-1816.0,2025-12-29,PF2602,多单持仓,PF
17,光大期货,2421,124.0,2025-12-29,PF2602,多单持仓,PF
18,物产中大,2267,-6.0,2025-12-29,PF2602,多单持仓,PF
19,中融汇信,2165,-68.0,2025-12-29,PF2602,多单持仓,PF
20,海通期货,1921,356.0,2025-12-29,PF2602,多单持仓,PF
1,国泰君安,16375,-655.0,2025-12-30,PF2602,多单持仓,PF
2,东证期货,15560,-2112.0,2025-12-30,PF2602,多单持仓,PF
3,中信期货,12500,-2931.0,2025-12-30,PF2602,多单持仓,PF
4,平安期货,9529,1680.0,2025-12-30,PF2602,多单持仓,PF
5,永安期货,9306,-3097.0,2025-12-30,PF2602,多单持仓,PF
6,乾坤期货,7746,-1895.0,2025-12-30,PF2602,多单持仓,PF
7,中金财富,7078,-667.0,2025-12-30,PF2602,多单持仓,PF
8,华泰期货,6458,1378.0,2025-12-30,PF2602,多单持仓,PF
9,中信建投,4033,706.0,2025-12-30,PF2602,多单持仓,PF
10,国投期货,3793,-711.0,2025-12-30,PF2602,多单持仓,PF
11,银河期货,3564,70.0,2025-12-30,PF2602,多单持仓,PF
12,招商期货,3218,-1078.0,2025-12-30,PF2602,多单持仓,PF
13,国贸期货,3014,-214.0,2025-12-30,PF2602,多单持仓,PF
14,光大期货,2636,215.0,2025-12-30,PF2602,多单持仓,PF
15,广发期货,2440,-1316.0,2025-12-30,PF2602,多单持仓,PF
16,格林大华期货,2421,-599.0,2025-12-30,PF2602,多单持仓,PF
17,中融汇信,2153,-12.0,2025-12-30,PF2602,多单持仓,PF
18,物产中大,2024,-243.0,2025-12-30,PF2602,多单持仓,PF
19,海通期货,1940,19.0,2025-12-30,PF2602,多单持仓,PF
20,中泰期货,1871,-9.0,2025-12-30,PF2602,多单持仓,PF
1,东证期货,16555,995.0,2025-12-31,PF2602,多单持仓,PF
2,国泰君安,15668,-707.0,2025-12-31,PF2602,多单持仓,PF
3,中信期货,9556,-2944.0,2025-12-31,PF2602,多单持仓,PF
4,平安期货,8923,-606.0,2025-12-31,PF2602,多单持仓,PF
5,乾坤期货,8489,743.0,2025-12-31,PF2602,多单持仓,PF
6,永安期货,7094,-2212.0,2025-12-31,PF2602,多单持仓,PF
7,中金财富,6357,-721.0,2025-12-31,PF2602,多单持仓,PF
8,华泰期货,4607,-1851.0,2025-12-31,PF2602,多单持仓,PF
9,中信建投,3856,-177.0,2025-12-31,PF2602,多单持仓,PF
10,银河期货,3348,-216.0,2025-12-31,PF2602,多单持仓,PF
11,国贸期货,2717,-297.0,2025-12-31,PF2602,多单持仓,PF
12,海通期货,2146,206.0,2025-12-31,PF2602,多单持仓,PF
13,招商期货,2145,-1073.0,2025-12-31,PF2602,多单持仓,PF
14,国投期货,2105,-1688.0,2025-12-31,PF2602,多单持仓,PF
15,光大期货,1987,-649.0,2025-12-31,PF2602,多单持仓,PF
16,物产中大,1981,-43.0,2025-12-31,PF2602,多单持仓,PF
17,格林大华期货,1697,-724.0,2025-12-31,PF2602,多单持仓,PF
18,广发期货,1489,-951.0,2025-12-31,PF2602,多单持仓,PF
19,宏源期货,1464,-79.0,2025-12-31,PF2602,多单持仓,PF
20,创元期货,1454,62.0,2025-12-31,PF2602,多单持仓,PF
