排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,22250,382.0,2025-12-25,PF2602,空单持仓,PF
2,中信期货,21424,-646.0,2025-12-25,PF2602,空单持仓,PF
3,永安期货,11660,787.0,2025-12-25,PF2602,空单持仓,PF
4,浙商期货,10680,-874.0,2025-12-25,PF2602,空单持仓,PF
5,中信建投,10585,991.0,2025-12-25,PF2602,空单持仓,PF
6,广发期货,9983,124.0,2025-12-25,PF2602,空单持仓,PF
7,华泰期货,8618,-280.0,2025-12-25,PF2602,空单持仓,PF
8,东证期货,8147,-3453.0,2025-12-25,PF2602,空单持仓,PF
9,国投期货,6663,23.0,2025-12-25,PF2602,空单持仓,PF
10,乾坤期货,5879,-16.0,2025-12-25,PF2602,空单持仓,PF
11,招商期货,5559,-3.0,2025-12-25,PF2602,空单持仓,PF
12,方正中期,5251,-34.0,2025-12-25,PF2602,空单持仓,PF
13,长江期货,4620,-754.0,2025-12-25,PF2602,空单持仓,PF
14,平安期货,3587,546.0,2025-12-25,PF2602,空单持仓,PF
15,格林大华期货,3574,74.0,2025-12-25,PF2602,空单持仓,PF
16,五矿期货,3214,-1470.0,2025-12-25,PF2602,空单持仓,PF
17,南华期货,2804,530.0,2025-12-25,PF2602,空单持仓,PF
18,国联期货,2766,16.0,2025-12-25,PF2602,空单持仓,PF
19,瑞银期货,2490,-134.0,2025-12-25,PF2602,空单持仓,PF
20,国贸期货,2355,901.0,2025-12-25,PF2602,空单持仓,PF
1,国泰君安,22228,-22.0,2025-12-26,PF2602,空单持仓,PF
2,中信期货,22019,595.0,2025-12-26,PF2602,空单持仓,PF
3,永安期货,12066,406.0,2025-12-26,PF2602,空单持仓,PF
4,浙商期货,11684,1004.0,2025-12-26,PF2602,空单持仓,PF
5,华泰期货,8961,343.0,2025-12-26,PF2602,空单持仓,PF
6,中信建投,8475,-2110.0,2025-12-26,PF2602,空单持仓,PF
7,东证期货,7528,-619.0,2025-12-26,PF2602,空单持仓,PF
8,国投期货,6596,-67.0,2025-12-26,PF2602,空单持仓,PF
9,广发期货,5437,-4546.0,2025-12-26,PF2602,空单持仓,PF
