排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,71618,-14406.0,2025-12-25,PF2602,成交量,PF
2,东证期货,46757,-9489.0,2025-12-25,PF2602,成交量,PF
3,广发期货,21860,-7338.0,2025-12-25,PF2602,成交量,PF
4,浙商期货,18255,-9267.0,2025-12-25,PF2602,成交量,PF
5,国泰君安,14567,-7853.0,2025-12-25,PF2602,成交量,PF
6,中信建投,14324,326.0,2025-12-25,PF2602,成交量,PF
7,长江期货,10115,-6316.0,2025-12-25,PF2602,成交量,PF
8,永安期货,9039,-4157.0,2025-12-25,PF2602,成交量,PF
9,方正中期,8605,-6274.0,2025-12-25,PF2602,成交量,PF
10,瑞达期货,8548,-6505.0,2025-12-25,PF2602,成交量,PF
11,华泰期货,8194,-3838.0,2025-12-25,PF2602,成交量,PF
12,招商期货,8111,-7358.0,2025-12-25,PF2602,成交量,PF
13,渤海期货,7951,-1892.0,2025-12-25,PF2602,成交量,PF
14,华闻期货,7910,-2191.0,2025-12-25,PF2602,成交量,PF
15,银河期货,7521,-482.0,2025-12-25,PF2602,成交量,PF
16,五矿期货,6469,-5047.0,2025-12-25,PF2602,成交量,PF
17,国信期货,5974,623.0,2025-12-25,PF2602,成交量,PF
18,中泰期货,5678,-4685.0,2025-12-25,PF2602,成交量,PF
19,冠通期货,5552,1480.0,2025-12-25,PF2602,成交量,PF
20,平安期货,4761,1864.0,2025-12-25,PF2602,成交量,PF
1,中信期货,82570,10952.0,2025-12-26,PF2602,成交量,PF
2,东证期货,53188,6431.0,2025-12-26,PF2602,成交量,PF
3,海通期货,25823,22012.0,2025-12-26,PF2602,成交量,PF
4,广发期货,22440,580.0,2025-12-26,PF2602,成交量,PF
5,国泰君安,20415,5848.0,2025-12-26,PF2602,成交量,PF
6,招商期货,16054,7943.0,2025-12-26,PF2602,成交量,PF
7,五矿期货,15659,9190.0,2025-12-26,PF2602,成交量,PF
8,中信建投,15058,734.0,2025-12-26,PF2602,成交量,PF
9,中泰期货,12984,7306.0,2025-12-26,PF2602,成交量,PF
10,华泰期货,11445,3251.0,2025-12-26,PF2602,成交量,PF
11,华闻期货,10775,2865.0,2025-12-26,PF2602,成交量,PF
12,方正中期,10391,1786.0,2025-12-26,PF2602,成交量,PF
13,银河期货,9532,2011.0,2025-12-26,PF2602,成交量,PF
14,渤海期货,9120,1169.0,2025-12-26,PF2602,成交量,PF
15,永安期货,8270,-769.0,2025-12-26,PF2602,成交量,PF
