排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,8376,128.0,2025-12-25,pg2602,多单持仓,PG
2,国泰君安,8048,-2057.0,2025-12-25,pg2602,多单持仓,PG
3,国投期货,5908,56.0,2025-12-25,pg2602,多单持仓,PG
4,东证期货,4977,-424.0,2025-12-25,pg2602,多单持仓,PG
5,海通期货,4402,-153.0,2025-12-25,pg2602,多单持仓,PG
6,长江期货,3825,-37.0,2025-12-25,pg2602,多单持仓,PG
7,中信建投,3030,-299.0,2025-12-25,pg2602,多单持仓,PG
8,华泰期货,2581,54.0,2025-12-25,pg2602,多单持仓,PG
9,瑞银期货,1598,12.0,2025-12-25,pg2602,多单持仓,PG
10,永安期货,1522,-15.0,2025-12-25,pg2602,多单持仓,PG
11,中金财富,1436,-46.0,2025-12-25,pg2602,多单持仓,PG
12,广发期货,1425,-77.0,2025-12-25,pg2602,多单持仓,PG
13,乾坤期货,1154,-76.0,2025-12-25,pg2602,多单持仓,PG
14,南华期货,1030,45.0,2025-12-25,pg2602,多单持仓,PG
15,银河期货,969,-21.0,2025-12-25,pg2602,多单持仓,PG
16,海证期货,843,66.0,2025-12-25,pg2602,多单持仓,PG
17,浙商期货,815,-187.0,2025-12-25,pg2602,多单持仓,PG
18,宏源期货,734,79.0,2025-12-25,pg2602,多单持仓,PG
19,华闻期货,702,34.0,2025-12-25,pg2602,多单持仓,PG
20,国信期货,699,31.0,2025-12-25,pg2602,多单持仓,PG
1,国泰君安,8070,22.0,2025-12-26,pg2602,多单持仓,PG
2,中信期货,7647,-729.0,2025-12-26,pg2602,多单持仓,PG
3,国投期货,6010,102.0,2025-12-26,pg2602,多单持仓,PG
4,东证期货,5903,926.0,2025-12-26,pg2602,多单持仓,PG
5,海通期货,4334,-68.0,2025-12-26,pg2602,多单持仓,PG
6,长江期货,3818,-7.0,2025-12-26,pg2602,多单持仓,PG
7,中信建投,2753,-277.0,2025-12-26,pg2602,多单持仓,PG
8,华泰期货,2485,-96.0,2025-12-26,pg2602,多单持仓,PG
9,瑞银期货,1597,-1.0,2025-12-26,pg2602,多单持仓,PG
10,广发期货,1566,141.0,2025-12-26,pg2602,多单持仓,PG
11,永安期货,1566,44.0,2025-12-26,pg2602,多单持仓,PG
12,中金财富,1332,-104.0,2025-12-26,pg2602,多单持仓,PG
13,乾坤期货,979,-175.0,2025-12-26,pg2602,多单持仓,PG
14,银河期货,884,-85.0,2025-12-26,pg2602,多单持仓,PG
15,中融汇信,814,219.0,2025-12-26,pg2602,多单持仓,PG
16,南华期货,806,-224.0,2025-12-26,pg2602,多单持仓,PG
17,海证期货,790,-53.0,2025-12-26,pg2602,多单持仓,PG
18,浙商期货,773,-42.0,2025-12-26,pg2602,多单持仓,PG
19,华闻期货,770,68.0,2025-12-26,pg2602,多单持仓,PG
20,国信期货,687,-12.0,2025-12-26,pg2602,多单持仓,PG
1,国泰君安,7476,-594.0,2025-12-29,pg2602,多单持仓,PG
2,中信期货,7409,-238.0,2025-12-29,pg2602,多单持仓,PG
3,东证期货,6178,275.0,2025-12-29,pg2602,多单持仓,PG
4,国投期货,5905,-105.0,2025-12-29,pg2602,多单持仓,PG
5,海通期货,4392,58.0,2025-12-29,pg2602,多单持仓,PG
6,长江期货,3794,-24.0,2025-12-29,pg2602,多单持仓,PG
7,华泰期货,2592,107.0,2025-12-29,pg2602,多单持仓,PG
8,中信建投,2436,-317.0,2025-12-29,pg2602,多单持仓,PG
9,中金财富,1595,263.0,2025-12-29,pg2602,多单持仓,PG
10,永安期货,1551,-15.0,2025-12-29,pg2602,多单持仓,PG
11,广发期货,1518,-48.0,2025-12-29,pg2602,多单持仓,PG
12,瑞银期货,1302,-295.0,2025-12-29,pg2602,多单持仓,PG
13,银河期货,968,84.0,2025-12-29,pg2602,多单持仓,PG
14,平安期货,878,444.0,2025-12-29,pg2602,多单持仓,PG
15,中融汇信,819,5.0,2025-12-29,pg2602,多单持仓,PG
16,南华期货,792,-14.0,2025-12-29,pg2602,多单持仓,PG
17,国信期货,786,99.0,2025-12-29,pg2602,多单持仓,PG
18,浙商期货,785,12.0,2025-12-29,pg2602,多单持仓,PG
19,海证期货,775,-15.0,2025-12-29,pg2602,多单持仓,PG
20,华闻期货,749,-21.0,2025-12-29,pg2602,多单持仓,PG
1,国泰君安,7562,86.0,2025-12-30,pg2602,多单持仓,PG
2,中信期货,7195,-214.0,2025-12-30,pg2602,多单持仓,PG
3,东证期货,5663,-515.0,2025-12-30,pg2602,多单持仓,PG
4,海通期货,4532,140.0,2025-12-30,pg2602,多单持仓,PG
5,长江期货,3791,-3.0,2025-12-30,pg2602,多单持仓,PG
6,国投期货,2735,-3170.0,2025-12-30,pg2602,多单持仓,PG
7,华泰期货,2603,11.0,2025-12-30,pg2602,多单持仓,PG
8,银河期货,1538,570.0,2025-12-30,pg2602,多单持仓,PG
9,中金财富,1411,-184.0,2025-12-30,pg2602,多单持仓,PG
10,广发期货,1354,-164.0,2025-12-30,pg2602,多单持仓,PG
11,中信建投,1281,-1155.0,2025-12-30,pg2602,多单持仓,PG
12,瑞银期货,1224,-78.0,2025-12-30,pg2602,多单持仓,PG
13,永安期货,1169,-382.0,2025-12-30,pg2602,多单持仓,PG
14,平安期货,1089,211.0,2025-12-30,pg2602,多单持仓,PG
15,国信期货,835,49.0,2025-12-30,pg2602,多单持仓,PG
16,浙商期货,785,0.0,2025-12-30,pg2602,多单持仓,PG
17,海证期货,771,-4.0,2025-12-30,pg2602,多单持仓,PG
18,创元期货,728,6.0,2025-12-30,pg2602,多单持仓,PG
19,华闻期货,712,-37.0,2025-12-30,pg2602,多单持仓,PG
20,中粮期货,695,390.0,2025-12-30,pg2602,多单持仓,PG
