排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,13397,-3216.0,2025-12-25,pg2602,成交量,PG
2,国泰君安,12914,-1089.0,2025-12-25,pg2602,成交量,PG
3,中信期货,8013,-1473.0,2025-12-25,pg2602,成交量,PG
4,海通期货,4641,-554.0,2025-12-25,pg2602,成交量,PG
5,广发期货,3950,-904.0,2025-12-25,pg2602,成交量,PG
6,浙商期货,3712,-2289.0,2025-12-25,pg2602,成交量,PG
7,华泰期货,2793,-1006.0,2025-12-25,pg2602,成交量,PG
8,徽商期货,2378,0.0,2025-12-25,pg2602,成交量,PG
9,银河期货,2085,-86.0,2025-12-25,pg2602,成交量,PG
10,光大期货,2025,-159.0,2025-12-25,pg2602,成交量,PG
11,中信建投,1874,-246.0,2025-12-25,pg2602,成交量,PG
12,华闻期货,1513,-207.0,2025-12-25,pg2602,成交量,PG
13,安粮期货,1383,368.0,2025-12-25,pg2602,成交量,PG
14,中泰期货,1372,-737.0,2025-12-25,pg2602,成交量,PG
15,国信期货,1354,-235.0,2025-12-25,pg2602,成交量,PG
16,国海良时,1322,325.0,2025-12-25,pg2602,成交量,PG
17,方正中期,1172,19.0,2025-12-25,pg2602,成交量,PG
18,宏源期货,1156,41.0,2025-12-25,pg2602,成交量,PG
19,招商期货,1085,-17.0,2025-12-25,pg2602,成交量,PG
20,宝城期货,1054,-141.0,2025-12-25,pg2602,成交量,PG
1,东证期货,14654,1257.0,2025-12-26,pg2602,成交量,PG
2,国泰君安,14359,1445.0,2025-12-26,pg2602,成交量,PG
3,中信期货,8623,610.0,2025-12-26,pg2602,成交量,PG
4,广发期货,4673,723.0,2025-12-26,pg2602,成交量,PG
5,浙商期货,4226,514.0,2025-12-26,pg2602,成交量,PG
6,华泰期货,3485,692.0,2025-12-26,pg2602,成交量,PG
7,中泰期货,2397,1025.0,2025-12-26,pg2602,成交量,PG
8,一德期货,2347,1753.0,2025-12-26,pg2602,成交量,PG
9,徽商期货,2326,-52.0,2025-12-26,pg2602,成交量,PG
10,海通期货,2148,-2493.0,2025-12-26,pg2602,成交量,PG
11,银河期货,2111,26.0,2025-12-26,pg2602,成交量,PG
12,永安期货,1921,1305.0,2025-12-26,pg2602,成交量,PG
13,中信建投,1866,-8.0,2025-12-26,pg2602,成交量,PG
14,光大期货,1687,-338.0,2025-12-26,pg2602,成交量,PG
15,方正中期,1647,475.0,2025-12-26,pg2602,成交量,PG
16,宝城期货,1583,529.0,2025-12-26,pg2602,成交量,PG
17,东吴期货,1431,489.0,2025-12-26,pg2602,成交量,PG
18,招商期货,1319,234.0,2025-12-26,pg2602,成交量,PG
19,华闻期货,1284,-229.0,2025-12-26,pg2602,成交量,PG
20,东方财富,1257,289.0,2025-12-26,pg2602,成交量,PG
1,国泰君安,15990,1631.0,2025-12-29,pg2602,成交量,PG
2,东证期货,15975,1321.0,2025-12-29,pg2602,成交量,PG
3,中信期货,9195,572.0,2025-12-29,pg2602,成交量,PG
4,广发期货,3805,-868.0,2025-12-29,pg2602,成交量,PG
5,华泰期货,3615,130.0,2025-12-29,pg2602,成交量,PG
6,浙商期货,3030,-1196.0,2025-12-29,pg2602,成交量,PG
7,徽商期货,2742,416.0,2025-12-29,pg2602,成交量,PG
8,中泰期货,2223,-174.0,2025-12-29,pg2602,成交量,PG
9,海通期货,2219,71.0,2025-12-29,pg2602,成交量,PG
10,银河期货,2212,101.0,2025-12-29,pg2602,成交量,PG
11,光大期货,2063,376.0,2025-12-29,pg2602,成交量,PG
12,中信建投,1759,-107.0,2025-12-29,pg2602,成交量,PG
13,国投期货,1697,551.0,2025-12-29,pg2602,成交量,PG
14,一德期货,1689,-658.0,2025-12-29,pg2602,成交量,PG
15,国信期货,1633,378.0,2025-12-29,pg2602,成交量,PG
16,瑞达期货,1505,851.0,2025-12-29,pg2602,成交量,PG
17,华闻期货,1405,121.0,2025-12-29,pg2602,成交量,PG
18,永安期货,1378,-543.0,2025-12-29,pg2602,成交量,PG
19,招商期货,1310,-9.0,2025-12-29,pg2602,成交量,PG
20,东吴期货,1282,-149.0,2025-12-29,pg2602,成交量,PG
1,国泰君安,19280,3290.0,2025-12-30,pg2602,成交量,PG
2,东证期货,18737,2762.0,2025-12-30,pg2602,成交量,PG
3,中信期货,10958,1763.0,2025-12-30,pg2602,成交量,PG
4,国投期货,6759,5062.0,2025-12-30,pg2602,成交量,PG
5,广发期货,6629,2824.0,2025-12-30,pg2602,成交量,PG
6,华泰期货,4545,930.0,2025-12-30,pg2602,成交量,PG
7,中信建投,3975,2216.0,2025-12-30,pg2602,成交量,PG
8,海通期货,3473,1254.0,2025-12-30,pg2602,成交量,PG
9,中泰期货,3348,1125.0,2025-12-30,pg2602,成交量,PG
10,银河期货,3173,961.0,2025-12-30,pg2602,成交量,PG
11,徽商期货,3015,273.0,2025-12-30,pg2602,成交量,PG
12,华闻期货,2191,786.0,2025-12-30,pg2602,成交量,PG
13,永安期货,2150,772.0,2025-12-30,pg2602,成交量,PG
14,东吴期货,2031,749.0,2025-12-30,pg2602,成交量,PG
15,光大期货,2031,-32.0,2025-12-30,pg2602,成交量,PG
16,国信期货,1743,110.0,2025-12-30,pg2602,成交量,PG
17,方正中期,1712,525.0,2025-12-30,pg2602,成交量,PG
18,民生期货,1652,414.0,2025-12-30,pg2602,成交量,PG
19,浙商期货,1638,-1392.0,2025-12-30,pg2602,成交量,PG
20,上海东亚,1491,425.0,2025-12-30,pg2602,成交量,PG
