排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,81860,477.0,2025-12-25,pp2605,空单持仓,PP
2,国泰君安,68872,6327.0,2025-12-25,pp2605,空单持仓,PP
3,东证期货,39108,-624.0,2025-12-25,pp2605,空单持仓,PP
4,浙商期货,28169,96.0,2025-12-25,pp2605,空单持仓,PP
5,乾坤期货,23713,-1037.0,2025-12-25,pp2605,空单持仓,PP
6,永安期货,20031,-178.0,2025-12-25,pp2605,空单持仓,PP
7,中金财富,19866,-946.0,2025-12-25,pp2605,空单持仓,PP
8,华泰期货,18866,-1080.0,2025-12-25,pp2605,空单持仓,PP
9,平安期货,15383,-1603.0,2025-12-25,pp2605,空单持仓,PP
10,银河期货,11368,281.0,2025-12-25,pp2605,空单持仓,PP
11,国投期货,11029,-346.0,2025-12-25,pp2605,空单持仓,PP
12,海通期货,8684,-960.0,2025-12-25,pp2605,空单持仓,PP
13,申银万国,7850,495.0,2025-12-25,pp2605,空单持仓,PP
14,中泰期货,7633,-1119.0,2025-12-25,pp2605,空单持仓,PP
15,中粮期货,7616,519.0,2025-12-25,pp2605,空单持仓,PP
16,中信建投,7322,-307.0,2025-12-25,pp2605,空单持仓,PP
17,广发期货,7101,1834.0,2025-12-25,pp2605,空单持仓,PP
18,光大期货,6866,-320.0,2025-12-25,pp2605,空单持仓,PP
19,瑞银期货,6701,68.0,2025-12-25,pp2605,空单持仓,PP
20,港信期货,5040,-24.0,2025-12-25,pp2605,空单持仓,PP
1,中信期货,81309,-551.0,2025-12-26,pp2605,空单持仓,PP
2,国泰君安,70289,1417.0,2025-12-26,pp2605,空单持仓,PP
3,东证期货,37883,-1225.0,2025-12-26,pp2605,空单持仓,PP
4,乾坤期货,27339,3626.0,2025-12-26,pp2605,空单持仓,PP
5,浙商期货,26226,-1943.0,2025-12-26,pp2605,空单持仓,PP
6,中金财富,19998,132.0,2025-12-26,pp2605,空单持仓,PP
7,华泰期货,19282,416.0,2025-12-26,pp2605,空单持仓,PP
8,永安期货,16605,-3426.0,2025-12-26,pp2605,空单持仓,PP
9,平安期货,15946,563.0,2025-12-26,pp2605,空单持仓,PP
10,银河期货,13486,2118.0,2025-12-26,pp2605,空单持仓,PP
11,国投期货,11345,316.0,2025-12-26,pp2605,空单持仓,PP
12,海通期货,8740,56.0,2025-12-26,pp2605,空单持仓,PP
13,中泰期货,8636,1003.0,2025-12-26,pp2605,空单持仓,PP
14,申银万国,7837,-13.0,2025-12-26,pp2605,空单持仓,PP
15,光大期货,7223,357.0,2025-12-26,pp2605,空单持仓,PP
16,中信建投,7037,-285.0,2025-12-26,pp2605,空单持仓,PP
17,瑞银期货,6705,4.0,2025-12-26,pp2605,空单持仓,PP
18,广发期货,6682,-419.0,2025-12-26,pp2605,空单持仓,PP
19,中粮期货,6443,-1173.0,2025-12-26,pp2605,空单持仓,PP
20,南华期货,5489,531.0,2025-12-26,pp2605,空单持仓,PP
1,中信期货,79078,-2231.0,2025-12-29,pp2605,空单持仓,PP
2,国泰君安,67805,-2484.0,2025-12-29,pp2605,空单持仓,PP
3,东证期货,41158,3275.0,2025-12-29,pp2605,空单持仓,PP
4,浙商期货,26237,11.0,2025-12-29,pp2605,空单持仓,PP
5,乾坤期货,25431,-1908.0,2025-12-29,pp2605,空单持仓,PP
6,华泰期货,19221,-61.0,2025-12-29,pp2605,空单持仓,PP
7,中金财富,18001,-1997.0,2025-12-29,pp2605,空单持仓,PP
8,永安期货,16135,-470.0,2025-12-29,pp2605,空单持仓,PP
9,平安期货,14862,-1084.0,2025-12-29,pp2605,空单持仓,PP
10,银河期货,14141,655.0,2025-12-29,pp2605,空单持仓,PP
11,国投期货,11143,-202.0,2025-12-29,pp2605,空单持仓,PP
12,中泰期货,9408,772.0,2025-12-29,pp2605,空单持仓,PP
13,海通期货,8831,91.0,2025-12-29,pp2605,空单持仓,PP
14,申银万国,7902,65.0,2025-12-29,pp2605,空单持仓,PP
15,中信建投,7648,611.0,2025-12-29,pp2605,空单持仓,PP
16,瑞银期货,6742,37.0,2025-12-29,pp2605,空单持仓,PP
17,光大期货,6311,-912.0,2025-12-29,pp2605,空单持仓,PP
18,广发期货,6271,-411.0,2025-12-29,pp2605,空单持仓,PP
19,南华期货,5752,263.0,2025-12-29,pp2605,空单持仓,PP
20,中粮期货,5699,-744.0,2025-12-29,pp2605,空单持仓,PP
1,中信期货,78164,-914.0,2025-12-30,pp2605,空单持仓,PP
2,国泰君安,73718,5913.0,2025-12-30,pp2605,空单持仓,PP
3,东证期货,44516,3358.0,2025-12-30,pp2605,空单持仓,PP
4,浙商期货,28042,1805.0,2025-12-30,pp2605,空单持仓,PP
5,乾坤期货,25138,-293.0,2025-12-30,pp2605,空单持仓,PP
6,中金财富,18019,18.0,2025-12-30,pp2605,空单持仓,PP
7,华泰期货,17421,-1800.0,2025-12-30,pp2605,空单持仓,PP
8,平安期货,16071,1209.0,2025-12-30,pp2605,空单持仓,PP
9,永安期货,14787,-1348.0,2025-12-30,pp2605,空单持仓,PP
10,银河期货,14148,7.0,2025-12-30,pp2605,空单持仓,PP
11,国投期货,11386,243.0,2025-12-30,pp2605,空单持仓,PP
12,中泰期货,9894,486.0,2025-12-30,pp2605,空单持仓,PP
13,海通期货,9447,616.0,2025-12-30,pp2605,空单持仓,PP
14,广发期货,8227,1956.0,2025-12-30,pp2605,空单持仓,PP
15,申银万国,8143,241.0,2025-12-30,pp2605,空单持仓,PP
16,中信建投,7772,124.0,2025-12-30,pp2605,空单持仓,PP
