排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,111444,-24175.0,2025-12-25,pp2605,成交量,PP
2,东证期货,73237,-23695.0,2025-12-25,pp2605,成交量,PP
3,中信期货,62360,-28501.0,2025-12-25,pp2605,成交量,PP
4,南华期货,37192,-7097.0,2025-12-25,pp2605,成交量,PP
5,广发期货,26411,-7029.0,2025-12-25,pp2605,成交量,PP
6,浙商期货,24373,-8107.0,2025-12-25,pp2605,成交量,PP
7,华泰期货,19467,-12268.0,2025-12-25,pp2605,成交量,PP
8,华闻期货,18988,-10129.0,2025-12-25,pp2605,成交量,PP
9,银河期货,16225,-1422.0,2025-12-25,pp2605,成交量,PP
10,海通期货,14824,-2437.0,2025-12-25,pp2605,成交量,PP
11,国联期货,14319,-2712.0,2025-12-25,pp2605,成交量,PP
12,中泰期货,13928,-1341.0,2025-12-25,pp2605,成交量,PP
13,国信期货,13526,-2120.0,2025-12-25,pp2605,成交量,PP
14,方正中期,10962,-5371.0,2025-12-25,pp2605,成交量,PP
15,徽商期货,10757,-185.0,2025-12-25,pp2605,成交量,PP
16,中信建投,10328,-1184.0,2025-12-25,pp2605,成交量,PP
17,国投期货,9222,-1411.0,2025-12-25,pp2605,成交量,PP
18,申银万国,9135,-4322.0,2025-12-25,pp2605,成交量,PP
19,永安期货,8810,-3669.0,2025-12-25,pp2605,成交量,PP
20,光大期货,8376,-2941.0,2025-12-25,pp2605,成交量,PP
1,国泰君安,139620,28176.0,2025-12-26,pp2605,成交量,PP
2,东证期货,98990,25753.0,2025-12-26,pp2605,成交量,PP
3,中信期货,88235,25875.0,2025-12-26,pp2605,成交量,PP
4,南华期货,43132,5940.0,2025-12-26,pp2605,成交量,PP
5,广发期货,35973,9562.0,2025-12-26,pp2605,成交量,PP
6,浙商期货,31553,7180.0,2025-12-26,pp2605,成交量,PP
7,银河期货,27950,11725.0,2025-12-26,pp2605,成交量,PP
8,华泰期货,27570,8103.0,2025-12-26,pp2605,成交量,PP
9,华闻期货,26789,7801.0,2025-12-26,pp2605,成交量,PP
10,海通期货,20639,5815.0,2025-12-26,pp2605,成交量,PP
11,中泰期货,20331,6403.0,2025-12-26,pp2605,成交量,PP
12,国联期货,18341,4022.0,2025-12-26,pp2605,成交量,PP
13,国信期货,16615,3089.0,2025-12-26,pp2605,成交量,PP
14,永安期货,16522,7712.0,2025-12-26,pp2605,成交量,PP
15,徽商期货,16482,5725.0,2025-12-26,pp2605,成交量,PP
16,方正中期,15388,4426.0,2025-12-26,pp2605,成交量,PP
17,中信建投,12368,2040.0,2025-12-26,pp2605,成交量,PP
18,国投期货,12085,2863.0,2025-12-26,pp2605,成交量,PP
19,光大期货,11616,3240.0,2025-12-26,pp2605,成交量,PP
20,瑞达期货,11366,7266.0,2025-12-26,pp2605,成交量,PP
1,国泰君安,98761,-40859.0,2025-12-29,pp2605,成交量,PP
2,东证期货,80018,-18972.0,2025-12-29,pp2605,成交量,PP
3,中信期货,72556,-15679.0,2025-12-29,pp2605,成交量,PP
4,南华期货,40784,-2348.0,2025-12-29,pp2605,成交量,PP
