排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,5796,-2.0,2025-12-25,PR2603,空单持仓,PR
2,中信建投,3678,-2.0,2025-12-25,PR2603,空单持仓,PR
3,浙商期货,3224,120.0,2025-12-25,PR2603,空单持仓,PR
4,东证期货,3081,-145.0,2025-12-25,PR2603,空单持仓,PR
5,广发期货,2909,149.0,2025-12-25,PR2603,空单持仓,PR
6,永安期货,2192,-95.0,2025-12-25,PR2603,空单持仓,PR
7,招商期货,2043,-74.0,2025-12-25,PR2603,空单持仓,PR
8,华泰期货,2037,274.0,2025-12-25,PR2603,空单持仓,PR
9,国投期货,1847,17.0,2025-12-25,PR2603,空单持仓,PR
10,瑞达期货,1746,-34.0,2025-12-25,PR2603,空单持仓,PR
11,国泰君安,1620,97.0,2025-12-25,PR2603,空单持仓,PR
12,南华期货,1202,-2.0,2025-12-25,PR2603,空单持仓,PR
13,大地期货,1061,3.0,2025-12-25,PR2603,空单持仓,PR
14,银河期货,965,266.0,2025-12-25,PR2603,空单持仓,PR
15,瑞银期货,655,-21.0,2025-12-25,PR2603,空单持仓,PR
16,东海期货,576,51.0,2025-12-25,PR2603,空单持仓,PR
17,国信期货,548,-9.0,2025-12-25,PR2603,空单持仓,PR
18,海证期货,515,87.0,2025-12-25,PR2603,空单持仓,PR
19,申银万国,436,10.0,2025-12-25,PR2603,空单持仓,PR
20,紫金天风,431,15.0,2025-12-25,PR2603,空单持仓,PR
1,中信期货,4576,-1220.0,2025-12-26,PR2603,空单持仓,PR
2,中信建投,3655,-23.0,2025-12-26,PR2603,空单持仓,PR
3,浙商期货,3386,162.0,2025-12-26,PR2603,空单持仓,PR
4,广发期货,3098,189.0,2025-12-26,PR2603,空单持仓,PR
5,东证期货,2729,-352.0,2025-12-26,PR2603,空单持仓,PR
6,永安期货,2215,23.0,2025-12-26,PR2603,空单持仓,PR
7,国泰君安,2033,413.0,2025-12-26,PR2603,空单持仓,PR
8,华泰期货,2015,-22.0,2025-12-26,PR2603,空单持仓,PR
9,国投期货,1946,99.0,2025-12-26,PR2603,空单持仓,PR
10,瑞达期货,1764,18.0,2025-12-26,PR2603,空单持仓,PR
11,招商期货,1250,-793.0,2025-12-26,PR2603,空单持仓,PR
12,南华期货,1250,48.0,2025-12-26,PR2603,空单持仓,PR
