排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信建投,39441,31524.0,2025-12-25,PR2603,成交量,PR
2,东证期货,22824,-1032.0,2025-12-25,PR2603,成交量,PR
3,申银万国,19791,12241.0,2025-12-25,PR2603,成交量,PR
4,中信期货,19755,1030.0,2025-12-25,PR2603,成交量,PR
5,广发期货,18315,7874.0,2025-12-25,PR2603,成交量,PR
6,浙商期货,11617,-6425.0,2025-12-25,PR2603,成交量,PR
7,华泰期货,6123,-1423.0,2025-12-25,PR2603,成交量,PR
8,光大期货,5571,-334.0,2025-12-25,PR2603,成交量,PR
9,南华期货,5555,3345.0,2025-12-25,PR2603,成交量,PR
10,国泰君安,4460,468.0,2025-12-25,PR2603,成交量,PR
11,中泰期货,3871,-636.0,2025-12-25,PR2603,成交量,PR
12,银河期货,2615,-401.0,2025-12-25,PR2603,成交量,PR
13,国信期货,1979,253.0,2025-12-25,PR2603,成交量,PR
14,国投期货,1867,242.0,2025-12-25,PR2603,成交量,PR
15,五矿期货,1375,-1439.0,2025-12-25,PR2603,成交量,PR
16,华闻期货,1222,-3642.0,2025-12-25,PR2603,成交量,PR
17,招商期货,1057,-458.0,2025-12-25,PR2603,成交量,PR
18,瑞达期货,1003,594.0,2025-12-25,PR2603,成交量,PR
19,徽商期货,881,216.0,2025-12-25,PR2603,成交量,PR
20,永安期货,876,-147.0,2025-12-25,PR2603,成交量,PR
1,中信建投,114354,74913.0,2025-12-26,PR2603,成交量,PR
2,中信期货,54749,34994.0,2025-12-26,PR2603,成交量,PR
3,申银万国,45804,26013.0,2025-12-26,PR2603,成交量,PR
4,东证期货,34336,11512.0,2025-12-26,PR2603,成交量,PR
5,广发期货,33821,15506.0,2025-12-26,PR2603,成交量,PR
6,浙商期货,27206,15589.0,2025-12-26,PR2603,成交量,PR
7,南华期货,26786,21231.0,2025-12-26,PR2603,成交量,PR
8,华泰期货,11905,5782.0,2025-12-26,PR2603,成交量,PR
9,光大期货,7611,2040.0,2025-12-26,PR2603,成交量,PR
10,国泰君安,6199,1739.0,2025-12-26,PR2603,成交量,PR
11,银河期货,5005,2390.0,2025-12-26,PR2603,成交量,PR
12,国信期货,3318,1339.0,2025-12-26,PR2603,成交量,PR
13,中泰期货,3265,-606.0,2025-12-26,PR2603,成交量,PR
14,招商期货,2992,1935.0,2025-12-26,PR2603,成交量,PR
15,国投期货,2718,851.0,2025-12-26,PR2603,成交量,PR
16,瑞达期货,1879,876.0,2025-12-26,PR2603,成交量,PR
17,海通期货,1839,1395.0,2025-12-26,PR2603,成交量,PR
18,华闻期货,1787,565.0,2025-12-26,PR2603,成交量,PR
19,五矿期货,1696,321.0,2025-12-26,PR2603,成交量,PR
20,徽商期货,1538,657.0,2025-12-26,PR2603,成交量,PR
1,东证期货,24080,-10256.0,2025-12-29,PR2603,成交量,PR
2,浙商期货,12796,-14410.0,2025-12-29,PR2603,成交量,PR
3,广发期货,11783,-22038.0,2025-12-29,PR2603,成交量,PR
4,中信建投,11158,-103196.0,2025-12-29,PR2603,成交量,PR
5,中信期货,10256,-44493.0,2025-12-29,PR2603,成交量,PR
6,光大期货,6671,-940.0,2025-12-29,PR2603,成交量,PR
7,银河期货,5022,17.0,2025-12-29,PR2603,成交量,PR
8,申银万国,4794,-41010.0,2025-12-29,PR2603,成交量,PR
9,国泰君安,4540,-1659.0,2025-12-29,PR2603,成交量,PR
10,华泰期货,4134,-7771.0,2025-12-29,PR2603,成交量,PR
11,国投期货,3656,938.0,2025-12-29,PR2603,成交量,PR
12,国信期货,2811,-507.0,2025-12-29,PR2603,成交量,PR
13,南华期货,2805,-23981.0,2025-12-29,PR2603,成交量,PR
14,华闻期货,1938,151.0,2025-12-29,PR2603,成交量,PR
15,五矿期货,1524,-172.0,2025-12-29,PR2603,成交量,PR
16,瑞达期货,1267,-612.0,2025-12-29,PR2603,成交量,PR
17,徽商期货,1246,-292.0,2025-12-29,PR2603,成交量,PR
18,东吴期货,1181,113.0,2025-12-29,PR2603,成交量,PR
19,方正中期,1157,248.0,2025-12-29,PR2603,成交量,PR
20,招商期货,1117,-1875.0,2025-12-29,PR2603,成交量,PR
1,东证期货,20192,-3888.0,2025-12-30,PR2603,成交量,PR
2,广发期货,11660,-123.0,2025-12-30,PR2603,成交量,PR
3,浙商期货,6008,-6788.0,2025-12-30,PR2603,成交量,PR
4,中信期货,5706,-4550.0,2025-12-30,PR2603,成交量,PR
5,申银万国,4792,-2.0,2025-12-30,PR2603,成交量,PR
6,华泰期货,4758,624.0,2025-12-30,PR2603,成交量,PR
7,光大期货,4404,-2267.0,2025-12-30,PR2603,成交量,PR
8,中信建投,3897,-7261.0,2025-12-30,PR2603,成交量,PR
