排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,浙商期货,14848,-66.0,2025-12-25,PS2605,多单持仓,PS
2,国泰君安期货,14655,1113.0,2025-12-25,PS2605,多单持仓,PS
3,中信期货,7070,-361.0,2025-12-25,PS2605,多单持仓,PS
4,永安期货,6379,833.0,2025-12-25,PS2605,多单持仓,PS
5,东证期货,6163,418.0,2025-12-25,PS2605,多单持仓,PS
6,中辉期货,5008,215.0,2025-12-25,PS2605,多单持仓,PS
7,光大期货,4703,208.0,2025-12-25,PS2605,多单持仓,PS
8,广发期货,3732,411.0,2025-12-25,PS2605,多单持仓,PS
9,招商期货,3711,-1574.0,2025-12-25,PS2605,多单持仓,PS
10,创元期货,2956,373.0,2025-12-25,PS2605,多单持仓,PS
11,东吴期货,2597,-59.0,2025-12-25,PS2605,多单持仓,PS
12,南华期货,2373,-55.0,2025-12-25,PS2605,多单持仓,PS
13,信达期货,2215,7.0,2025-12-25,PS2605,多单持仓,PS
14,海通期货,2189,72.0,2025-12-25,PS2605,多单持仓,PS
15,新湖期货,2075,-1063.0,2025-12-25,PS2605,多单持仓,PS
16,摩根大通期货,2025,0.0,2025-12-25,PS2605,多单持仓,PS
17,兴证期货,2023,558.0,2025-12-25,PS2605,多单持仓,PS
18,中泰期货,1984,270.0,2025-12-25,PS2605,多单持仓,PS
19,华泰期货,1928,-135.0,2025-12-25,PS2605,多单持仓,PS
20,中财期货,1801,576.0,2025-12-25,PS2605,多单持仓,PS
1,国泰君安期货,13271,-1384.0,2025-12-26,PS2605,多单持仓,PS
2,浙商期货,11799,-3049.0,2025-12-26,PS2605,多单持仓,PS
3,中信期货,6779,-291.0,2025-12-26,PS2605,多单持仓,PS
4,东证期货,6025,-138.0,2025-12-26,PS2605,多单持仓,PS
5,永安期货,5931,-448.0,2025-12-26,PS2605,多单持仓,PS
6,中辉期货,4778,-230.0,2025-12-26,PS2605,多单持仓,PS
7,广发期货,3587,-145.0,2025-12-26,PS2605,多单持仓,PS
8,招商期货,3094,-617.0,2025-12-26,PS2605,多单持仓,PS
9,光大期货,2941,-1762.0,2025-12-26,PS2605,多单持仓,PS
10,东吴期货,2628,31.0,2025-12-26,PS2605,多单持仓,PS
11,南华期货,2366,-7.0,2025-12-26,PS2605,多单持仓,PS
12,海通期货,2187,-2.0,2025-12-26,PS2605,多单持仓,PS
13,信达期货,2141,-74.0,2025-12-26,PS2605,多单持仓,PS
14,华泰期货,2035,107.0,2025-12-26,PS2605,多单持仓,PS
15,摩根大通期货,2025,0.0,2025-12-26,PS2605,多单持仓,PS
16,新湖期货,1974,-101.0,2025-12-26,PS2605,多单持仓,PS
17,中泰期货,1943,-41.0,2025-12-26,PS2605,多单持仓,PS
18,创元期货,1888,-1068.0,2025-12-26,PS2605,多单持仓,PS
19,方正中期,1861,612.0,2025-12-26,PS2605,多单持仓,PS
20,兴证期货,1639,-384.0,2025-12-26,PS2605,多单持仓,PS
1,国泰君安期货,12172,-1099.0,2025-12-29,PS2605,多单持仓,PS
2,浙商期货,11327,-472.0,2025-12-29,PS2605,多单持仓,PS
3,中信期货,7680,901.0,2025-12-29,PS2605,多单持仓,PS
4,永安期货,5051,-880.0,2025-12-29,PS2605,多单持仓,PS
5,中辉期货,4649,-129.0,2025-12-29,PS2605,多单持仓,PS
6,东证期货,4289,-1736.0,2025-12-29,PS2605,多单持仓,PS
7,广发期货,3698,111.0,2025-12-29,PS2605,多单持仓,PS
8,东吴期货,2370,-258.0,2025-12-29,PS2605,多单持仓,PS
9,摩根大通期货,2025,0.0,2025-12-29,PS2605,多单持仓,PS
10,招商期货,2006,-1088.0,2025-12-29,PS2605,多单持仓,PS
11,华泰期货,1941,-94.0,2025-12-29,PS2605,多单持仓,PS
12,海通期货,1911,-276.0,2025-12-29,PS2605,多单持仓,PS
13,中泰期货,1786,-157.0,2025-12-29,PS2605,多单持仓,PS
14,新湖期货,1536,-438.0,2025-12-29,PS2605,多单持仓,PS
15,方正中期,1535,-326.0,2025-12-29,PS2605,多单持仓,PS
16,中信建投,1465,66.0,2025-12-29,PS2605,多单持仓,PS
17,银河期货,1333,-225.0,2025-12-29,PS2605,多单持仓,PS
18,信达期货,1322,-819.0,2025-12-29,PS2605,多单持仓,PS
19,光大期货,1233,-1708.0,2025-12-29,PS2605,多单持仓,PS
20,南华期货,1155,-1211.0,2025-12-29,PS2605,多单持仓,PS
1,国泰君安期货,10558,-1614.0,2025-12-30,PS2605,多单持仓,PS
2,浙商期货,10455,-872.0,2025-12-30,PS2605,多单持仓,PS
3,中信期货,6258,-1422.0,2025-12-30,PS2605,多单持仓,PS
4,东证期货,3879,-410.0,2025-12-30,PS2605,多单持仓,PS
5,永安期货,3697,-1354.0,2025-12-30,PS2605,多单持仓,PS
6,广发期货,3394,-304.0,2025-12-30,PS2605,多单持仓,PS
7,中辉期货,3139,-1510.0,2025-12-30,PS2605,多单持仓,PS
8,东吴期货,2127,-243.0,2025-12-30,PS2605,多单持仓,PS
9,招商期货,2099,93.0,2025-12-30,PS2605,多单持仓,PS
10,摩根大通期货,2070,45.0,2025-12-30,PS2605,多单持仓,PS
11,华泰期货,1874,-67.0,2025-12-30,PS2605,多单持仓,PS
12,中泰期货,1595,-191.0,2025-12-30,PS2605,多单持仓,PS
13,新湖期货,1471,-65.0,2025-12-30,PS2605,多单持仓,PS
14,方正中期,1418,-117.0,2025-12-30,PS2605,多单持仓,PS
15,海通期货,1337,-574.0,2025-12-30,PS2605,多单持仓,PS
16,银河期货,1218,-115.0,2025-12-30,PS2605,多单持仓,PS
17,中信建投,1205,-260.0,2025-12-30,PS2605,多单持仓,PS
18,南华期货,1179,24.0,2025-12-30,PS2605,多单持仓,PS
19,国投期货,1148,47.0,2025-12-30,PS2605,多单持仓,PS
20,东方财富期货,961,4.0,2025-12-30,PS2605,多单持仓,PS
1,国泰君安期货,8780,-1778.0,2025-12-31,PS2605,多单持仓,PS
2,浙商期货,7883,-2572.0,2025-12-31,PS2605,多单持仓,PS
3,中信期货,7002,744.0,2025-12-31,PS2605,多单持仓,PS
4,东证期货,3511,-368.0,2025-12-31,PS2605,多单持仓,PS
5,永安期货,3487,-210.0,2025-12-31,PS2605,多单持仓,PS
6,广发期货,3239,-155.0,2025-12-31,PS2605,多单持仓,PS
7,中辉期货,3071,-68.0,2025-12-31,PS2605,多单持仓,PS
8,招商期货,2387,288.0,2025-12-31,PS2605,多单持仓,PS
9,东吴期货,2125,-2.0,2025-12-31,PS2605,多单持仓,PS
10,摩根大通期货,2120,50.0,2025-12-31,PS2605,多单持仓,PS
11,华泰期货,1789,-85.0,2025-12-31,PS2605,多单持仓,PS
12,中泰期货,1604,9.0,2025-12-31,PS2605,多单持仓,PS
13,新湖期货,1377,-94.0,2025-12-31,PS2605,多单持仓,PS
14,海通期货,1366,29.0,2025-12-31,PS2605,多单持仓,PS
15,方正中期,1335,-83.0,2025-12-31,PS2605,多单持仓,PS
16,银河期货,1216,-2.0,2025-12-31,PS2605,多单持仓,PS
17,南华期货,1148,-31.0,2025-12-31,PS2605,多单持仓,PS
18,中信建投,1080,-125.0,2025-12-31,PS2605,多单持仓,PS
19,国投期货,1051,-97.0,2025-12-31,PS2605,多单持仓,PS
20,东方财富期货,897,-64.0,2025-12-31,PS2605,多单持仓,PS
