排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,20966,455.0,2025-12-25,PS2605,空单持仓,PS
2,东证期货,15110,519.0,2025-12-25,PS2605,空单持仓,PS
3,国泰君安期货,11134,469.0,2025-12-25,PS2605,空单持仓,PS
4,永安期货,9931,-1229.0,2025-12-25,PS2605,空单持仓,PS
5,华泰期货,3751,701.0,2025-12-25,PS2605,空单持仓,PS
6,申银万国,3730,-22.0,2025-12-25,PS2605,空单持仓,PS
7,广发期货,3684,46.0,2025-12-25,PS2605,空单持仓,PS
8,方正中期,3338,517.0,2025-12-25,PS2605,空单持仓,PS
9,东吴期货,3078,235.0,2025-12-25,PS2605,空单持仓,PS
10,银河期货,2878,-222.0,2025-12-25,PS2605,空单持仓,PS
11,中粮期货,2663,362.0,2025-12-25,PS2605,空单持仓,PS
12,中财期货,2183,-286.0,2025-12-25,PS2605,空单持仓,PS
13,一德期货,2100,156.0,2025-12-25,PS2605,空单持仓,PS
14,国新国证期货,2013,-4.0,2025-12-25,PS2605,空单持仓,PS
15,中信建投,1996,180.0,2025-12-25,PS2605,空单持仓,PS
16,大地期货,1766,278.0,2025-12-25,PS2605,空单持仓,PS
17,中泰期货,1730,180.0,2025-12-25,PS2605,空单持仓,PS
18,东方财富期货,1559,224.0,2025-12-25,PS2605,空单持仓,PS
19,宏源期货,1166,119.0,2025-12-25,PS2605,空单持仓,PS
20,物产中大期货,1162,314.0,2025-12-25,PS2605,空单持仓,PS
1,中信期货,19595,-1371.0,2025-12-26,PS2605,空单持仓,PS
2,东证期货,14906,-204.0,2025-12-26,PS2605,空单持仓,PS
3,国泰君安期货,10157,-977.0,2025-12-26,PS2605,空单持仓,PS
4,永安期货,9501,-430.0,2025-12-26,PS2605,空单持仓,PS
5,申银万国,3831,101.0,2025-12-26,PS2605,空单持仓,PS
6,广发期货,3346,-338.0,2025-12-26,PS2605,空单持仓,PS
7,东吴期货,3182,104.0,2025-12-26,PS2605,空单持仓,PS
8,华泰期货,2965,-786.0,2025-12-26,PS2605,空单持仓,PS
9,银河期货,2693,-185.0,2025-12-26,PS2605,空单持仓,PS
10,方正中期,2440,-898.0,2025-12-26,PS2605,空单持仓,PS
11,一德期货,2234,134.0,2025-12-26,PS2605,空单持仓,PS
12,中粮期货,2027,-636.0,2025-12-26,PS2605,空单持仓,PS
13,国新国证期货,2012,-1.0,2025-12-26,PS2605,空单持仓,PS
14,中财期货,1945,-238.0,2025-12-26,PS2605,空单持仓,PS
15,中泰期货,1599,-131.0,2025-12-26,PS2605,空单持仓,PS
16,中信建投,1542,-454.0,2025-12-26,PS2605,空单持仓,PS
17,东方财富期货,1339,-220.0,2025-12-26,PS2605,空单持仓,PS
18,大地期货,1234,-532.0,2025-12-26,PS2605,空单持仓,PS
19,宏源期货,1108,-58.0,2025-12-26,PS2605,空单持仓,PS
20,徽商期货,1076,-64.0,2025-12-26,PS2605,空单持仓,PS
1,中信期货,16577,-3018.0,2025-12-29,PS2605,空单持仓,PS
2,东证期货,12623,-2283.0,2025-12-29,PS2605,空单持仓,PS
3,国泰君安期货,8484,-1673.0,2025-12-29,PS2605,空单持仓,PS
4,永安期货,7618,-1883.0,2025-12-29,PS2605,空单持仓,PS
5,申银万国,3028,-803.0,2025-12-29,PS2605,空单持仓,PS
6,东吴期货,3017,-165.0,2025-12-29,PS2605,空单持仓,PS
7,广发期货,2839,-507.0,2025-12-29,PS2605,空单持仓,PS
8,华泰期货,2379,-586.0,2025-12-29,PS2605,空单持仓,PS
9,银河期货,2205,-488.0,2025-12-29,PS2605,空单持仓,PS
10,方正中期,2017,-423.0,2025-12-29,PS2605,空单持仓,PS
11,中泰期货,1310,-289.0,2025-12-29,PS2605,空单持仓,PS
12,中信建投,1224,-318.0,2025-12-29,PS2605,空单持仓,PS
13,东方财富期货,1202,-137.0,2025-12-29,PS2605,空单持仓,PS
14,中财期货,1116,-829.0,2025-12-29,PS2605,空单持仓,PS
15,一德期货,1082,-1152.0,2025-12-29,PS2605,空单持仓,PS
16,大地期货,1051,-183.0,2025-12-29,PS2605,空单持仓,PS
17,宏源期货,978,-130.0,2025-12-29,PS2605,空单持仓,PS
18,物产中大期货,974,-101.0,2025-12-29,PS2605,空单持仓,PS
19,中粮期货,881,-1146.0,2025-12-29,PS2605,空单持仓,PS
20,南华期货,835,-26.0,2025-12-29,PS2605,空单持仓,PS
1,中信期货,11611,-4966.0,2025-12-30,PS2605,空单持仓,PS
2,东证期货,9223,-3400.0,2025-12-30,PS2605,空单持仓,PS
3,国泰君安期货,7605,-879.0,2025-12-30,PS2605,空单持仓,PS
4,永安期货,7115,-503.0,2025-12-30,PS2605,空单持仓,PS
5,申银万国,2811,-217.0,2025-12-30,PS2605,空单持仓,PS
6,广发期货,2785,-54.0,2025-12-30,PS2605,空单持仓,PS
7,东吴期货,2774,-243.0,2025-12-30,PS2605,空单持仓,PS
8,华泰期货,2333,-46.0,2025-12-30,PS2605,空单持仓,PS
9,银河期货,2137,-68.0,2025-12-30,PS2605,空单持仓,PS
10,方正中期,2083,66.0,2025-12-30,PS2605,空单持仓,PS
11,中泰期货,1286,-24.0,2025-12-30,PS2605,空单持仓,PS
12,中财期货,1180,64.0,2025-12-30,PS2605,空单持仓,PS
13,一德期货,1120,38.0,2025-12-30,PS2605,空单持仓,PS
14,中信建投,1069,-155.0,2025-12-30,PS2605,空单持仓,PS
15,东方财富期货,1027,-175.0,2025-12-30,PS2605,空单持仓,PS
16,大地期货,988,-63.0,2025-12-30,PS2605,空单持仓,PS
17,物产中大期货,974,0.0,2025-12-30,PS2605,空单持仓,PS
18,建信期货,858,24.0,2025-12-30,PS2605,空单持仓,PS
19,南华期货,790,-45.0,2025-12-30,PS2605,空单持仓,PS
20,宏源期货,785,-193.0,2025-12-30,PS2605,空单持仓,PS
1,中信期货,10926,-685.0,2025-12-31,PS2605,空单持仓,PS
2,东证期货,8042,-1181.0,2025-12-31,PS2605,空单持仓,PS
3,永安期货,6686,-429.0,2025-12-31,PS2605,空单持仓,PS
4,国泰君安期货,6019,-1586.0,2025-12-31,PS2605,空单持仓,PS
5,东吴期货,2727,-47.0,2025-12-31,PS2605,空单持仓,PS
6,申银万国,2671,-140.0,2025-12-31,PS2605,空单持仓,PS
7,华泰期货,2212,-121.0,2025-12-31,PS2605,空单持仓,PS
8,广发期货,2030,-755.0,2025-12-31,PS2605,空单持仓,PS
9,银河期货,1942,-195.0,2025-12-31,PS2605,空单持仓,PS
10,方正中期,1930,-153.0,2025-12-31,PS2605,空单持仓,PS
11,中泰期货,1281,-5.0,2025-12-31,PS2605,空单持仓,PS
12,中财期货,1155,-25.0,2025-12-31,PS2605,空单持仓,PS
13,东方财富期货,1005,-22.0,2025-12-31,PS2605,空单持仓,PS
14,大地期货,993,5.0,2025-12-31,PS2605,空单持仓,PS
15,物产中大期货,970,-4.0,2025-12-31,PS2605,空单持仓,PS
16,一德期货,970,-150.0,2025-12-31,PS2605,空单持仓,PS
17,中信建投,961,-108.0,2025-12-31,PS2605,空单持仓,PS
18,建信期货,826,-32.0,2025-12-31,PS2605,空单持仓,PS
19,宏源期货,793,8.0,2025-12-31,PS2605,空单持仓,PS
20,浙商期货,779,25.0,2025-12-31,PS2605,空单持仓,PS
