排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,25064,-56803.0,2025-12-25,PS2605,成交量,PS
2,国泰君安期货,17032,-22173.0,2025-12-25,PS2605,成交量,PS
3,招商期货,12441,7384.0,2025-12-25,PS2605,成交量,PS
4,广发期货,8585,-11056.0,2025-12-25,PS2605,成交量,PS
5,银河期货,8336,464.0,2025-12-25,PS2605,成交量,PS
6,东证期货,7919,-10649.0,2025-12-25,PS2605,成交量,PS
7,中信建投,7038,-205.0,2025-12-25,PS2605,成交量,PS
8,华泰期货,6438,65.0,2025-12-25,PS2605,成交量,PS
9,华闻期货,6133,-7392.0,2025-12-25,PS2605,成交量,PS
10,徽商期货,5782,-780.0,2025-12-25,PS2605,成交量,PS
11,东吴期货,5670,868.0,2025-12-25,PS2605,成交量,PS
12,海通期货,5614,-14206.0,2025-12-25,PS2605,成交量,PS
13,方正中期,5047,-1985.0,2025-12-25,PS2605,成交量,PS
14,中泰期货,4502,-7613.0,2025-12-25,PS2605,成交量,PS
15,永安期货,4224,-420.0,2025-12-25,PS2605,成交量,PS
16,国信期货,3986,318.0,2025-12-25,PS2605,成交量,PS
17,宝城期货,3933,-654.0,2025-12-25,PS2605,成交量,PS
18,东方财富期货,3482,-611.0,2025-12-25,PS2605,成交量,PS
19,华安期货,3410,1070.0,2025-12-25,PS2605,成交量,PS
20,创元期货,3194,-2499.0,2025-12-25,PS2605,成交量,PS
1,中信期货,28608,3544.0,2025-12-26,PS2605,成交量,PS
2,国泰君安期货,19619,2587.0,2025-12-26,PS2605,成交量,PS
3,招商期货,15803,3362.0,2025-12-26,PS2605,成交量,PS
4,广发期货,9977,1392.0,2025-12-26,PS2605,成交量,PS
5,银河期货,8867,531.0,2025-12-26,PS2605,成交量,PS
6,华闻期货,8184,2051.0,2025-12-26,PS2605,成交量,PS
7,东证期货,7284,-635.0,2025-12-26,PS2605,成交量,PS
8,东吴期货,7119,1449.0,2025-12-26,PS2605,成交量,PS
9,华泰期货,6653,215.0,2025-12-26,PS2605,成交量,PS
10,中信建投,6357,-681.0,2025-12-26,PS2605,成交量,PS
11,海通期货,6136,522.0,2025-12-26,PS2605,成交量,PS
12,方正中期,5902,855.0,2025-12-26,PS2605,成交量,PS
13,浙商期货,5373,2493.0,2025-12-26,PS2605,成交量,PS
14,国信期货,4626,640.0,2025-12-26,PS2605,成交量,PS
15,徽商期货,4615,-1167.0,2025-12-26,PS2605,成交量,PS
16,中泰期货,4530,28.0,2025-12-26,PS2605,成交量,PS
17,创元期货,3916,722.0,2025-12-26,PS2605,成交量,PS
18,光大期货,3490,1053.0,2025-12-26,PS2605,成交量,PS
19,宝城期货,3325,-608.0,2025-12-26,PS2605,成交量,PS
20,中财期货,2819,191.0,2025-12-26,PS2605,成交量,PS
1,国泰君安期货,14450,-5169.0,2025-12-29,PS2605,成交量,PS
2,中信期货,10371,-18237.0,2025-12-29,PS2605,成交量,PS
3,东证期货,6503,-781.0,2025-12-29,PS2605,成交量,PS
4,招商期货,5296,-10507.0,2025-12-29,PS2605,成交量,PS
5,银河期货,3737,-5130.0,2025-12-29,PS2605,成交量,PS
