排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,55974,-1114.0,2025-12-25,PX2603,空单持仓,PX
2,中信期货,22964,-906.0,2025-12-25,PX2603,空单持仓,PX
3,东证期货,17648,-1305.0,2025-12-25,PX2603,空单持仓,PX
4,中信建投,17069,4377.0,2025-12-25,PX2603,空单持仓,PX
5,银河期货,15885,3.0,2025-12-25,PX2603,空单持仓,PX
6,紫金天风,7673,415.0,2025-12-25,PX2603,空单持仓,PX
7,国海良时,7365,170.0,2025-12-25,PX2603,空单持仓,PX
8,浙商期货,6572,-18.0,2025-12-25,PX2603,空单持仓,PX
9,永安期货,6371,-247.0,2025-12-25,PX2603,空单持仓,PX
10,华泰期货,6166,-627.0,2025-12-25,PX2603,空单持仓,PX
11,国投期货,6166,52.0,2025-12-25,PX2603,空单持仓,PX
12,五矿期货,5524,1874.0,2025-12-25,PX2603,空单持仓,PX
13,国元期货,5194,142.0,2025-12-25,PX2603,空单持仓,PX
14,申银万国,5083,55.0,2025-12-25,PX2603,空单持仓,PX
15,通惠期货,5080,0.0,2025-12-25,PX2603,空单持仓,PX
16,创元期货,4254,984.0,2025-12-25,PX2603,空单持仓,PX
17,南华期货,3528,-658.0,2025-12-25,PX2603,空单持仓,PX
18,中泰期货,3319,-229.0,2025-12-25,PX2603,空单持仓,PX
19,福能期货,3002,-343.0,2025-12-25,PX2603,空单持仓,PX
20,宏源期货,2724,-308.0,2025-12-25,PX2603,空单持仓,PX
1,国泰君安,53477,-2497.0,2025-12-26,PX2603,空单持仓,PX
2,中信期货,23992,1028.0,2025-12-26,PX2603,空单持仓,PX
3,中信建投,19005,1936.0,2025-12-26,PX2603,空单持仓,PX
4,东证期货,16661,-987.0,2025-12-26,PX2603,空单持仓,PX
5,银河期货,15854,-31.0,2025-12-26,PX2603,空单持仓,PX
6,紫金天风,8249,576.0,2025-12-26,PX2603,空单持仓,PX
7,国海良时,7545,180.0,2025-12-26,PX2603,空单持仓,PX
8,国投期货,7174,1008.0,2025-12-26,PX2603,空单持仓,PX
9,浙商期货,6615,43.0,2025-12-26,PX2603,空单持仓,PX
10,永安期货,6401,30.0,2025-12-26,PX2603,空单持仓,PX
11,华泰期货,6391,225.0,2025-12-26,PX2603,空单持仓,PX
12,通惠期货,5048,-32.0,2025-12-26,PX2603,空单持仓,PX
13,五矿期货,4969,-555.0,2025-12-26,PX2603,空单持仓,PX
14,申银万国,4966,-117.0,2025-12-26,PX2603,空单持仓,PX
15,国元期货,4599,-595.0,2025-12-26,PX2603,空单持仓,PX
16,南华期货,4248,720.0,2025-12-26,PX2603,空单持仓,PX
17,创元期货,3906,-348.0,2025-12-26,PX2603,空单持仓,PX
18,物产中大,3415,3172.0,2025-12-26,PX2603,空单持仓,PX
19,中泰期货,2989,-330.0,2025-12-26,PX2603,空单持仓,PX
20,福能期货,2947,-55.0,2025-12-26,PX2603,空单持仓,PX
1,国泰君安,45911,-7566.0,2025-12-29,PX2603,空单持仓,PX
2,中信期货,27820,3828.0,2025-12-29,PX2603,空单持仓,PX
3,中信建投,20027,1022.0,2025-12-29,PX2603,空单持仓,PX
4,东证期货,17633,972.0,2025-12-29,PX2603,空单持仓,PX
5,银河期货,15822,-32.0,2025-12-29,PX2603,空单持仓,PX
6,紫金天风,7218,-1031.0,2025-12-29,PX2603,空单持仓,PX
7,浙商期货,6455,-160.0,2025-12-29,PX2603,空单持仓,PX
8,国投期货,6227,-947.0,2025-12-29,PX2603,空单持仓,PX
9,国海良时,5671,-1874.0,2025-12-29,PX2603,空单持仓,PX
10,永安期货,5495,-906.0,2025-12-29,PX2603,空单持仓,PX
11,通惠期货,5425,377.0,2025-12-29,PX2603,空单持仓,PX
12,申银万国,4910,-56.0,2025-12-29,PX2603,空单持仓,PX
13,华泰期货,4790,-1601.0,2025-12-29,PX2603,空单持仓,PX
14,五矿期货,4209,-760.0,2025-12-29,PX2603,空单持仓,PX
15,创元期货,4031,125.0,2025-12-29,PX2603,空单持仓,PX
16,国元期货,3961,-638.0,2025-12-29,PX2603,空单持仓,PX
17,安粮期货,3898,3426.0,2025-12-29,PX2603,空单持仓,PX
18,物产中大,3173,-242.0,2025-12-29,PX2603,空单持仓,PX
19,南华期货,2529,-1719.0,2025-12-29,PX2603,空单持仓,PX
20,宏源期货,2482,796.0,2025-12-29,PX2603,空单持仓,PX
1,国泰君安,48243,2332.0,2025-12-30,PX2603,空单持仓,PX
2,中信期货,27508,-312.0,2025-12-30,PX2603,空单持仓,PX
3,中信建投,17752,-2275.0,2025-12-30,PX2603,空单持仓,PX
4,东证期货,17555,-78.0,2025-12-30,PX2603,空单持仓,PX
5,银河期货,15425,-397.0,2025-12-30,PX2603,空单持仓,PX
6,紫金天风,8197,979.0,2025-12-30,PX2603,空单持仓,PX
7,通惠期货,7028,1603.0,2025-12-30,PX2603,空单持仓,PX
8,浙商期货,6550,95.0,2025-12-30,PX2603,空单持仓,PX
9,国投期货,6231,4.0,2025-12-30,PX2603,空单持仓,PX
10,国海良时,5335,-336.0,2025-12-30,PX2603,空单持仓,PX
11,永安期货,5059,-436.0,2025-12-30,PX2603,空单持仓,PX
12,华泰期货,4975,185.0,2025-12-30,PX2603,空单持仓,PX
13,申银万国,4838,-72.0,2025-12-30,PX2603,空单持仓,PX
14,南华期货,3964,1435.0,2025-12-30,PX2603,空单持仓,PX
15,国元期货,3538,-423.0,2025-12-30,PX2603,空单持仓,PX
16,创元期货,3392,-639.0,2025-12-30,PX2603,空单持仓,PX
17,安粮期货,3272,-626.0,2025-12-30,PX2603,空单持仓,PX
18,物产中大,3182,9.0,2025-12-30,PX2603,空单持仓,PX
19,瑞达期货,3005,1745.0,2025-12-30,PX2603,空单持仓,PX
20,华闻期货,2444,173.0,2025-12-30,PX2603,空单持仓,PX
1,国泰君安,40045,-8198.0,2025-12-31,PX2603,空单持仓,PX
2,中信期货,23294,-4214.0,2025-12-31,PX2603,空单持仓,PX
3,银河期货,19644,4219.0,2025-12-31,PX2603,空单持仓,PX
4,东证期货,18104,549.0,2025-12-31,PX2603,空单持仓,PX
5,中信建投,16809,-943.0,2025-12-31,PX2603,空单持仓,PX
6,紫金天风,8013,-184.0,2025-12-31,PX2603,空单持仓,PX
7,通惠期货,7062,34.0,2025-12-31,PX2603,空单持仓,PX
8,国投期货,6420,189.0,2025-12-31,PX2603,空单持仓,PX
9,浙商期货,6220,-330.0,2025-12-31,PX2603,空单持仓,PX
10,国海良时,5127,-208.0,2025-12-31,PX2603,空单持仓,PX
11,南华期货,4755,791.0,2025-12-31,PX2603,空单持仓,PX
12,永安期货,4723,-336.0,2025-12-31,PX2603,空单持仓,PX
13,华泰期货,4269,-706.0,2025-12-31,PX2603,空单持仓,PX
14,申银万国,3972,-866.0,2025-12-31,PX2603,空单持仓,PX
15,物产中大,3525,343.0,2025-12-31,PX2603,空单持仓,PX
16,安粮期货,3252,-20.0,2025-12-31,PX2603,空单持仓,PX
17,国元期货,3249,-289.0,2025-12-31,PX2603,空单持仓,PX
18,创元期货,2968,-424.0,2025-12-31,PX2603,空单持仓,PX
19,东海期货,2305,-89.0,2025-12-31,PX2603,空单持仓,PX
20,中泰期货,2301,84.0,2025-12-31,PX2603,空单持仓,PX
