排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,265851,-1190.0,2025-12-25,rb2605,多单持仓,RB
2,东证期货,96837,-2213.0,2025-12-25,rb2605,多单持仓,RB
3,国泰君安,92678,-4291.0,2025-12-25,rb2605,多单持仓,RB
4,永安期货,53842,-968.0,2025-12-25,rb2605,多单持仓,RB
5,华泰期货,48627,-1251.0,2025-12-25,rb2605,多单持仓,RB
6,银河期货,47263,641.0,2025-12-25,rb2605,多单持仓,RB
7,乾坤期货,37212,0.0,2025-12-25,rb2605,多单持仓,RB
8,海证期货,36237,-104.0,2025-12-25,rb2605,多单持仓,RB
9,徽商期货,35275,590.0,2025-12-25,rb2605,多单持仓,RB
10,方正中期,32182,1407.0,2025-12-25,rb2605,多单持仓,RB
11,国投期货,27975,-169.0,2025-12-25,rb2605,多单持仓,RB
12,浙商期货,27619,-3991.0,2025-12-25,rb2605,多单持仓,RB
13,中信建投,26739,-36.0,2025-12-25,rb2605,多单持仓,RB
14,平安期货,25907,146.0,2025-12-25,rb2605,多单持仓,RB
15,申万期货,24856,-386.0,2025-12-25,rb2605,多单持仓,RB
16,广发期货,22626,-951.0,2025-12-25,rb2605,多单持仓,RB
17,南华期货,22177,540.0,2025-12-25,rb2605,多单持仓,RB
18,弘业期货,22168,2071.0,2025-12-25,rb2605,多单持仓,RB
19,五矿期货,20876,1090.0,2025-12-25,rb2605,多单持仓,RB
20,渤海期货,20382,-731.0,2025-12-25,rb2605,多单持仓,RB
1,中信期货,269667,3816.0,2025-12-26,rb2605,多单持仓,RB
2,东证期货,106872,10035.0,2025-12-26,rb2605,多单持仓,RB
3,国泰君安,88608,-4070.0,2025-12-26,rb2605,多单持仓,RB
4,永安期货,53545,-297.0,2025-12-26,rb2605,多单持仓,RB
5,银河期货,48105,842.0,2025-12-26,rb2605,多单持仓,RB
6,华泰期货,46073,-2554.0,2025-12-26,rb2605,多单持仓,RB
7,海证期货,35965,-272.0,2025-12-26,rb2605,多单持仓,RB
8,方正中期,32726,544.0,2025-12-26,rb2605,多单持仓,RB
9,浙商期货,27418,-201.0,2025-12-26,rb2605,多单持仓,RB
10,平安期货,26599,692.0,2025-12-26,rb2605,多单持仓,RB
11,国投期货,26534,-1441.0,2025-12-26,rb2605,多单持仓,RB
12,中信建投,26234,-505.0,2025-12-26,rb2605,多单持仓,RB
13,徽商期货,25841,-9434.0,2025-12-26,rb2605,多单持仓,RB
14,申万期货,24807,-49.0,2025-12-26,rb2605,多单持仓,RB
15,弘业期货,22560,392.0,2025-12-26,rb2605,多单持仓,RB
16,乾坤期货,22084,-15128.0,2025-12-26,rb2605,多单持仓,RB
17,五矿期货,21921,1045.0,2025-12-26,rb2605,多单持仓,RB
18,南华期货,21741,-436.0,2025-12-26,rb2605,多单持仓,RB
19,渤海期货,19468,-914.0,2025-12-26,rb2605,多单持仓,RB
20,东海期货,19429,-87.0,2025-12-26,rb2605,多单持仓,RB
1,中信期货,259033,-10634.0,2025-12-29,rb2605,多单持仓,RB
2,东证期货,110555,3683.0,2025-12-29,rb2605,多单持仓,RB
3,国泰君安,94786,6178.0,2025-12-29,rb2605,多单持仓,RB
4,永安期货,53267,-278.0,2025-12-29,rb2605,多单持仓,RB
5,银河期货,48492,387.0,2025-12-29,rb2605,多单持仓,RB
6,华泰期货,47919,1846.0,2025-12-29,rb2605,多单持仓,RB
7,海证期货,36896,931.0,2025-12-29,rb2605,多单持仓,RB
8,乾坤期货,34475,12391.0,2025-12-29,rb2605,多单持仓,RB
9,方正中期,28557,-4169.0,2025-12-29,rb2605,多单持仓,RB
10,国投期货,27213,679.0,2025-12-29,rb2605,多单持仓,RB
11,中信建投,26564,330.0,2025-12-29,rb2605,多单持仓,RB
12,平安期货,24222,-2377.0,2025-12-29,rb2605,多单持仓,RB
13,浙商期货,24178,-3240.0,2025-12-29,rb2605,多单持仓,RB
14,弘业期货,22783,223.0,2025-12-29,rb2605,多单持仓,RB
15,东海期货,21739,2310.0,2025-12-29,rb2605,多单持仓,RB
16,南华期货,20786,-955.0,2025-12-29,rb2605,多单持仓,RB
17,五矿期货,20778,-1143.0,2025-12-29,rb2605,多单持仓,RB
18,申万期货,20079,-4728.0,2025-12-29,rb2605,多单持仓,RB
19,渤海期货,19833,365.0,2025-12-29,rb2605,多单持仓,RB
20,徽商期货,18456,-7385.0,2025-12-29,rb2605,多单持仓,RB
1,中信期货,263640,4607.0,2025-12-30,rb2605,多单持仓,RB
2,东证期货,108931,-1624.0,2025-12-30,rb2605,多单持仓,RB
3,国泰君安,97668,2882.0,2025-12-30,rb2605,多单持仓,RB
4,永安期货,54889,1622.0,2025-12-30,rb2605,多单持仓,RB
5,华泰期货,51123,3204.0,2025-12-30,rb2605,多单持仓,RB
6,银河期货,49912,1420.0,2025-12-30,rb2605,多单持仓,RB
7,乾坤期货,43941,9466.0,2025-12-30,rb2605,多单持仓,RB
8,海证期货,36890,-6.0,2025-12-30,rb2605,多单持仓,RB
9,方正中期,29093,536.0,2025-12-30,rb2605,多单持仓,RB
10,国投期货,28832,1619.0,2025-12-30,rb2605,多单持仓,RB
11,中信建投,26243,-321.0,2025-12-30,rb2605,多单持仓,RB
12,平安期货,25537,1315.0,2025-12-30,rb2605,多单持仓,RB
13,浙商期货,24162,-16.0,2025-12-30,rb2605,多单持仓,RB
14,弘业期货,22714,-69.0,2025-12-30,rb2605,多单持仓,RB
15,南华期货,21704,918.0,2025-12-30,rb2605,多单持仓,RB
16,申万期货,21474,1395.0,2025-12-30,rb2605,多单持仓,RB
17,渤海期货,20863,1030.0,2025-12-30,rb2605,多单持仓,RB
18,五矿期货,20690,-88.0,2025-12-30,rb2605,多单持仓,RB
19,东海期货,20393,-1346.0,2025-12-30,rb2605,多单持仓,RB
20,中金财富,19288,3443.0,2025-12-30,rb2605,多单持仓,RB
1,中信期货,261280,-2360.0,2025-12-31,rb2605,多单持仓,RB
2,东证期货,98888,-10043.0,2025-12-31,rb2605,多单持仓,RB
3,国泰君安,91535,-6133.0,2025-12-31,rb2605,多单持仓,RB
4,永安期货,57809,2920.0,2025-12-31,rb2605,多单持仓,RB
5,银河期货,47287,-2625.0,2025-12-31,rb2605,多单持仓,RB
6,华泰期货,42048,-9075.0,2025-12-31,rb2605,多单持仓,RB
7,乾坤期货,36722,-7219.0,2025-12-31,rb2605,多单持仓,RB
8,海证期货,35969,-921.0,2025-12-31,rb2605,多单持仓,RB
9,国投期货,29494,662.0,2025-12-31,rb2605,多单持仓,RB
10,方正中期,27903,-1190.0,2025-12-31,rb2605,多单持仓,RB
11,平安期货,27283,1746.0,2025-12-31,rb2605,多单持仓,RB
12,中信建投,27091,848.0,2025-12-31,rb2605,多单持仓,RB
13,浙商期货,24735,573.0,2025-12-31,rb2605,多单持仓,RB
14,弘业期货,22198,-516.0,2025-12-31,rb2605,多单持仓,RB
15,渤海期货,21996,1133.0,2025-12-31,rb2605,多单持仓,RB
16,五矿期货,21822,1132.0,2025-12-31,rb2605,多单持仓,RB
17,申万期货,21767,293.0,2025-12-31,rb2605,多单持仓,RB
18,南华期货,21104,-600.0,2025-12-31,rb2605,多单持仓,RB
19,徽商期货,20260,1356.0,2025-12-31,rb2605,多单持仓,RB
20,中金财富,19323,35.0,2025-12-31,rb2605,多单持仓,RB
