排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,乾坤期货,77993,578.0,2025-12-25,RM2605,多单持仓,RM
2,东证期货,61403,6972.0,2025-12-25,RM2605,多单持仓,RM
3,国泰君安,44295,3166.0,2025-12-25,RM2605,多单持仓,RM
4,中信期货,36792,5409.0,2025-12-25,RM2605,多单持仓,RM
5,摩根大通,26101,-625.0,2025-12-25,RM2605,多单持仓,RM
6,平安期货,18750,635.0,2025-12-25,RM2605,多单持仓,RM
7,中信建投,15601,-329.0,2025-12-25,RM2605,多单持仓,RM
8,银河期货,15145,460.0,2025-12-25,RM2605,多单持仓,RM
9,国贸期货,13222,492.0,2025-12-25,RM2605,多单持仓,RM
10,徽商期货,10983,-969.0,2025-12-25,RM2605,多单持仓,RM
11,中金财富,10384,-1095.0,2025-12-25,RM2605,多单持仓,RM
12,中粮期货,10313,136.0,2025-12-25,RM2605,多单持仓,RM
13,广发期货,10036,-48.0,2025-12-25,RM2605,多单持仓,RM
14,方正中期,9265,-270.0,2025-12-25,RM2605,多单持仓,RM
15,国投期货,8799,-82.0,2025-12-25,RM2605,多单持仓,RM
16,金元期货,8600,494.0,2025-12-25,RM2605,多单持仓,RM
17,瑞银期货,8459,553.0,2025-12-25,RM2605,多单持仓,RM
18,永安期货,8358,-689.0,2025-12-25,RM2605,多单持仓,RM
19,新湖期货,7923,614.0,2025-12-25,RM2605,多单持仓,RM
20,宏源期货,7339,251.0,2025-12-25,RM2605,多单持仓,RM
1,乾坤期货,85764,7771.0,2025-12-26,RM2605,多单持仓,RM
2,东证期货,61836,433.0,2025-12-26,RM2605,多单持仓,RM
3,国泰君安,45734,1439.0,2025-12-26,RM2605,多单持仓,RM
4,中信期货,35917,-875.0,2025-12-26,RM2605,多单持仓,RM
5,摩根大通,27095,994.0,2025-12-26,RM2605,多单持仓,RM
6,平安期货,19539,789.0,2025-12-26,RM2605,多单持仓,RM
7,银河期货,18747,3602.0,2025-12-26,RM2605,多单持仓,RM
8,中信建投,15666,65.0,2025-12-26,RM2605,多单持仓,RM
9,中金财富,13843,3459.0,2025-12-26,RM2605,多单持仓,RM
10,国贸期货,12277,-945.0,2025-12-26,RM2605,多单持仓,RM
