排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,114690,49915.0,2025-12-25,RM2605,成交量,RM
2,国泰君安,104654,47103.0,2025-12-25,RM2605,成交量,RM
3,中信期货,57916,24780.0,2025-12-25,RM2605,成交量,RM
4,华闻期货,27475,10428.0,2025-12-25,RM2605,成交量,RM
5,南华期货,26221,14250.0,2025-12-25,RM2605,成交量,RM
6,广发期货,20766,9152.0,2025-12-25,RM2605,成交量,RM
7,徽商期货,17421,4672.0,2025-12-25,RM2605,成交量,RM
8,东吴期货,16686,11153.0,2025-12-25,RM2605,成交量,RM
9,国信期货,15851,9028.0,2025-12-25,RM2605,成交量,RM
10,国盛期货,15746,5554.0,2025-12-25,RM2605,成交量,RM
11,光大期货,15339,4864.0,2025-12-25,RM2605,成交量,RM
12,五矿期货,14431,5161.0,2025-12-25,RM2605,成交量,RM
13,招商期货,14168,6314.0,2025-12-25,RM2605,成交量,RM
14,中粮期货,14087,7161.0,2025-12-25,RM2605,成交量,RM
15,华泰期货,13941,6939.0,2025-12-25,RM2605,成交量,RM
16,中泰期货,13707,9862.0,2025-12-25,RM2605,成交量,RM
17,创元期货,13303,9766.0,2025-12-25,RM2605,成交量,RM
18,中信建投,11574,5920.0,2025-12-25,RM2605,成交量,RM
19,海通期货,10886,7489.0,2025-12-25,RM2605,成交量,RM
20,中国国际,10870,10248.0,2025-12-25,RM2605,成交量,RM
1,东证期货,121458,6768.0,2025-12-26,RM2605,成交量,RM
2,国泰君安,107309,2655.0,2025-12-26,RM2605,成交量,RM
3,中信期货,56619,-1297.0,2025-12-26,RM2605,成交量,RM
4,南华期货,29796,3575.0,2025-12-26,RM2605,成交量,RM
5,华闻期货,29038,1563.0,2025-12-26,RM2605,成交量,RM
6,光大期货,18460,3121.0,2025-12-26,RM2605,成交量,RM
7,徽商期货,18112,691.0,2025-12-26,RM2605,成交量,RM
8,广发期货,17796,-2970.0,2025-12-26,RM2605,成交量,RM
9,国信期货,14620,-1231.0,2025-12-26,RM2605,成交量,RM
10,中泰期货,14270,563.0,2025-12-26,RM2605,成交量,RM
11,中信建投,14178,2604.0,2025-12-26,RM2605,成交量,RM
12,银河期货,13879,4357.0,2025-12-26,RM2605,成交量,RM
13,中粮期货,13867,-220.0,2025-12-26,RM2605,成交量,RM
14,东吴期货,13282,-3404.0,2025-12-26,RM2605,成交量,RM
15,华泰期货,13003,-938.0,2025-12-26,RM2605,成交量,RM
16,国盛期货,12840,-2906.0,2025-12-26,RM2605,成交量,RM
17,安粮期货,10994,3998.0,2025-12-26,RM2605,成交量,RM
18,乾坤期货,9843,6660.0,2025-12-26,RM2605,成交量,RM
19,海通期货,9742,-1144.0,2025-12-26,RM2605,成交量,RM
20,宏源期货,9033,-919.0,2025-12-26,RM2605,成交量,RM
1,东证期货,87810,-33648.0,2025-12-29,RM2605,成交量,RM
2,国泰君安,78534,-28775.0,2025-12-29,RM2605,成交量,RM
3,中信期货,44717,-11902.0,2025-12-29,RM2605,成交量,RM
4,华闻期货,23178,-5860.0,2025-12-29,RM2605,成交量,RM
5,光大期货,18274,-186.0,2025-12-29,RM2605,成交量,RM
6,南华期货,17461,-12335.0,2025-12-29,RM2605,成交量,RM
7,摩根大通,14664,11651.0,2025-12-29,RM2605,成交量,RM
8,国盛期货,13270,430.0,2025-12-29,RM2605,成交量,RM
9,广发期货,13201,-4595.0,2025-12-29,RM2605,成交量,RM
10,正信期货,11486,4824.0,2025-12-29,RM2605,成交量,RM
11,徽商期货,10051,-8061.0,2025-12-29,RM2605,成交量,RM
12,国信期货,9502,-5118.0,2025-12-29,RM2605,成交量,RM
13,乾坤期货,8986,-857.0,2025-12-29,RM2605,成交量,RM
14,华泰期货,8872,-4131.0,2025-12-29,RM2605,成交量,RM
15,宏源期货,8786,-247.0,2025-12-29,RM2605,成交量,RM
16,东吴期货,8127,-5155.0,2025-12-29,RM2605,成交量,RM
17,五矿期货,7238,927.0,2025-12-29,RM2605,成交量,RM
18,中泰期货,7065,-7205.0,2025-12-29,RM2605,成交量,RM
19,中信建投,6946,-7232.0,2025-12-29,RM2605,成交量,RM
20,海通期货,6324,-3418.0,2025-12-29,RM2605,成交量,RM
1,东证期货,76483,-11327.0,2025-12-30,RM2605,成交量,RM
2,国泰君安,50536,-27998.0,2025-12-30,RM2605,成交量,RM
3,中信期货,36495,-8222.0,2025-12-30,RM2605,成交量,RM
4,摩根大通,26438,11774.0,2025-12-30,RM2605,成交量,RM
5,华闻期货,18173,-5005.0,2025-12-30,RM2605,成交量,RM
6,光大期货,17513,-761.0,2025-12-30,RM2605,成交量,RM
7,南华期货,14188,-3273.0,2025-12-30,RM2605,成交量,RM
8,国盛期货,11394,-1876.0,2025-12-30,RM2605,成交量,RM
9,广发期货,11287,-1914.0,2025-12-30,RM2605,成交量,RM
10,乾坤期货,11195,2209.0,2025-12-30,RM2605,成交量,RM
11,东吴期货,9861,1734.0,2025-12-30,RM2605,成交量,RM
12,国信期货,8655,-847.0,2025-12-30,RM2605,成交量,RM
13,银河期货,7596,1430.0,2025-12-30,RM2605,成交量,RM
14,五矿期货,7223,-15.0,2025-12-30,RM2605,成交量,RM
15,徽商期货,7134,-2917.0,2025-12-30,RM2605,成交量,RM
16,宏源期货,6790,-1996.0,2025-12-30,RM2605,成交量,RM
17,中泰期货,6734,-331.0,2025-12-30,RM2605,成交量,RM
