排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,14305,-496.0,2025-12-25,ru2605,多单持仓,RU
2,中信期货,8864,-375.0,2025-12-25,ru2605,多单持仓,RU
3,东证期货,8067,-1507.0,2025-12-25,ru2605,多单持仓,RU
4,银河期货,6632,-296.0,2025-12-25,ru2605,多单持仓,RU
5,浙商期货,4660,774.0,2025-12-25,ru2605,多单持仓,RU
6,华泰期货,4445,599.0,2025-12-25,ru2605,多单持仓,RU
7,永安期货,4340,865.0,2025-12-25,ru2605,多单持仓,RU
8,东吴期货,4057,-96.0,2025-12-25,ru2605,多单持仓,RU
9,广发期货,3739,236.0,2025-12-25,ru2605,多单持仓,RU
10,新湖期货,3685,423.0,2025-12-25,ru2605,多单持仓,RU
11,海通期货,3009,423.0,2025-12-25,ru2605,多单持仓,RU
12,方正中期,2991,261.0,2025-12-25,ru2605,多单持仓,RU
13,宝城期货,2898,194.0,2025-12-25,ru2605,多单持仓,RU
14,国投期货,2850,97.0,2025-12-25,ru2605,多单持仓,RU
15,国联期货,2829,-9.0,2025-12-25,ru2605,多单持仓,RU
16,中信建投,2790,317.0,2025-12-25,ru2605,多单持仓,RU
17,徽商期货,2744,739.0,2025-12-25,ru2605,多单持仓,RU
18,创元期货,2659,487.0,2025-12-25,ru2605,多单持仓,RU
19,中泰期货,2654,466.0,2025-12-25,ru2605,多单持仓,RU
20,中辉期货,2652,453.0,2025-12-25,ru2605,多单持仓,RU
1,国泰君安,14797,492.0,2025-12-26,ru2605,多单持仓,RU
2,中信期货,9282,418.0,2025-12-26,ru2605,多单持仓,RU
3,东证期货,7844,-223.0,2025-12-26,ru2605,多单持仓,RU
4,银河期货,7692,1060.0,2025-12-26,ru2605,多单持仓,RU
5,浙商期货,5190,530.0,2025-12-26,ru2605,多单持仓,RU
6,永安期货,4878,538.0,2025-12-26,ru2605,多单持仓,RU
7,华泰期货,4493,48.0,2025-12-26,ru2605,多单持仓,RU
8,东吴期货,4078,21.0,2025-12-26,ru2605,多单持仓,RU
9,广发期货,3366,-373.0,2025-12-26,ru2605,多单持仓,RU
10,新湖期货,3183,-502.0,2025-12-26,ru2605,多单持仓,RU
11,宝城期货,3084,186.0,2025-12-26,ru2605,多单持仓,RU
12,方正中期,2923,-68.0,2025-12-26,ru2605,多单持仓,RU
13,国投期货,2892,42.0,2025-12-26,ru2605,多单持仓,RU
14,徽商期货,2880,136.0,2025-12-26,ru2605,多单持仓,RU
15,海通期货,2866,-143.0,2025-12-26,ru2605,多单持仓,RU
16,中信建投,2844,54.0,2025-12-26,ru2605,多单持仓,RU
17,国信期货,2812,288.0,2025-12-26,ru2605,多单持仓,RU
18,兴证期货,2731,157.0,2025-12-26,ru2605,多单持仓,RU
19,光大期货,2675,99.0,2025-12-26,ru2605,多单持仓,RU
20,中泰期货,2648,-6.0,2025-12-26,ru2605,多单持仓,RU
1,国泰君安,13295,-1502.0,2025-12-29,ru2605,多单持仓,RU
2,中信期货,9119,-163.0,2025-12-29,ru2605,多单持仓,RU
3,东证期货,7546,-298.0,2025-12-29,ru2605,多单持仓,RU
4,银河期货,7457,-235.0,2025-12-29,ru2605,多单持仓,RU
5,华泰期货,4867,374.0,2025-12-29,ru2605,多单持仓,RU
6,浙商期货,4835,-355.0,2025-12-29,ru2605,多单持仓,RU
7,永安期货,4221,-657.0,2025-12-29,ru2605,多单持仓,RU
8,东吴期货,3800,-278.0,2025-12-29,ru2605,多单持仓,RU
9,广发期货,3427,61.0,2025-12-29,ru2605,多单持仓,RU
10,新湖期货,3364,181.0,2025-12-29,ru2605,多单持仓,RU
11,国投期货,3093,201.0,2025-12-29,ru2605,多单持仓,RU
12,海通期货,2976,110.0,2025-12-29,ru2605,多单持仓,RU
13,方正中期,2863,-60.0,2025-12-29,ru2605,多单持仓,RU
14,宝城期货,2768,-316.0,2025-12-29,ru2605,多单持仓,RU
15,中泰期货,2720,72.0,2025-12-29,ru2605,多单持仓,RU
16,中信建投,2652,-192.0,2025-12-29,ru2605,多单持仓,RU
17,中辉期货,2629,281.0,2025-12-29,ru2605,多单持仓,RU
18,光大期货,2621,-54.0,2025-12-29,ru2605,多单持仓,RU
19,创元期货,2594,75.0,2025-12-29,ru2605,多单持仓,RU
20,国联期货,2527,-118.0,2025-12-29,ru2605,多单持仓,RU
1,国泰君安,14667,1372.0,2025-12-30,ru2605,多单持仓,RU
2,中信期货,9654,535.0,2025-12-30,ru2605,多单持仓,RU
3,东证期货,7592,46.0,2025-12-30,ru2605,多单持仓,RU
4,银河期货,6867,-590.0,2025-12-30,ru2605,多单持仓,RU
5,华泰期货,5451,584.0,2025-12-30,ru2605,多单持仓,RU
6,永安期货,4220,-1.0,2025-12-30,ru2605,多单持仓,RU
7,浙商期货,3960,-875.0,2025-12-30,ru2605,多单持仓,RU
8,东吴期货,3952,152.0,2025-12-30,ru2605,多单持仓,RU
9,广发期货,3510,83.0,2025-12-30,ru2605,多单持仓,RU
10,方正中期,3146,283.0,2025-12-30,ru2605,多单持仓,RU
11,国投期货,2906,-187.0,2025-12-30,ru2605,多单持仓,RU
12,宝城期货,2769,1.0,2025-12-30,ru2605,多单持仓,RU
13,海通期货,2674,-302.0,2025-12-30,ru2605,多单持仓,RU
14,国联期货,2584,57.0,2025-12-30,ru2605,多单持仓,RU
15,新湖期货,2562,-802.0,2025-12-30,ru2605,多单持仓,RU
16,中泰期货,2508,-212.0,2025-12-30,ru2605,多单持仓,RU
17,中信建投,2479,-173.0,2025-12-30,ru2605,多单持仓,RU
18,徽商期货,2455,-71.0,2025-12-30,ru2605,多单持仓,RU
19,宏源期货,2443,306.0,2025-12-30,ru2605,多单持仓,RU
20,兴证期货,2399,-92.0,2025-12-30,ru2605,多单持仓,RU
1,国泰君安,14048,-619.0,2025-12-31,ru2605,多单持仓,RU
2,中信期货,8052,-1602.0,2025-12-31,ru2605,多单持仓,RU
3,银河期货,7186,319.0,2025-12-31,ru2605,多单持仓,RU
4,东证期货,6310,-1282.0,2025-12-31,ru2605,多单持仓,RU
5,华泰期货,4424,-1027.0,2025-12-31,ru2605,多单持仓,RU
6,永安期货,4089,-131.0,2025-12-31,ru2605,多单持仓,RU
