排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,81655,-1321.0,2025-12-25,SA2605,空单持仓,SA
2,中信期货,78353,-3950.0,2025-12-25,SA2605,空单持仓,SA
3,东证期货,75805,6083.0,2025-12-25,SA2605,空单持仓,SA
4,永安期货,57383,-5955.0,2025-12-25,SA2605,空单持仓,SA
5,华泰期货,42569,1223.0,2025-12-25,SA2605,空单持仓,SA
6,乾坤期货,26232,-434.0,2025-12-25,SA2605,空单持仓,SA
7,广发期货,24024,1302.0,2025-12-25,SA2605,空单持仓,SA
8,中泰期货,21826,1434.0,2025-12-25,SA2605,空单持仓,SA
9,中信建投,21031,-704.0,2025-12-25,SA2605,空单持仓,SA
10,银河期货,20455,-368.0,2025-12-25,SA2605,空单持仓,SA
11,中金财富,20231,-2724.0,2025-12-25,SA2605,空单持仓,SA
12,海通期货,18335,-2627.0,2025-12-25,SA2605,空单持仓,SA
13,建信期货,18302,2921.0,2025-12-25,SA2605,空单持仓,SA
14,浙商期货,17993,-304.0,2025-12-25,SA2605,空单持仓,SA
15,光大期货,16581,-1144.0,2025-12-25,SA2605,空单持仓,SA
16,方正中期,16183,1509.0,2025-12-25,SA2605,空单持仓,SA
17,瑞达期货,15987,851.0,2025-12-25,SA2605,空单持仓,SA
18,南华期货,13783,-586.0,2025-12-25,SA2605,空单持仓,SA
19,浙江新世纪,13661,-329.0,2025-12-25,SA2605,空单持仓,SA
20,招商期货,13410,-6767.0,2025-12-25,SA2605,空单持仓,SA
1,国泰君安,88389,6734.0,2025-12-26,SA2605,空单持仓,SA
2,中信期货,77965,-388.0,2025-12-26,SA2605,空单持仓,SA
3,东证期货,69598,-6207.0,2025-12-26,SA2605,空单持仓,SA
4,永安期货,52818,-4565.0,2025-12-26,SA2605,空单持仓,SA
5,华泰期货,45259,2690.0,2025-12-26,SA2605,空单持仓,SA
6,广发期货,27340,3316.0,2025-12-26,SA2605,空单持仓,SA
7,方正中期,25376,9193.0,2025-12-26,SA2605,空单持仓,SA
8,乾坤期货,24518,-1714.0,2025-12-26,SA2605,空单持仓,SA
9,中泰期货,24154,2328.0,2025-12-26,SA2605,空单持仓,SA
10,中信建投,21684,653.0,2025-12-26,SA2605,空单持仓,SA
11,银河期货,21452,997.0,2025-12-26,SA2605,空单持仓,SA
12,浙商期货,18550,557.0,2025-12-26,SA2605,空单持仓,SA
13,中金财富,18310,-1921.0,2025-12-26,SA2605,空单持仓,SA
14,光大期货,16957,376.0,2025-12-26,SA2605,空单持仓,SA
15,海通期货,14986,-3349.0,2025-12-26,SA2605,空单持仓,SA
16,中融汇信,14670,3528.0,2025-12-26,SA2605,空单持仓,SA
17,南华期货,13925,142.0,2025-12-26,SA2605,空单持仓,SA
18,招商期货,13476,66.0,2025-12-26,SA2605,空单持仓,SA
19,融达期货,13373,2355.0,2025-12-26,SA2605,空单持仓,SA
20,浙江新世纪,13363,-298.0,2025-12-26,SA2605,空单持仓,SA
1,东证期货,99599,30001.0,2025-12-29,SA2605,空单持仓,SA
2,国泰君安,93778,5389.0,2025-12-29,SA2605,空单持仓,SA
3,中信期货,78789,824.0,2025-12-29,SA2605,空单持仓,SA
4,永安期货,61114,8296.0,2025-12-29,SA2605,空单持仓,SA
5,华泰期货,50072,4813.0,2025-12-29,SA2605,空单持仓,SA
6,广发期货,26331,-1009.0,2025-12-29,SA2605,空单持仓,SA
7,乾坤期货,25222,704.0,2025-12-29,SA2605,空单持仓,SA
8,方正中期,23019,-2357.0,2025-12-29,SA2605,空单持仓,SA
9,中泰期货,22115,-2039.0,2025-12-29,SA2605,空单持仓,SA
10,银河期货,21952,500.0,2025-12-29,SA2605,空单持仓,SA
11,瑞达期货,20215,9377.0,2025-12-29,SA2605,空单持仓,SA
12,海通期货,19824,4838.0,2025-12-29,SA2605,空单持仓,SA
13,中信建投,19599,-2085.0,2025-12-29,SA2605,空单持仓,SA
14,浙商期货,19285,735.0,2025-12-29,SA2605,空单持仓,SA
15,中金财富,18539,229.0,2025-12-29,SA2605,空单持仓,SA
16,光大期货,17308,351.0,2025-12-29,SA2605,空单持仓,SA
