排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,226290,-28448.0,2025-12-25,SA2605,成交量,SA
2,中信期货,91812,-15566.0,2025-12-25,SA2605,成交量,SA
3,东证期货,88100,-20267.0,2025-12-25,SA2605,成交量,SA
4,华闻期货,50056,-49687.0,2025-12-25,SA2605,成交量,SA
5,海通期货,42220,-11197.0,2025-12-25,SA2605,成交量,SA
6,银河期货,41597,-3416.0,2025-12-25,SA2605,成交量,SA
7,华泰期货,38598,-1625.0,2025-12-25,SA2605,成交量,SA
8,招商期货,33455,-2002.0,2025-12-25,SA2605,成交量,SA
9,广发期货,32041,-8904.0,2025-12-25,SA2605,成交量,SA
10,新湖期货,30218,-745.0,2025-12-25,SA2605,成交量,SA
11,中泰期货,28901,-674.0,2025-12-25,SA2605,成交量,SA
12,中信建投,28399,-8359.0,2025-12-25,SA2605,成交量,SA
13,方正中期,28106,2146.0,2025-12-25,SA2605,成交量,SA
14,申银万国,27573,-12279.0,2025-12-25,SA2605,成交量,SA
15,徽商期货,27517,-3233.0,2025-12-25,SA2605,成交量,SA
16,光大期货,24433,-3150.0,2025-12-25,SA2605,成交量,SA
17,永安期货,23823,12111.0,2025-12-25,SA2605,成交量,SA
18,国信期货,22987,-1913.0,2025-12-25,SA2605,成交量,SA
19,五矿期货,18784,7807.0,2025-12-25,SA2605,成交量,SA
20,中辉期货,18665,4302.0,2025-12-25,SA2605,成交量,SA
1,国泰君安,318833,92543.0,2025-12-26,SA2605,成交量,SA
2,中信期货,153742,61930.0,2025-12-26,SA2605,成交量,SA
3,东证期货,143068,54968.0,2025-12-26,SA2605,成交量,SA
4,华闻期货,124641,74585.0,2025-12-26,SA2605,成交量,SA
5,广发期货,93391,61350.0,2025-12-26,SA2605,成交量,SA
6,银河期货,68415,26818.0,2025-12-26,SA2605,成交量,SA
7,海通期货,64328,22108.0,2025-12-26,SA2605,成交量,SA
8,华泰期货,57296,18698.0,2025-12-26,SA2605,成交量,SA
9,中信建投,52708,24309.0,2025-12-26,SA2605,成交量,SA
10,中泰期货,49905,21004.0,2025-12-26,SA2605,成交量,SA
11,方正中期,48359,20253.0,2025-12-26,SA2605,成交量,SA
12,招商期货,44905,11450.0,2025-12-26,SA2605,成交量,SA
13,新湖期货,43801,13583.0,2025-12-26,SA2605,成交量,SA
14,申银万国,43439,15866.0,2025-12-26,SA2605,成交量,SA
15,徽商期货,41885,14368.0,2025-12-26,SA2605,成交量,SA
16,光大期货,40831,16398.0,2025-12-26,SA2605,成交量,SA
17,南华期货,37019,22215.0,2025-12-26,SA2605,成交量,SA
18,国信期货,36759,13772.0,2025-12-26,SA2605,成交量,SA
19,东吴期货,30146,13131.0,2025-12-26,SA2605,成交量,SA
20,建信期货,29497,23372.0,2025-12-26,SA2605,成交量,SA
1,国泰君安,275221,-43612.0,2025-12-29,SA2605,成交量,SA
2,东证期货,126583,-16485.0,2025-12-29,SA2605,成交量,SA
3,中信期货,118304,-35438.0,2025-12-29,SA2605,成交量,SA
4,华闻期货,116478,-8163.0,2025-12-29,SA2605,成交量,SA
5,华泰期货,57929,633.0,2025-12-29,SA2605,成交量,SA
6,海通期货,52721,-11607.0,2025-12-29,SA2605,成交量,SA
7,银河期货,50132,-18283.0,2025-12-29,SA2605,成交量,SA
8,广发期货,44252,-49139.0,2025-12-29,SA2605,成交量,SA
9,新湖期货,41490,-2311.0,2025-12-29,SA2605,成交量,SA
10,申银万国,39661,-3778.0,2025-12-29,SA2605,成交量,SA
11,中泰期货,36747,-13158.0,2025-12-29,SA2605,成交量,SA
12,南华期货,36226,-793.0,2025-12-29,SA2605,成交量,SA
13,光大期货,34634,-6197.0,2025-12-29,SA2605,成交量,SA
14,中信建投,33473,-19235.0,2025-12-29,SA2605,成交量,SA
15,徽商期货,33143,-8742.0,2025-12-29,SA2605,成交量,SA
16,招商期货,31744,-13161.0,2025-12-29,SA2605,成交量,SA
17,方正中期,31644,-16715.0,2025-12-29,SA2605,成交量,SA
18,国信期货,30770,-5989.0,2025-12-29,SA2605,成交量,SA
19,永安期货,30512,4005.0,2025-12-29,SA2605,成交量,SA
20,瑞达期货,24192,-4909.0,2025-12-29,SA2605,成交量,SA
1,国泰君安,310619,35398.0,2025-12-30,SA2605,成交量,SA
2,东证期货,152194,25611.0,2025-12-30,SA2605,成交量,SA
3,中信期货,147545,29241.0,2025-12-30,SA2605,成交量,SA
4,华闻期货,100527,-15951.0,2025-12-30,SA2605,成交量,SA
5,海通期货,73003,20282.0,2025-12-30,SA2605,成交量,SA
6,广发期货,71595,27343.0,2025-12-30,SA2605,成交量,SA
7,华泰期货,69844,11915.0,2025-12-30,SA2605,成交量,SA
8,银河期货,57669,7537.0,2025-12-30,SA2605,成交量,SA
9,中泰期货,46194,9447.0,2025-12-30,SA2605,成交量,SA
10,中信建投,45234,11761.0,2025-12-30,SA2605,成交量,SA
11,方正中期,43812,12168.0,2025-12-30,SA2605,成交量,SA
12,国信期货,41383,10613.0,2025-12-30,SA2605,成交量,SA
13,瑞达期货,38433,14241.0,2025-12-30,SA2605,成交量,SA
14,新湖期货,37368,-4122.0,2025-12-30,SA2605,成交量,SA
15,徽商期货,36779,3636.0,2025-12-30,SA2605,成交量,SA
16,光大期货,35713,1079.0,2025-12-30,SA2605,成交量,SA
17,南华期货,32012,-4214.0,2025-12-30,SA2605,成交量,SA
18,招商期货,30536,-1208.0,2025-12-30,SA2605,成交量,SA
19,中辉期货,29285,15382.0,2025-12-30,SA2605,成交量,SA
20,平安期货,26913,5546.0,2025-12-30,SA2605,成交量,SA
1,国泰君安,274865,-35754.0,2025-12-31,SA2605,成交量,SA
2,中信期货,104791,-42754.0,2025-12-31,SA2605,成交量,SA
3,东证期货,96726,-55468.0,2025-12-31,SA2605,成交量,SA
4,华闻期货,71639,-28888.0,2025-12-31,SA2605,成交量,SA
5,华泰期货,53112,-16732.0,2025-12-31,SA2605,成交量,SA
6,海通期货,47701,-25302.0,2025-12-31,SA2605,成交量,SA
7,方正中期,43810,-2.0,2025-12-31,SA2605,成交量,SA
8,银河期货,39291,-18378.0,2025-12-31,SA2605,成交量,SA
9,广发期货,37289,-34306.0,2025-12-31,SA2605,成交量,SA
10,新湖期货,33826,-3542.0,2025-12-31,SA2605,成交量,SA
11,光大期货,30161,-5552.0,2025-12-31,SA2605,成交量,SA
12,中泰期货,29952,-16242.0,2025-12-31,SA2605,成交量,SA
13,中信建投,25339,-19895.0,2025-12-31,SA2605,成交量,SA
14,徽商期货,24801,-11978.0,2025-12-31,SA2605,成交量,SA
15,南华期货,24470,-7542.0,2025-12-31,SA2605,成交量,SA
16,招商期货,23931,-6605.0,2025-12-31,SA2605,成交量,SA
17,平安期货,23615,-3298.0,2025-12-31,SA2605,成交量,SA
18,国信期货,21594,-19789.0,2025-12-31,SA2605,成交量,SA
19,永安期货,20900,242.0,2025-12-31,SA2605,成交量,SA
20,国盛期货,18003,-810.0,2025-12-31,SA2605,成交量,SA
