排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,东证期货,33057,-901.0,2025-12-25,SF2603,多单持仓,SF
2,中信期货,25306,714.0,2025-12-25,SF2603,多单持仓,SF
3,浙商期货,17020,364.0,2025-12-25,SF2603,多单持仓,SF
4,中粮期货,12270,37.0,2025-12-25,SF2603,多单持仓,SF
5,广发期货,12002,-33.0,2025-12-25,SF2603,多单持仓,SF
6,国元期货,10026,-55.0,2025-12-25,SF2603,多单持仓,SF
7,国泰君安,9639,1102.0,2025-12-25,SF2603,多单持仓,SF
8,国投期货,7356,-144.0,2025-12-25,SF2603,多单持仓,SF
9,申银万国,7351,103.0,2025-12-25,SF2603,多单持仓,SF
10,瑞达期货,7322,51.0,2025-12-25,SF2603,多单持仓,SF
11,华泰期货,7267,363.0,2025-12-25,SF2603,多单持仓,SF
12,五矿期货,6831,95.0,2025-12-25,SF2603,多单持仓,SF
13,中信建投,6637,5.0,2025-12-25,SF2603,多单持仓,SF
14,锦泰期货,6060,-81.0,2025-12-25,SF2603,多单持仓,SF
15,中金财富,6040,1779.0,2025-12-25,SF2603,多单持仓,SF
16,银河期货,6030,117.0,2025-12-25,SF2603,多单持仓,SF
17,乾坤期货,4555,0.0,2025-12-25,SF2603,多单持仓,SF
18,中原期货,3506,-651.0,2025-12-25,SF2603,多单持仓,SF
19,平安期货,3331,1653.0,2025-12-25,SF2603,多单持仓,SF
20,南华期货,3080,224.0,2025-12-25,SF2603,多单持仓,SF
1,东证期货,31795,-1262.0,2025-12-26,SF2603,多单持仓,SF
2,中信期货,24870,-436.0,2025-12-26,SF2603,多单持仓,SF
3,浙商期货,17127,107.0,2025-12-26,SF2603,多单持仓,SF
4,广发期货,12240,238.0,2025-12-26,SF2603,多单持仓,SF
5,中粮期货,10537,-1733.0,2025-12-26,SF2603,多单持仓,SF
6,国泰君安,9445,-194.0,2025-12-26,SF2603,多单持仓,SF
7,国元期货,8462,-1564.0,2025-12-26,SF2603,多单持仓,SF
8,国投期货,7613,257.0,2025-12-26,SF2603,多单持仓,SF
9,华泰期货,7534,267.0,2025-12-26,SF2603,多单持仓,SF
10,瑞达期货,7273,-49.0,2025-12-26,SF2603,多单持仓,SF
11,五矿期货,7115,284.0,2025-12-26,SF2603,多单持仓,SF
12,中信建投,7072,435.0,2025-12-26,SF2603,多单持仓,SF
13,锦泰期货,6111,51.0,2025-12-26,SF2603,多单持仓,SF
14,银河期货,5961,-69.0,2025-12-26,SF2603,多单持仓,SF
15,申银万国,5837,-1514.0,2025-12-26,SF2603,多单持仓,SF
16,中金财富,5610,-430.0,2025-12-26,SF2603,多单持仓,SF
17,乾坤期货,5430,875.0,2025-12-26,SF2603,多单持仓,SF
18,中原期货,3495,-11.0,2025-12-26,SF2603,多单持仓,SF
19,平安期货,3399,68.0,2025-12-26,SF2603,多单持仓,SF
20,南华期货,3268,188.0,2025-12-26,SF2603,多单持仓,SF
1,东证期货,28420,-3375.0,2025-12-29,SF2603,多单持仓,SF
2,中信期货,23122,-1748.0,2025-12-29,SF2603,多单持仓,SF
3,浙商期货,17684,557.0,2025-12-29,SF2603,多单持仓,SF
4,中粮期货,9792,-745.0,2025-12-29,SF2603,多单持仓,SF
5,国泰君安,9244,-201.0,2025-12-29,SF2603,多单持仓,SF
6,广发期货,8743,-3497.0,2025-12-29,SF2603,多单持仓,SF
7,国元期货,7997,-465.0,2025-12-29,SF2603,多单持仓,SF
8,五矿期货,7659,544.0,2025-12-29,SF2603,多单持仓,SF
9,国投期货,7299,-314.0,2025-12-29,SF2603,多单持仓,SF
10,中信建投,6989,-83.0,2025-12-29,SF2603,多单持仓,SF
11,华泰期货,6890,-644.0,2025-12-29,SF2603,多单持仓,SF
12,锦泰期货,6201,90.0,2025-12-29,SF2603,多单持仓,SF
13,瑞达期货,6172,-1101.0,2025-12-29,SF2603,多单持仓,SF
14,银河期货,6108,147.0,2025-12-29,SF2603,多单持仓,SF
15,乾坤期货,5538,108.0,2025-12-29,SF2603,多单持仓,SF
16,中金财富,4989,-621.0,2025-12-29,SF2603,多单持仓,SF
17,申银万国,4164,-1673.0,2025-12-29,SF2603,多单持仓,SF
18,南华期货,3272,4.0,2025-12-29,SF2603,多单持仓,SF
19,中原期货,2701,-794.0,2025-12-29,SF2603,多单持仓,SF
20,永安期货,2687,-115.0,2025-12-29,SF2603,多单持仓,SF
1,东证期货,27468,-952.0,2025-12-30,SF2603,多单持仓,SF
2,中信期货,25872,2750.0,2025-12-30,SF2603,多单持仓,SF
3,浙商期货,14164,-3520.0,2025-12-30,SF2603,多单持仓,SF
4,中粮期货,9881,89.0,2025-12-30,SF2603,多单持仓,SF
5,国泰君安,9343,99.0,2025-12-30,SF2603,多单持仓,SF
6,乾坤期货,8646,3108.0,2025-12-30,SF2603,多单持仓,SF
7,国元期货,7808,-189.0,2025-12-30,SF2603,多单持仓,SF
8,国投期货,7619,320.0,2025-12-30,SF2603,多单持仓,SF
9,华泰期货,7329,439.0,2025-12-30,SF2603,多单持仓,SF
10,广发期货,7246,-1497.0,2025-12-30,SF2603,多单持仓,SF
11,五矿期货,7216,-443.0,2025-12-30,SF2603,多单持仓,SF
12,中信建投,6805,-184.0,2025-12-30,SF2603,多单持仓,SF
13,锦泰期货,6062,-139.0,2025-12-30,SF2603,多单持仓,SF
