排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,51061,-9900.0,2025-12-25,SF2603,成交量,SF
2,国泰君安,43691,4515.0,2025-12-25,SF2603,成交量,SF
3,东证期货,36428,-14832.0,2025-12-25,SF2603,成交量,SF
4,广发期货,15000,-8121.0,2025-12-25,SF2603,成交量,SF
5,国元期货,14177,-13222.0,2025-12-25,SF2603,成交量,SF
6,锦泰期货,13213,1478.0,2025-12-25,SF2603,成交量,SF
7,申银万国,11875,-10128.0,2025-12-25,SF2603,成交量,SF
8,中信建投,11405,-23025.0,2025-12-25,SF2603,成交量,SF
9,中粮期货,10503,-6030.0,2025-12-25,SF2603,成交量,SF
10,五矿期货,10405,-12582.0,2025-12-25,SF2603,成交量,SF
11,浙商期货,9573,-3696.0,2025-12-25,SF2603,成交量,SF
12,华闻期货,9186,-1633.0,2025-12-25,SF2603,成交量,SF
13,银河期货,6924,-1984.0,2025-12-25,SF2603,成交量,SF
14,华泰期货,5883,-937.0,2025-12-25,SF2603,成交量,SF
15,国信期货,5826,1234.0,2025-12-25,SF2603,成交量,SF
16,光大期货,5506,-678.0,2025-12-25,SF2603,成交量,SF
17,国投期货,5464,-523.0,2025-12-25,SF2603,成交量,SF
18,海通期货,5279,-555.0,2025-12-25,SF2603,成交量,SF
19,中金财富,3299,1460.0,2025-12-25,SF2603,成交量,SF
20,中泰期货,2802,330.0,2025-12-25,SF2603,成交量,SF
1,中信期货,57424,6363.0,2025-12-26,SF2603,成交量,SF
2,东证期货,44744,8316.0,2025-12-26,SF2603,成交量,SF
3,国泰君安,44515,824.0,2025-12-26,SF2603,成交量,SF
4,五矿期货,23444,13039.0,2025-12-26,SF2603,成交量,SF
5,广发期货,16110,1110.0,2025-12-26,SF2603,成交量,SF
6,中信建投,15787,4382.0,2025-12-26,SF2603,成交量,SF
7,锦泰期货,14532,1319.0,2025-12-26,SF2603,成交量,SF
8,国元期货,12376,-1801.0,2025-12-26,SF2603,成交量,SF
9,浙商期货,11374,1801.0,2025-12-26,SF2603,成交量,SF
10,中粮期货,11314,811.0,2025-12-26,SF2603,成交量,SF
11,华闻期货,10194,1008.0,2025-12-26,SF2603,成交量,SF
12,国投期货,8141,2677.0,2025-12-26,SF2603,成交量,SF
13,申银万国,7830,-4045.0,2025-12-26,SF2603,成交量,SF
14,华泰期货,7157,1274.0,2025-12-26,SF2603,成交量,SF
15,银河期货,6940,16.0,2025-12-26,SF2603,成交量,SF
16,海通期货,6610,1331.0,2025-12-26,SF2603,成交量,SF
17,国信期货,5808,-18.0,2025-12-26,SF2603,成交量,SF
18,光大期货,4706,-800.0,2025-12-26,SF2603,成交量,SF
19,招商期货,3048,1109.0,2025-12-26,SF2603,成交量,SF
20,中泰期货,2915,113.0,2025-12-26,SF2603,成交量,SF
1,中信期货,105651,48227.0,2025-12-29,SF2603,成交量,SF
2,东证期货,75218,30474.0,2025-12-29,SF2603,成交量,SF
3,国泰君安,49106,4591.0,2025-12-29,SF2603,成交量,SF
4,广发期货,42796,26686.0,2025-12-29,SF2603,成交量,SF
5,国元期货,33776,21400.0,2025-12-29,SF2603,成交量,SF
6,锦泰期货,30582,16050.0,2025-12-29,SF2603,成交量,SF
7,浙商期货,28830,17456.0,2025-12-29,SF2603,成交量,SF
8,中粮期货,27422,16108.0,2025-12-29,SF2603,成交量,SF
9,中信建投,22253,6466.0,2025-12-29,SF2603,成交量,SF
10,申银万国,19413,11583.0,2025-12-29,SF2603,成交量,SF
11,五矿期货,19366,-4078.0,2025-12-29,SF2603,成交量,SF
12,华闻期货,14490,4296.0,2025-12-29,SF2603,成交量,SF
13,国投期货,12923,4782.0,2025-12-29,SF2603,成交量,SF
14,华泰期货,11146,3989.0,2025-12-29,SF2603,成交量,SF
15,海通期货,9585,2975.0,2025-12-29,SF2603,成交量,SF
16,银河期货,9338,2398.0,2025-12-29,SF2603,成交量,SF
17,光大期货,9014,4308.0,2025-12-29,SF2603,成交量,SF
18,国信期货,7630,1822.0,2025-12-29,SF2603,成交量,SF
19,中泰期货,5318,2403.0,2025-12-29,SF2603,成交量,SF
20,瑞达期货,4490,2239.0,2025-12-29,SF2603,成交量,SF
1,中信期货,72427,-33224.0,2025-12-30,SF2603,成交量,SF
2,东证期货,59563,-15655.0,2025-12-30,SF2603,成交量,SF
3,国泰君安,55749,6643.0,2025-12-30,SF2603,成交量,SF
4,广发期货,21087,-21709.0,2025-12-30,SF2603,成交量,SF
5,浙商期货,20692,-8138.0,2025-12-30,SF2603,成交量,SF
6,五矿期货,16419,-2947.0,2025-12-30,SF2603,成交量,SF
7,申银万国,14430,-4983.0,2025-12-30,SF2603,成交量,SF
8,中粮期货,14302,-13120.0,2025-12-30,SF2603,成交量,SF
9,国元期货,13782,-19994.0,2025-12-30,SF2603,成交量,SF
10,中信建投,12963,-9290.0,2025-12-30,SF2603,成交量,SF
11,锦泰期货,11208,-19374.0,2025-12-30,SF2603,成交量,SF
12,华闻期货,10801,-3689.0,2025-12-30,SF2603,成交量,SF
13,银河期货,9715,377.0,2025-12-30,SF2603,成交量,SF
14,华泰期货,9031,-2115.0,2025-12-30,SF2603,成交量,SF
15,国投期货,8353,-4570.0,2025-12-30,SF2603,成交量,SF
16,海通期货,6868,-2717.0,2025-12-30,SF2603,成交量,SF
17,光大期货,6778,-2236.0,2025-12-30,SF2603,成交量,SF
18,国信期货,6748,-882.0,2025-12-30,SF2603,成交量,SF
19,东吴期货,5600,1737.0,2025-12-30,SF2603,成交量,SF
20,永安期货,5251,1647.0,2025-12-30,SF2603,成交量,SF
1,中信期货,72492,65.0,2025-12-31,SF2603,成交量,SF
2,东证期货,46767,-12796.0,2025-12-31,SF2603,成交量,SF
3,广发期货,38398,17311.0,2025-12-31,SF2603,成交量,SF
4,国泰君安,29423,-26326.0,2025-12-31,SF2603,成交量,SF
5,国元期货,25005,11223.0,2025-12-31,SF2603,成交量,SF
6,浙商期货,24616,3924.0,2025-12-31,SF2603,成交量,SF
7,中信建投,16993,4030.0,2025-12-31,SF2603,成交量,SF
8,中粮期货,15428,1126.0,2025-12-31,SF2603,成交量,SF
9,五矿期货,15187,-1232.0,2025-12-31,SF2603,成交量,SF
10,申银万国,14086,-344.0,2025-12-31,SF2603,成交量,SF
11,锦泰期货,11599,391.0,2025-12-31,SF2603,成交量,SF
12,国投期货,10373,2020.0,2025-12-31,SF2603,成交量,SF
13,华闻期货,9711,-1090.0,2025-12-31,SF2603,成交量,SF
14,银河期货,9609,-106.0,2025-12-31,SF2603,成交量,SF
