排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安期货,33724,1201.0,2025-12-25,SI2605,多单持仓,SI
2,中信期货,14776,181.0,2025-12-25,SI2605,多单持仓,SI
3,广发期货,7963,115.0,2025-12-25,SI2605,多单持仓,SI
4,东证期货,7326,324.0,2025-12-25,SI2605,多单持仓,SI
5,方正中期,6699,-143.0,2025-12-25,SI2605,多单持仓,SI
6,中信建投,6159,-330.0,2025-12-25,SI2605,多单持仓,SI
7,东海期货,5722,149.0,2025-12-25,SI2605,多单持仓,SI
8,银河期货,4974,-275.0,2025-12-25,SI2605,多单持仓,SI
9,招商期货,4952,51.0,2025-12-25,SI2605,多单持仓,SI
10,永安期货,4630,-65.0,2025-12-25,SI2605,多单持仓,SI
11,中泰期货,4170,-253.0,2025-12-25,SI2605,多单持仓,SI
12,南华期货,3875,3.0,2025-12-25,SI2605,多单持仓,SI
13,徽商期货,3842,-172.0,2025-12-25,SI2605,多单持仓,SI
14,中粮期货,3816,-37.0,2025-12-25,SI2605,多单持仓,SI
15,海通期货,3770,581.0,2025-12-25,SI2605,多单持仓,SI
16,创元期货,3601,-1160.0,2025-12-25,SI2605,多单持仓,SI
17,格林大华,3182,-93.0,2025-12-25,SI2605,多单持仓,SI
18,新湖期货,3077,-270.0,2025-12-25,SI2605,多单持仓,SI
19,华泰期货,3027,52.0,2025-12-25,SI2605,多单持仓,SI
20,光大期货,2813,154.0,2025-12-25,SI2605,多单持仓,SI
1,国泰君安期货,33265,-459.0,2025-12-26,SI2605,多单持仓,SI
2,中信期货,10453,-4323.0,2025-12-26,SI2605,多单持仓,SI
3,广发期货,9475,1512.0,2025-12-26,SI2605,多单持仓,SI
4,东证期货,9084,1758.0,2025-12-26,SI2605,多单持仓,SI
5,方正中期,6302,-397.0,2025-12-26,SI2605,多单持仓,SI
6,中信建投,6089,-70.0,2025-12-26,SI2605,多单持仓,SI
7,东海期货,5757,35.0,2025-12-26,SI2605,多单持仓,SI
8,银河期货,5622,648.0,2025-12-26,SI2605,多单持仓,SI
9,招商期货,4978,26.0,2025-12-26,SI2605,多单持仓,SI
10,永安期货,4946,316.0,2025-12-26,SI2605,多单持仓,SI
11,海通期货,4466,696.0,2025-12-26,SI2605,多单持仓,SI
12,中泰期货,4356,186.0,2025-12-26,SI2605,多单持仓,SI
13,华泰期货,4084,1057.0,2025-12-26,SI2605,多单持仓,SI
