排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,121562,-23644.0,2025-12-25,SI2605,成交量,SI
2,国泰君安期货,90375,-7565.0,2025-12-25,SI2605,成交量,SI
3,广发期货,34661,-15277.0,2025-12-25,SI2605,成交量,SI
4,东证期货,24085,-6961.0,2025-12-25,SI2605,成交量,SI
5,海通期货,23183,-7852.0,2025-12-25,SI2605,成交量,SI
6,华闻期货,18276,1076.0,2025-12-25,SI2605,成交量,SI
7,中泰期货,14216,-2073.0,2025-12-25,SI2605,成交量,SI
8,银河期货,10124,-2372.0,2025-12-25,SI2605,成交量,SI
9,华泰期货,8098,-1946.0,2025-12-25,SI2605,成交量,SI
10,中信建投,7797,-1017.0,2025-12-25,SI2605,成交量,SI
11,徽商期货,7658,-2132.0,2025-12-25,SI2605,成交量,SI
12,方正中期,6716,-1184.0,2025-12-25,SI2605,成交量,SI
13,招商期货,6272,-1497.0,2025-12-25,SI2605,成交量,SI
14,南华期货,6013,-1583.0,2025-12-25,SI2605,成交量,SI
15,国信期货,5534,-973.0,2025-12-25,SI2605,成交量,SI
16,创元期货,5241,-2286.0,2025-12-25,SI2605,成交量,SI
17,东方财富期货,5168,-1205.0,2025-12-25,SI2605,成交量,SI
18,光大期货,4982,-433.0,2025-12-25,SI2605,成交量,SI
19,新湖期货,4666,423.0,2025-12-25,SI2605,成交量,SI
20,平安期货,4186,502.0,2025-12-25,SI2605,成交量,SI
1,中信期货,219985,98423.0,2025-12-26,SI2605,成交量,SI
2,国泰君安期货,153029,62654.0,2025-12-26,SI2605,成交量,SI
3,广发期货,53317,18656.0,2025-12-26,SI2605,成交量,SI
4,海通期货,49304,26121.0,2025-12-26,SI2605,成交量,SI
5,东证期货,48018,23933.0,2025-12-26,SI2605,成交量,SI
6,华泰期货,31574,23476.0,2025-12-26,SI2605,成交量,SI
7,华闻期货,23136,4860.0,2025-12-26,SI2605,成交量,SI
8,银河期货,22187,12063.0,2025-12-26,SI2605,成交量,SI
9,中泰期货,21252,7036.0,2025-12-26,SI2605,成交量,SI
10,中信建投,19819,12022.0,2025-12-26,SI2605,成交量,SI
11,徽商期货,16933,9275.0,2025-12-26,SI2605,成交量,SI
12,宝城期货,14366,10712.0,2025-12-26,SI2605,成交量,SI
13,南华期货,14004,7991.0,2025-12-26,SI2605,成交量,SI
14,方正中期,13233,6517.0,2025-12-26,SI2605,成交量,SI
15,东方财富期货,12494,7326.0,2025-12-26,SI2605,成交量,SI
16,五矿期货,12110,8113.0,2025-12-26,SI2605,成交量,SI
17,光大期货,11598,6616.0,2025-12-26,SI2605,成交量,SI
18,招商期货,11566,5294.0,2025-12-26,SI2605,成交量,SI
19,东吴期货,11479,7528.0,2025-12-26,SI2605,成交量,SI
20,国信期货,11086,5552.0,2025-12-26,SI2605,成交量,SI
1,中信期货,172953,-47032.0,2025-12-29,SI2605,成交量,SI
2,国泰君安期货,86259,-66770.0,2025-12-29,SI2605,成交量,SI
3,广发期货,41908,-11409.0,2025-12-29,SI2605,成交量,SI
4,海通期货,41774,-7530.0,2025-12-29,SI2605,成交量,SI
5,东证期货,40204,-7814.0,2025-12-29,SI2605,成交量,SI
6,华闻期货,23789,653.0,2025-12-29,SI2605,成交量,SI
7,五矿期货,22056,9946.0,2025-12-29,SI2605,成交量,SI
8,中泰期货,17318,-3934.0,2025-12-29,SI2605,成交量,SI
9,银河期货,16980,-5207.0,2025-12-29,SI2605,成交量,SI
10,南华期货,15927,1923.0,2025-12-29,SI2605,成交量,SI
11,中信建投,12886,-6933.0,2025-12-29,SI2605,成交量,SI
12,华泰期货,11492,-20082.0,2025-12-29,SI2605,成交量,SI
13,徽商期货,11230,-5703.0,2025-12-29,SI2605,成交量,SI
14,招商期货,10155,-1411.0,2025-12-29,SI2605,成交量,SI
15,方正中期,9648,-3585.0,2025-12-29,SI2605,成交量,SI
16,东吴期货,9180,-2299.0,2025-12-29,SI2605,成交量,SI
17,东方财富期货,8614,-3880.0,2025-12-29,SI2605,成交量,SI
18,光大期货,8324,-3274.0,2025-12-29,SI2605,成交量,SI
19,中辉期货,8009,-2808.0,2025-12-29,SI2605,成交量,SI
20,宝城期货,7191,-7175.0,2025-12-29,SI2605,成交量,SI
1,中信期货,151519,-21434.0,2025-12-30,SI2605,成交量,SI
2,国泰君安期货,141353,55094.0,2025-12-30,SI2605,成交量,SI
3,东证期货,39139,-1065.0,2025-12-30,SI2605,成交量,SI
4,海通期货,34514,-7260.0,2025-12-30,SI2605,成交量,SI
5,广发期货,34368,-7540.0,2025-12-30,SI2605,成交量,SI
6,华闻期货,17941,-5848.0,2025-12-30,SI2605,成交量,SI
7,银河期货,17540,560.0,2025-12-30,SI2605,成交量,SI
8,南华期货,15344,-583.0,2025-12-30,SI2605,成交量,SI
9,中泰期货,14309,-3009.0,2025-12-30,SI2605,成交量,SI
10,华泰期货,10814,-678.0,2025-12-30,SI2605,成交量,SI
11,徽商期货,9443,-1787.0,2025-12-30,SI2605,成交量,SI
12,东方财富期货,9129,515.0,2025-12-30,SI2605,成交量,SI
13,中信建投,8828,-4058.0,2025-12-30,SI2605,成交量,SI
14,光大期货,8717,393.0,2025-12-30,SI2605,成交量,SI
15,方正中期,8349,-1299.0,2025-12-30,SI2605,成交量,SI
16,宝城期货,7959,768.0,2025-12-30,SI2605,成交量,SI
17,中辉期货,7895,-114.0,2025-12-30,SI2605,成交量,SI
18,招商期货,7564,-2591.0,2025-12-30,SI2605,成交量,SI
19,东吴期货,6763,-2417.0,2025-12-30,SI2605,成交量,SI
20,浙商期货,6551,71.0,2025-12-30,SI2605,成交量,SI
1,中信期货,107372,-44147.0,2025-12-31,SI2605,成交量,SI
2,国泰君安期货,86032,-55321.0,2025-12-31,SI2605,成交量,SI
3,广发期货,20032,-14336.0,2025-12-31,SI2605,成交量,SI
4,东证期货,19297,-19842.0,2025-12-31,SI2605,成交量,SI
5,海通期货,17585,-16929.0,2025-12-31,SI2605,成交量,SI
6,中泰期货,12582,-1727.0,2025-12-31,SI2605,成交量,SI
7,华闻期货,10979,-6962.0,2025-12-31,SI2605,成交量,SI
8,银河期货,9769,-7771.0,2025-12-31,SI2605,成交量,SI
9,南华期货,6875,-8469.0,2025-12-31,SI2605,成交量,SI
10,华泰期货,6779,-4035.0,2025-12-31,SI2605,成交量,SI
11,中信建投,6553,-2275.0,2025-12-31,SI2605,成交量,SI
12,徽商期货,6289,-3154.0,2025-12-31,SI2605,成交量,SI
13,东方财富期货,5359,-3770.0,2025-12-31,SI2605,成交量,SI
14,光大期货,5209,-3508.0,2025-12-31,SI2605,成交量,SI
15,东吴期货,5136,-1627.0,2025-12-31,SI2605,成交量,SI
16,永安期货,4918,-1502.0,2025-12-31,SI2605,成交量,SI
17,宝城期货,4731,-3228.0,2025-12-31,SI2605,成交量,SI
18,方正中期,4340,-4009.0,2025-12-31,SI2605,成交量,SI
19,招商期货,4283,-3281.0,2025-12-31,SI2605,成交量,SI
20,瑞达期货,4179,271.0,2025-12-31,SI2605,成交量,SI
