排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,49649,11021.0,2025-12-25,SM2603,成交量,SM
2,中信期货,25729,4153.0,2025-12-25,SM2603,成交量,SM
3,东证期货,22822,2651.0,2025-12-25,SM2603,成交量,SM
4,华闻期货,9068,2007.0,2025-12-25,SM2603,成交量,SM
5,华泰期货,8267,71.0,2025-12-25,SM2603,成交量,SM
6,申银万国,8124,4698.0,2025-12-25,SM2603,成交量,SM
7,浙商期货,7975,512.0,2025-12-25,SM2603,成交量,SM
8,中信建投,7535,2140.0,2025-12-25,SM2603,成交量,SM
9,五矿期货,7440,1451.0,2025-12-25,SM2603,成交量,SM
10,国信期货,7241,2188.0,2025-12-25,SM2603,成交量,SM
11,中原期货,7154,2353.0,2025-12-25,SM2603,成交量,SM
12,锦泰期货,7114,1926.0,2025-12-25,SM2603,成交量,SM
13,永安期货,6674,2524.0,2025-12-25,SM2603,成交量,SM
14,银河期货,5382,1342.0,2025-12-25,SM2603,成交量,SM
15,华源期货,5345,5014.0,2025-12-25,SM2603,成交量,SM
16,海通期货,4784,-610.0,2025-12-25,SM2603,成交量,SM
17,光大期货,4238,-914.0,2025-12-25,SM2603,成交量,SM
18,国投期货,3595,1930.0,2025-12-25,SM2603,成交量,SM
19,中辉期货,2763,-465.0,2025-12-25,SM2603,成交量,SM
20,兴证期货,2587,289.0,2025-12-25,SM2603,成交量,SM
1,国泰君安,48461,-1188.0,2025-12-26,SM2603,成交量,SM
2,东证期货,28094,5272.0,2025-12-26,SM2603,成交量,SM
3,中信期货,26411,682.0,2025-12-26,SM2603,成交量,SM
4,浙商期货,19477,11502.0,2025-12-26,SM2603,成交量,SM
5,申银万国,16784,8660.0,2025-12-26,SM2603,成交量,SM
6,中信建投,13107,5572.0,2025-12-26,SM2603,成交量,SM
7,中原期货,10674,3520.0,2025-12-26,SM2603,成交量,SM
8,华泰期货,10418,2151.0,2025-12-26,SM2603,成交量,SM
9,五矿期货,9139,1699.0,2025-12-26,SM2603,成交量,SM
10,华闻期货,8631,-437.0,2025-12-26,SM2603,成交量,SM
11,国信期货,8488,1247.0,2025-12-26,SM2603,成交量,SM
12,海通期货,6801,2017.0,2025-12-26,SM2603,成交量,SM
13,永安期货,6769,95.0,2025-12-26,SM2603,成交量,SM
14,银河期货,6129,747.0,2025-12-26,SM2603,成交量,SM
15,光大期货,5167,929.0,2025-12-26,SM2603,成交量,SM
16,中泰期货,4390,2877.0,2025-12-26,SM2603,成交量,SM
17,锦泰期货,4212,-2902.0,2025-12-26,SM2603,成交量,SM
18,中辉期货,4141,1378.0,2025-12-26,SM2603,成交量,SM
19,国投期货,3420,-175.0,2025-12-26,SM2603,成交量,SM
20,东吴期货,3314,2065.0,2025-12-26,SM2603,成交量,SM
1,国泰君安,98898,50437.0,2025-12-29,SM2603,成交量,SM
2,东证期货,55194,27100.0,2025-12-29,SM2603,成交量,SM
3,中信期货,52369,25958.0,2025-12-29,SM2603,成交量,SM
4,华泰期货,23633,13215.0,2025-12-29,SM2603,成交量,SM
5,浙商期货,22352,2875.0,2025-12-29,SM2603,成交量,SM
