排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,5393,-348.0,2025-12-25,sn2602,空单持仓,SN
2,中信期货,5044,-894.0,2025-12-25,sn2602,空单持仓,SN
3,银河期货,2647,-393.0,2025-12-25,sn2602,空单持仓,SN
4,东证期货,2558,-583.0,2025-12-25,sn2602,空单持仓,SN
5,东海期货,2008,24.0,2025-12-25,sn2602,空单持仓,SN
6,广发期货,1875,-59.0,2025-12-25,sn2602,空单持仓,SN
7,金瑞期货,1826,170.0,2025-12-25,sn2602,空单持仓,SN
8,中泰期货,1810,91.0,2025-12-25,sn2602,空单持仓,SN
9,永安期货,1801,63.0,2025-12-25,sn2602,空单持仓,SN
10,方正中期,1278,-31.0,2025-12-25,sn2602,空单持仓,SN
11,南华期货,1266,-12.0,2025-12-25,sn2602,空单持仓,SN
12,海证期货,1142,-194.0,2025-12-25,sn2602,空单持仓,SN
13,光大期货,1125,-67.0,2025-12-25,sn2602,空单持仓,SN
14,中信建投,1108,26.0,2025-12-25,sn2602,空单持仓,SN
15,浙商期货,919,-13.0,2025-12-25,sn2602,空单持仓,SN
16,五矿期货,913,115.0,2025-12-25,sn2602,空单持仓,SN
17,华泰期货,863,-416.0,2025-12-25,sn2602,空单持仓,SN
18,瑞达期货,859,-52.0,2025-12-25,sn2602,空单持仓,SN
19,新湖期货,762,7.0,2025-12-25,sn2602,空单持仓,SN
20,国联期货,722,-79.0,2025-12-25,sn2602,空单持仓,SN
1,中信期货,5196,152.0,2025-12-26,sn2602,空单持仓,SN
2,国泰君安,4967,-426.0,2025-12-26,sn2602,空单持仓,SN
3,银河期货,2569,-78.0,2025-12-26,sn2602,空单持仓,SN
4,东证期货,2196,-362.0,2025-12-26,sn2602,空单持仓,SN
5,广发期货,1859,-16.0,2025-12-26,sn2602,空单持仓,SN
6,东海期货,1822,-186.0,2025-12-26,sn2602,空单持仓,SN
7,中泰期货,1601,-209.0,2025-12-26,sn2602,空单持仓,SN
8,东吴期货,1553,875.0,2025-12-26,sn2602,空单持仓,SN
9,金瑞期货,1445,-381.0,2025-12-26,sn2602,空单持仓,SN
10,永安期货,1355,-446.0,2025-12-26,sn2602,空单持仓,SN
11,招商期货,1260,814.0,2025-12-26,sn2602,空单持仓,SN
12,南华期货,1250,-16.0,2025-12-26,sn2602,空单持仓,SN
13,海证期货,1185,43.0,2025-12-26,sn2602,空单持仓,SN
14,方正中期,1183,-95.0,2025-12-26,sn2602,空单持仓,SN
15,光大期货,1183,58.0,2025-12-26,sn2602,空单持仓,SN
16,中信建投,1059,-49.0,2025-12-26,sn2602,空单持仓,SN
17,兴证期货,984,485.0,2025-12-26,sn2602,空单持仓,SN
18,五矿期货,944,31.0,2025-12-26,sn2602,空单持仓,SN
19,华泰期货,911,48.0,2025-12-26,sn2602,空单持仓,SN
20,浙商期货,813,-106.0,2025-12-26,sn2602,空单持仓,SN
1,国泰君安,5276,309.0,2025-12-29,sn2602,空单持仓,SN
2,中信期货,4749,-447.0,2025-12-29,sn2602,空单持仓,SN
3,银河期货,2554,-15.0,2025-12-29,sn2602,空单持仓,SN
4,东证期货,2189,-7.0,2025-12-29,sn2602,空单持仓,SN
5,东海期货,1819,-3.0,2025-12-29,sn2602,空单持仓,SN
6,广发期货,1678,-181.0,2025-12-29,sn2602,空单持仓,SN
7,中泰期货,1617,16.0,2025-12-29,sn2602,空单持仓,SN
8,永安期货,1574,219.0,2025-12-29,sn2602,空单持仓,SN
9,方正中期,1479,296.0,2025-12-29,sn2602,空单持仓,SN
10,海证期货,1303,118.0,2025-12-29,sn2602,空单持仓,SN
11,金瑞期货,1300,-145.0,2025-12-29,sn2602,空单持仓,SN
12,南华期货,1189,-61.0,2025-12-29,sn2602,空单持仓,SN
13,光大期货,1176,-7.0,2025-12-29,sn2602,空单持仓,SN
14,东吴期货,987,-566.0,2025-12-29,sn2602,空单持仓,SN
15,华泰期货,986,75.0,2025-12-29,sn2602,空单持仓,SN
16,五矿期货,932,-12.0,2025-12-29,sn2602,空单持仓,SN
17,中信建投,847,-212.0,2025-12-29,sn2602,空单持仓,SN
18,兴证期货,839,-145.0,2025-12-29,sn2602,空单持仓,SN
19,浙商期货,818,5.0,2025-12-29,sn2602,空单持仓,SN
20,瑞达期货,816,35.0,2025-12-29,sn2602,空单持仓,SN
1,中信期货,5529,780.0,2025-12-30,sn2602,空单持仓,SN
2,国泰君安,4427,-849.0,2025-12-30,sn2602,空单持仓,SN
3,银河期货,2370,-184.0,2025-12-30,sn2602,空单持仓,SN
4,东证期货,2206,17.0,2025-12-30,sn2602,空单持仓,SN
5,东海期货,1574,-245.0,2025-12-30,sn2602,空单持仓,SN
6,永安期货,1550,-24.0,2025-12-30,sn2602,空单持仓,SN
7,中泰期货,1548,-69.0,2025-12-30,sn2602,空单持仓,SN
8,广发期货,1320,-358.0,2025-12-30,sn2602,空单持仓,SN
9,南华期货,1192,3.0,2025-12-30,sn2602,空单持仓,SN
10,光大期货,1100,-76.0,2025-12-30,sn2602,空单持仓,SN
11,金瑞期货,1059,-241.0,2025-12-30,sn2602,空单持仓,SN
12,海证期货,1011,-292.0,2025-12-30,sn2602,空单持仓,SN
13,华泰期货,994,8.0,2025-12-30,sn2602,空单持仓,SN
14,五矿期货,927,-5.0,2025-12-30,sn2602,空单持仓,SN
15,方正中期,878,-601.0,2025-12-30,sn2602,空单持仓,SN
16,浙商期货,734,-84.0,2025-12-30,sn2602,空单持仓,SN
17,东吴期货,726,-261.0,2025-12-30,sn2602,空单持仓,SN
18,国联期货,674,-37.0,2025-12-30,sn2602,空单持仓,SN
19,新湖期货,546,-193.0,2025-12-30,sn2602,空单持仓,SN
20,申万期货,543,-67.0,2025-12-30,sn2602,空单持仓,SN
1,国泰君安,3657,-770.0,2025-12-31,sn2602,空单持仓,SN
