排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,84255,-22102.0,2025-12-25,sn2602,成交量,SN
2,中信期货,53734,-15075.0,2025-12-25,sn2602,成交量,SN
3,中泰期货,36283,425.0,2025-12-25,sn2602,成交量,SN
4,东证期货,30209,-12949.0,2025-12-25,sn2602,成交量,SN
5,海通期货,27752,-6657.0,2025-12-25,sn2602,成交量,SN
6,广发期货,22532,-11060.0,2025-12-25,sn2602,成交量,SN
7,华闻期货,21259,-8186.0,2025-12-25,sn2602,成交量,SN
8,银河期货,19294,-5759.0,2025-12-25,sn2602,成交量,SN
9,光大期货,17590,383.0,2025-12-25,sn2602,成交量,SN
10,华泰期货,17459,-2377.0,2025-12-25,sn2602,成交量,SN
11,浙商期货,10649,-3518.0,2025-12-25,sn2602,成交量,SN
12,徽商期货,10420,-3412.0,2025-12-25,sn2602,成交量,SN
13,申万期货,9174,-2925.0,2025-12-25,sn2602,成交量,SN
14,国信期货,8361,-1331.0,2025-12-25,sn2602,成交量,SN
15,方正中期,8351,-2540.0,2025-12-25,sn2602,成交量,SN
16,中信建投,8230,-1325.0,2025-12-25,sn2602,成交量,SN
17,宝城期货,7996,964.0,2025-12-25,sn2602,成交量,SN
18,东方财富,7628,131.0,2025-12-25,sn2602,成交量,SN
19,国投期货,6799,-1538.0,2025-12-25,sn2602,成交量,SN
20,兴证期货,6357,-3421.0,2025-12-25,sn2602,成交量,SN
1,国泰君安,98899,14644.0,2025-12-26,sn2602,成交量,SN
2,中信期货,64886,11152.0,2025-12-26,sn2602,成交量,SN
3,中泰期货,43241,6958.0,2025-12-26,sn2602,成交量,SN
4,东证期货,39563,9354.0,2025-12-26,sn2602,成交量,SN
5,广发期货,30719,8187.0,2025-12-26,sn2602,成交量,SN
6,海通期货,30690,2938.0,2025-12-26,sn2602,成交量,SN
7,华闻期货,30538,9279.0,2025-12-26,sn2602,成交量,SN
8,银河期货,24623,5329.0,2025-12-26,sn2602,成交量,SN
9,华泰期货,20637,3178.0,2025-12-26,sn2602,成交量,SN
10,光大期货,19241,1651.0,2025-12-26,sn2602,成交量,SN
11,徽商期货,13471,3051.0,2025-12-26,sn2602,成交量,SN
12,浙商期货,12148,1499.0,2025-12-26,sn2602,成交量,SN
13,国投期货,11722,4923.0,2025-12-26,sn2602,成交量,SN
14,申万期货,11621,2447.0,2025-12-26,sn2602,成交量,SN
15,中信建投,10552,2322.0,2025-12-26,sn2602,成交量,SN
16,瑞达期货,10450,4686.0,2025-12-26,sn2602,成交量,SN
17,国信期货,9841,1480.0,2025-12-26,sn2602,成交量,SN
18,方正中期,9790,1439.0,2025-12-26,sn2602,成交量,SN
19,东吴期货,9681,3459.0,2025-12-26,sn2602,成交量,SN
20,兴证期货,8705,2348.0,2025-12-26,sn2602,成交量,SN
