排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,21909,959.0,2025-12-25,sp2605,多单持仓,SP
2,国泰君安,21700,1992.0,2025-12-25,sp2605,多单持仓,SP
3,东证期货,10003,-460.0,2025-12-25,sp2605,多单持仓,SP
4,永安期货,9943,-184.0,2025-12-25,sp2605,多单持仓,SP
5,申万期货,6994,-293.0,2025-12-25,sp2605,多单持仓,SP
6,广发期货,6901,-235.0,2025-12-25,sp2605,多单持仓,SP
7,国投期货,6418,-475.0,2025-12-25,sp2605,多单持仓,SP
8,银河期货,6279,-288.0,2025-12-25,sp2605,多单持仓,SP
9,平安期货,5260,117.0,2025-12-25,sp2605,多单持仓,SP
10,光大期货,4725,129.0,2025-12-25,sp2605,多单持仓,SP
11,中信建投,4160,197.0,2025-12-25,sp2605,多单持仓,SP
12,华泰期货,3782,-1207.0,2025-12-25,sp2605,多单持仓,SP
13,国盛期货,3689,-30.0,2025-12-25,sp2605,多单持仓,SP
14,方正中期,3641,-59.0,2025-12-25,sp2605,多单持仓,SP
15,冠通期货,3367,12.0,2025-12-25,sp2605,多单持仓,SP
16,中财期货,3049,-46.0,2025-12-25,sp2605,多单持仓,SP
17,徽商期货,2999,-247.0,2025-12-25,sp2605,多单持仓,SP
18,盛达期货,2651,-38.0,2025-12-25,sp2605,多单持仓,SP
19,中融汇信,2577,-8.0,2025-12-25,sp2605,多单持仓,SP
20,兴证期货,2480,383.0,2025-12-25,sp2605,多单持仓,SP
1,中信期货,22984,1075.0,2025-12-26,sp2605,多单持仓,SP
2,国泰君安,20039,-1661.0,2025-12-26,sp2605,多单持仓,SP
3,东证期货,11177,1174.0,2025-12-26,sp2605,多单持仓,SP
4,永安期货,7701,-2242.0,2025-12-26,sp2605,多单持仓,SP
5,申万期货,7247,253.0,2025-12-26,sp2605,多单持仓,SP
6,广发期货,6663,-238.0,2025-12-26,sp2605,多单持仓,SP
7,国投期货,6375,-43.0,2025-12-26,sp2605,多单持仓,SP
8,银河期货,6209,-70.0,2025-12-26,sp2605,多单持仓,SP
9,光大期货,5121,396.0,2025-12-26,sp2605,多单持仓,SP
10,平安期货,4913,-347.0,2025-12-26,sp2605,多单持仓,SP
11,华泰期货,3866,84.0,2025-12-26,sp2605,多单持仓,SP
12,中信建投,3714,-446.0,2025-12-26,sp2605,多单持仓,SP
13,国盛期货,3666,-23.0,2025-12-26,sp2605,多单持仓,SP
14,冠通期货,3569,202.0,2025-12-26,sp2605,多单持仓,SP
15,中财期货,3537,488.0,2025-12-26,sp2605,多单持仓,SP
16,方正中期,3392,-249.0,2025-12-26,sp2605,多单持仓,SP
17,徽商期货,3332,333.0,2025-12-26,sp2605,多单持仓,SP
18,盛达期货,2605,-46.0,2025-12-26,sp2605,多单持仓,SP
19,中融汇信,2599,22.0,2025-12-26,sp2605,多单持仓,SP
20,海证期货,2588,385.0,2025-12-26,sp2605,多单持仓,SP
1,中信期货,23980,996.0,2025-12-29,sp2605,多单持仓,SP
2,国泰君安,22441,2402.0,2025-12-29,sp2605,多单持仓,SP
3,东证期货,11570,393.0,2025-12-29,sp2605,多单持仓,SP
4,申万期货,10723,3476.0,2025-12-29,sp2605,多单持仓,SP
5,银河期货,7508,1299.0,2025-12-29,sp2605,多单持仓,SP
6,永安期货,6747,-954.0,2025-12-29,sp2605,多单持仓,SP
7,广发期货,5974,-689.0,2025-12-29,sp2605,多单持仓,SP
8,光大期货,5226,105.0,2025-12-29,sp2605,多单持仓,SP
9,国投期货,5220,-1155.0,2025-12-29,sp2605,多单持仓,SP
10,华泰期货,4984,1118.0,2025-12-29,sp2605,多单持仓,SP
11,中信建投,4423,709.0,2025-12-29,sp2605,多单持仓,SP
12,平安期货,4175,-738.0,2025-12-29,sp2605,多单持仓,SP
13,冠通期货,4028,459.0,2025-12-29,sp2605,多单持仓,SP
14,国盛期货,3686,20.0,2025-12-29,sp2605,多单持仓,SP
15,中财期货,3241,-296.0,2025-12-29,sp2605,多单持仓,SP
16,方正中期,3203,-189.0,2025-12-29,sp2605,多单持仓,SP
17,徽商期货,3010,-322.0,2025-12-29,sp2605,多单持仓,SP
