排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,30895,1067.0,2025-12-25,sp2605,空单持仓,SP
2,中信期货,23014,48.0,2025-12-25,sp2605,空单持仓,SP
3,银河期货,12105,-147.0,2025-12-25,sp2605,空单持仓,SP
4,永安期货,11917,-363.0,2025-12-25,sp2605,空单持仓,SP
5,东证期货,11471,-307.0,2025-12-25,sp2605,空单持仓,SP
6,国贸期货,6952,-496.0,2025-12-25,sp2605,空单持仓,SP
7,瑞达期货,6728,-621.0,2025-12-25,sp2605,空单持仓,SP
8,大地期货,6595,52.0,2025-12-25,sp2605,空单持仓,SP
9,华泰期货,6271,206.0,2025-12-25,sp2605,空单持仓,SP
10,南华期货,5886,-425.0,2025-12-25,sp2605,空单持仓,SP
11,浙商期货,5642,55.0,2025-12-25,sp2605,空单持仓,SP
12,中粮期货,4667,-118.0,2025-12-25,sp2605,空单持仓,SP
13,国投期货,4521,-108.0,2025-12-25,sp2605,空单持仓,SP
14,港信期货,4452,1.0,2025-12-25,sp2605,空单持仓,SP
15,建信期货,3989,33.0,2025-12-25,sp2605,空单持仓,SP
16,中信建投,3479,59.0,2025-12-25,sp2605,空单持仓,SP
17,乾坤期货,3296,-3.0,2025-12-25,sp2605,空单持仓,SP
18,中金财富,3217,-468.0,2025-12-25,sp2605,空单持仓,SP
19,兴证期货,3133,-290.0,2025-12-25,sp2605,空单持仓,SP
20,东海期货,2715,-121.0,2025-12-25,sp2605,空单持仓,SP
1,国泰君安,31743,848.0,2025-12-26,sp2605,空单持仓,SP
2,中信期货,23135,121.0,2025-12-26,sp2605,空单持仓,SP
3,银河期货,12161,56.0,2025-12-26,sp2605,空单持仓,SP
4,永安期货,11519,-398.0,2025-12-26,sp2605,空单持仓,SP
5,东证期货,10096,-1375.0,2025-12-26,sp2605,空单持仓,SP
6,瑞达期货,7486,758.0,2025-12-26,sp2605,空单持仓,SP
7,国贸期货,6924,-28.0,2025-12-26,sp2605,空单持仓,SP
8,大地期货,6481,-114.0,2025-12-26,sp2605,空单持仓,SP
9,华泰期货,6231,-40.0,2025-12-26,sp2605,空单持仓,SP
