排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,183781,1043.0,2025-12-25,sp2605,成交量,SP
2,中信期货,66217,-15365.0,2025-12-25,sp2605,成交量,SP
3,东证期货,51821,-21281.0,2025-12-25,sp2605,成交量,SP
4,华闻期货,39032,-32147.0,2025-12-25,sp2605,成交量,SP
5,中泰期货,29172,13011.0,2025-12-25,sp2605,成交量,SP
6,海通期货,28499,-17127.0,2025-12-25,sp2605,成交量,SP
7,广发期货,22956,-16171.0,2025-12-25,sp2605,成交量,SP
8,南华期货,20503,-3476.0,2025-12-25,sp2605,成交量,SP
9,银河期货,16859,-6138.0,2025-12-25,sp2605,成交量,SP
10,申万期货,14773,-7401.0,2025-12-25,sp2605,成交量,SP
11,浙商期货,13127,-13032.0,2025-12-25,sp2605,成交量,SP
12,徽商期货,11759,-5960.0,2025-12-25,sp2605,成交量,SP
13,中信建投,11412,-7033.0,2025-12-25,sp2605,成交量,SP
14,国投期货,10617,-1417.0,2025-12-25,sp2605,成交量,SP
15,东吴期货,10405,-270.0,2025-12-25,sp2605,成交量,SP
16,五矿期货,9715,-3142.0,2025-12-25,sp2605,成交量,SP
17,东方财富,9406,-3430.0,2025-12-25,sp2605,成交量,SP
18,国信期货,9028,-2291.0,2025-12-25,sp2605,成交量,SP
19,华泰期货,8449,-4083.0,2025-12-25,sp2605,成交量,SP
20,方正中期,8164,-3416.0,2025-12-25,sp2605,成交量,SP
1,国泰君安,193023,9242.0,2025-12-26,sp2605,成交量,SP
2,中信期货,69768,3551.0,2025-12-26,sp2605,成交量,SP
3,东证期货,61105,9284.0,2025-12-26,sp2605,成交量,SP
4,华闻期货,38219,-813.0,2025-12-26,sp2605,成交量,SP
5,海通期货,26040,-2459.0,2025-12-26,sp2605,成交量,SP
6,广发期货,24028,1072.0,2025-12-26,sp2605,成交量,SP
7,中泰期货,19066,-10106.0,2025-12-26,sp2605,成交量,SP
8,南华期货,18679,-1824.0,2025-12-26,sp2605,成交量,SP
9,银河期货,17388,529.0,2025-12-26,sp2605,成交量,SP
10,申万期货,14478,-295.0,2025-12-26,sp2605,成交量,SP
11,中信建投,13478,2066.0,2025-12-26,sp2605,成交量,SP
12,浙商期货,12446,-681.0,2025-12-26,sp2605,成交量,SP
13,徽商期货,12107,348.0,2025-12-26,sp2605,成交量,SP
14,国投期货,9739,-878.0,2025-12-26,sp2605,成交量,SP
15,方正中期,9556,1392.0,2025-12-26,sp2605,成交量,SP
16,国信期货,8984,-44.0,2025-12-26,sp2605,成交量,SP
17,东方财富,8565,-841.0,2025-12-26,sp2605,成交量,SP
18,兴证期货,7591,-74.0,2025-12-26,sp2605,成交量,SP
19,宝城期货,7359,2359.0,2025-12-26,sp2605,成交量,SP
20,民生期货,7319,1324.0,2025-12-26,sp2605,成交量,SP
1,国泰君安,201956,8933.0,2025-12-29,sp2605,成交量,SP
2,中信期货,73290,3522.0,2025-12-29,sp2605,成交量,SP
3,东证期货,60110,-995.0,2025-12-29,sp2605,成交量,SP
4,华闻期货,36898,-1321.0,2025-12-29,sp2605,成交量,SP
5,海通期货,28973,2933.0,2025-12-29,sp2605,成交量,SP
6,广发期货,28072,4044.0,2025-12-29,sp2605,成交量,SP
7,中泰期货,27647,8581.0,2025-12-29,sp2605,成交量,SP
8,南华期货,23876,5197.0,2025-12-29,sp2605,成交量,SP
9,银河期货,19527,2139.0,2025-12-29,sp2605,成交量,SP
10,浙商期货,17754,5308.0,2025-12-29,sp2605,成交量,SP
11,华泰期货,11697,4619.0,2025-12-29,sp2605,成交量,SP
12,中信建投,11258,-2220.0,2025-12-29,sp2605,成交量,SP
13,徽商期货,10705,-1402.0,2025-12-29,sp2605,成交量,SP
14,国投期货,10061,322.0,2025-12-29,sp2605,成交量,SP
15,五矿期货,9059,1865.0,2025-12-29,sp2605,成交量,SP
16,国信期货,8564,-420.0,2025-12-29,sp2605,成交量,SP
17,申万期货,8223,-6255.0,2025-12-29,sp2605,成交量,SP
18,宝城期货,7827,468.0,2025-12-29,sp2605,成交量,SP
19,东方财富,7616,-949.0,2025-12-29,sp2605,成交量,SP
20,东吴期货,7321,466.0,2025-12-29,sp2605,成交量,SP
1,国泰君安,162733,-39223.0,2025-12-30,sp2605,成交量,SP
2,中信期货,55138,-18152.0,2025-12-30,sp2605,成交量,SP
