排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中粮期货,47375,429.0,2025-12-25,SR2605,多单持仓,SR
2,东证期货,32736,-957.0,2025-12-25,SR2605,多单持仓,SR
3,中信期货,32436,-3418.0,2025-12-25,SR2605,多单持仓,SR
4,银河期货,31712,273.0,2025-12-25,SR2605,多单持仓,SR
5,国泰君安,22300,1501.0,2025-12-25,SR2605,多单持仓,SR
6,华泰期货,19348,894.0,2025-12-25,SR2605,多单持仓,SR
7,国贸期货,16166,7.0,2025-12-25,SR2605,多单持仓,SR
8,创元期货,11876,930.0,2025-12-25,SR2605,多单持仓,SR
9,中信建投,11122,232.0,2025-12-25,SR2605,多单持仓,SR
10,海通期货,9549,281.0,2025-12-25,SR2605,多单持仓,SR
11,宏源期货,9253,-1155.0,2025-12-25,SR2605,多单持仓,SR
12,光大期货,8993,-650.0,2025-12-25,SR2605,多单持仓,SR
13,国信期货,8122,-689.0,2025-12-25,SR2605,多单持仓,SR
14,平安期货,7514,821.0,2025-12-25,SR2605,多单持仓,SR
15,西部期货,7260,2933.0,2025-12-25,SR2605,多单持仓,SR
16,融达期货,6573,-324.0,2025-12-25,SR2605,多单持仓,SR
17,永安期货,6323,138.0,2025-12-25,SR2605,多单持仓,SR
18,申银万国,6015,-32.0,2025-12-25,SR2605,多单持仓,SR
19,国投期货,5816,-1183.0,2025-12-25,SR2605,多单持仓,SR
20,广发期货,5747,20.0,2025-12-25,SR2605,多单持仓,SR
1,中粮期货,45963,-1412.0,2025-12-26,SR2605,多单持仓,SR
2,中信期货,33849,1413.0,2025-12-26,SR2605,多单持仓,SR
3,东证期货,31149,-1587.0,2025-12-26,SR2605,多单持仓,SR
4,银河期货,31049,-663.0,2025-12-26,SR2605,多单持仓,SR
5,国泰君安,21218,-1082.0,2025-12-26,SR2605,多单持仓,SR
6,华泰期货,19353,5.0,2025-12-26,SR2605,多单持仓,SR
7,国贸期货,16721,555.0,2025-12-26,SR2605,多单持仓,SR
8,创元期货,11977,101.0,2025-12-26,SR2605,多单持仓,SR
9,中信建投,11212,90.0,2025-12-26,SR2605,多单持仓,SR
10,国信期货,9863,1741.0,2025-12-26,SR2605,多单持仓,SR
11,海通期货,9291,-258.0,2025-12-26,SR2605,多单持仓,SR
12,宏源期货,8880,-373.0,2025-12-26,SR2605,多单持仓,SR
13,光大期货,8735,-258.0,2025-12-26,SR2605,多单持仓,SR
14,平安期货,7547,33.0,2025-12-26,SR2605,多单持仓,SR
15,西部期货,7267,7.0,2025-12-26,SR2605,多单持仓,SR
16,中辉期货,6958,1291.0,2025-12-26,SR2605,多单持仓,SR
17,广发期货,5902,155.0,2025-12-26,SR2605,多单持仓,SR
18,民生期货,5646,221.0,2025-12-26,SR2605,多单持仓,SR
19,永安期货,5570,-753.0,2025-12-26,SR2605,多单持仓,SR
20,海证期货,5304,745.0,2025-12-26,SR2605,多单持仓,SR
1,中粮期货,43652,-2311.0,2025-12-29,SR2605,多单持仓,SR
2,中信期货,35724,1875.0,2025-12-29,SR2605,多单持仓,SR
3,东证期货,35676,4527.0,2025-12-29,SR2605,多单持仓,SR
4,银河期货,31686,637.0,2025-12-29,SR2605,多单持仓,SR
5,国泰君安,21116,-102.0,2025-12-29,SR2605,多单持仓,SR
6,华泰期货,18600,-753.0,2025-12-29,SR2605,多单持仓,SR
7,国贸期货,16731,10.0,2025-12-29,SR2605,多单持仓,SR
8,创元期货,10282,-1695.0,2025-12-29,SR2605,多单持仓,SR
9,海通期货,9218,-73.0,2025-12-29,SR2605,多单持仓,SR
10,光大期货,8971,236.0,2025-12-29,SR2605,多单持仓,SR
11,宏源期货,8856,-24.0,2025-12-29,SR2605,多单持仓,SR
12,中信建投,8593,-2619.0,2025-12-29,SR2605,多单持仓,SR
13,国信期货,8423,-1440.0,2025-12-29,SR2605,多单持仓,SR
14,西部期货,7528,261.0,2025-12-29,SR2605,多单持仓,SR
15,平安期货,6548,-999.0,2025-12-29,SR2605,多单持仓,SR
16,广发期货,5962,60.0,2025-12-29,SR2605,多单持仓,SR
17,民生期货,5797,151.0,2025-12-29,SR2605,多单持仓,SR
18,永安期货,5590,20.0,2025-12-29,SR2605,多单持仓,SR
19,中辉期货,5465,-1493.0,2025-12-29,SR2605,多单持仓,SR
20,海证期货,5190,-114.0,2025-12-29,SR2605,多单持仓,SR
1,中粮期货,44030,378.0,2025-12-30,SR2605,多单持仓,SR
2,东证期货,36023,347.0,2025-12-30,SR2605,多单持仓,SR
3,中信期货,33129,-2595.0,2025-12-30,SR2605,多单持仓,SR
4,银河期货,31595,-91.0,2025-12-30,SR2605,多单持仓,SR
5,国泰君安,20889,-227.0,2025-12-30,SR2605,多单持仓,SR
6,华泰期货,18516,-84.0,2025-12-30,SR2605,多单持仓,SR
7,国贸期货,16774,43.0,2025-12-30,SR2605,多单持仓,SR
8,中信建投,10374,1781.0,2025-12-30,SR2605,多单持仓,SR
9,创元期货,10312,30.0,2025-12-30,SR2605,多单持仓,SR
10,海通期货,8875,-343.0,2025-12-30,SR2605,多单持仓,SR
11,宏源期货,8671,-185.0,2025-12-30,SR2605,多单持仓,SR
12,光大期货,8418,-553.0,2025-12-30,SR2605,多单持仓,SR
13,西部期货,7530,2.0,2025-12-30,SR2605,多单持仓,SR
14,平安期货,6390,-158.0,2025-12-30,SR2605,多单持仓,SR
