排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,11755,-30.0,2025-12-25,ss2602,多单持仓,SS
2,国泰君安,9429,16.0,2025-12-25,ss2602,多单持仓,SS
3,东证期货,8500,-2.0,2025-12-25,ss2602,多单持仓,SS
4,平安期货,4216,-230.0,2025-12-25,ss2602,多单持仓,SS
5,中泰期货,3503,166.0,2025-12-25,ss2602,多单持仓,SS
6,银河期货,3408,-27.0,2025-12-25,ss2602,多单持仓,SS
7,华泰期货,3226,-417.0,2025-12-25,ss2602,多单持仓,SS
8,建信期货,3015,-253.0,2025-12-25,ss2602,多单持仓,SS
9,中金财富,2691,-1045.0,2025-12-25,ss2602,多单持仓,SS
10,华源期货,2182,-54.0,2025-12-25,ss2602,多单持仓,SS
11,南华期货,2011,-1.0,2025-12-25,ss2602,多单持仓,SS
12,永安期货,1919,12.0,2025-12-25,ss2602,多单持仓,SS
13,广发期货,1800,-220.0,2025-12-25,ss2602,多单持仓,SS
14,方正中期,1745,98.0,2025-12-25,ss2602,多单持仓,SS
15,国投期货,1645,-1.0,2025-12-25,ss2602,多单持仓,SS
16,海通期货,1416,-167.0,2025-12-25,ss2602,多单持仓,SS
17,国元期货,1341,73.0,2025-12-25,ss2602,多单持仓,SS
18,申万期货,1290,341.0,2025-12-25,ss2602,多单持仓,SS
19,中融汇信,1257,-29.0,2025-12-25,ss2602,多单持仓,SS
20,创元期货,1242,-328.0,2025-12-25,ss2602,多单持仓,SS
1,中信期货,10744,-1011.0,2025-12-26,ss2602,多单持仓,SS
2,国泰君安,8910,-519.0,2025-12-26,ss2602,多单持仓,SS
3,东证期货,7478,-1022.0,2025-12-26,ss2602,多单持仓,SS
4,中泰期货,3611,108.0,2025-12-26,ss2602,多单持仓,SS
5,华泰期货,3312,86.0,2025-12-26,ss2602,多单持仓,SS
6,平安期货,3255,-961.0,2025-12-26,ss2602,多单持仓,SS
7,银河期货,2972,-436.0,2025-12-26,ss2602,多单持仓,SS
8,中金财富,2436,-255.0,2025-12-26,ss2602,多单持仓,SS
9,南华期货,1915,-96.0,2025-12-26,ss2602,多单持仓,SS
10,广发期货,1909,109.0,2025-12-26,ss2602,多单持仓,SS
11,永安期货,1803,-116.0,2025-12-26,ss2602,多单持仓,SS
12,国投期货,1685,40.0,2025-12-26,ss2602,多单持仓,SS
13,建信期货,1662,-1353.0,2025-12-26,ss2602,多单持仓,SS
14,方正中期,1590,-155.0,2025-12-26,ss2602,多单持仓,SS
15,申万期货,1251,-39.0,2025-12-26,ss2602,多单持仓,SS
16,创元期货,1236,-6.0,2025-12-26,ss2602,多单持仓,SS
17,海通期货,1184,-232.0,2025-12-26,ss2602,多单持仓,SS
18,中融汇信,1155,-102.0,2025-12-26,ss2602,多单持仓,SS
19,国联期货,1113,-61.0,2025-12-26,ss2602,多单持仓,SS
20,国信期货,1094,-17.0,2025-12-26,ss2602,多单持仓,SS
1,中信期货,9453,-1291.0,2025-12-29,ss2602,多单持仓,SS
2,国泰君安,7507,-1403.0,2025-12-29,ss2602,多单持仓,SS
3,东证期货,6924,-554.0,2025-12-29,ss2602,多单持仓,SS
4,中泰期货,3687,76.0,2025-12-29,ss2602,多单持仓,SS
5,平安期货,3025,-230.0,2025-12-29,ss2602,多单持仓,SS
6,华泰期货,2651,-661.0,2025-12-29,ss2602,多单持仓,SS
7,银河期货,2449,-523.0,2025-12-29,ss2602,多单持仓,SS
8,南华期货,1926,11.0,2025-12-29,ss2602,多单持仓,SS
9,中金财富,1822,-614.0,2025-12-29,ss2602,多单持仓,SS
10,广发期货,1756,-153.0,2025-12-29,ss2602,多单持仓,SS
11,建信期货,1664,2.0,2025-12-29,ss2602,多单持仓,SS
12,永安期货,1650,-153.0,2025-12-29,ss2602,多单持仓,SS
13,方正中期,1485,-105.0,2025-12-29,ss2602,多单持仓,SS
14,创元期货,1467,231.0,2025-12-29,ss2602,多单持仓,SS
15,新湖期货,1360,386.0,2025-12-29,ss2602,多单持仓,SS
16,海通期货,1318,134.0,2025-12-29,ss2602,多单持仓,SS
17,国投期货,1247,-438.0,2025-12-29,ss2602,多单持仓,SS
18,中融汇信,1132,-23.0,2025-12-29,ss2602,多单持仓,SS
19,招商期货,1056,-35.0,2025-12-29,ss2602,多单持仓,SS
20,国元期货,1036,-57.0,2025-12-29,ss2602,多单持仓,SS
1,中信期货,9390,-63.0,2025-12-30,ss2602,多单持仓,SS
2,国泰君安,8862,1355.0,2025-12-30,ss2602,多单持仓,SS
3,东证期货,8113,1189.0,2025-12-30,ss2602,多单持仓,SS
4,华泰期货,4256,1605.0,2025-12-30,ss2602,多单持仓,SS
5,平安期货,3163,138.0,2025-12-30,ss2602,多单持仓,SS
6,中泰期货,2940,-747.0,2025-12-30,ss2602,多单持仓,SS
7,银河期货,2501,52.0,2025-12-30,ss2602,多单持仓,SS
8,创元期货,1953,486.0,2025-12-30,ss2602,多单持仓,SS
9,南华期货,1941,15.0,2025-12-30,ss2602,多单持仓,SS
10,永安期货,1772,122.0,2025-12-30,ss2602,多单持仓,SS
11,中金财富,1754,-68.0,2025-12-30,ss2602,多单持仓,SS
12,建信期货,1671,7.0,2025-12-30,ss2602,多单持仓,SS
13,华闻期货,1605,589.0,2025-12-30,ss2602,多单持仓,SS
14,广发期货,1524,-232.0,2025-12-30,ss2602,多单持仓,SS
15,方正中期,1496,11.0,2025-12-30,ss2602,多单持仓,SS
16,海通期货,1448,130.0,2025-12-30,ss2602,多单持仓,SS
17,新湖期货,1341,-19.0,2025-12-30,ss2602,多单持仓,SS
18,国投期货,1152,-95.0,2025-12-30,ss2602,多单持仓,SS
19,国元期货,1136,100.0,2025-12-30,ss2602,多单持仓,SS
20,招商期货,1120,64.0,2025-12-30,ss2602,多单持仓,SS
1,中信期货,7934,-1456.0,2025-12-31,ss2602,多单持仓,SS
2,东证期货,7709,-404.0,2025-12-31,ss2602,多单持仓,SS
3,国泰君安,5983,-2879.0,2025-12-31,ss2602,多单持仓,SS
4,华泰期货,3298,-958.0,2025-12-31,ss2602,多单持仓,SS
5,平安期货,3111,-52.0,2025-12-31,ss2602,多单持仓,SS
6,南华期货,1933,-8.0,2025-12-31,ss2602,多单持仓,SS
7,创元期货,1820,-133.0,2025-12-31,ss2602,多单持仓,SS
8,银河期货,1771,-730.0,2025-12-31,ss2602,多单持仓,SS
9,永安期货,1673,-99.0,2025-12-31,ss2602,多单持仓,SS
10,建信期货,1656,-15.0,2025-12-31,ss2602,多单持仓,SS
11,中金财富,1429,-325.0,2025-12-31,ss2602,多单持仓,SS
12,方正中期,1369,-127.0,2025-12-31,ss2602,多单持仓,SS
13,国联期货,1324,352.0,2025-12-31,ss2602,多单持仓,SS
14,新湖期货,1317,-24.0,2025-12-31,ss2602,多单持仓,SS
15,广发期货,1304,-220.0,2025-12-31,ss2602,多单持仓,SS
16,华闻期货,1199,-406.0,2025-12-31,ss2602,多单持仓,SS
17,中泰期货,1199,-1741.0,2025-12-31,ss2602,多单持仓,SS
18,国元期货,1053,-83.0,2025-12-31,ss2602,多单持仓,SS
19,海通期货,1023,-425.0,2025-12-31,ss2602,多单持仓,SS
20,招商期货,1021,-99.0,2025-12-31,ss2602,多单持仓,SS
