排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,56368,-41313.0,2025-12-25,ss2602,成交量,SS
2,东证期货,55987,-24281.0,2025-12-25,ss2602,成交量,SS
3,华泰期货,30067,-12054.0,2025-12-25,ss2602,成交量,SS
4,中信期货,28963,-16599.0,2025-12-25,ss2602,成交量,SS
5,浙商期货,17337,-6028.0,2025-12-25,ss2602,成交量,SS
6,华闻期货,13437,-5554.0,2025-12-25,ss2602,成交量,SS
7,海通期货,13340,-12107.0,2025-12-25,ss2602,成交量,SS
8,中泰期货,13335,-7946.0,2025-12-25,ss2602,成交量,SS
9,银河期货,6303,-2869.0,2025-12-25,ss2602,成交量,SS
10,广发期货,4968,-19.0,2025-12-25,ss2602,成交量,SS
11,国联期货,4358,315.0,2025-12-25,ss2602,成交量,SS
12,中金财富,3492,1226.0,2025-12-25,ss2602,成交量,SS
13,东方财富,3347,-1187.0,2025-12-25,ss2602,成交量,SS
14,中信建投,3072,-703.0,2025-12-25,ss2602,成交量,SS
15,申万期货,2871,-2722.0,2025-12-25,ss2602,成交量,SS
16,国信期货,2666,-413.0,2025-12-25,ss2602,成交量,SS
17,平安期货,2503,360.0,2025-12-25,ss2602,成交量,SS
18,创元期货,2352,-670.0,2025-12-25,ss2602,成交量,SS
19,招商期货,2351,-1445.0,2025-12-25,ss2602,成交量,SS
20,永安期货,2223,-2334.0,2025-12-25,ss2602,成交量,SS
1,国泰君安,58248,1880.0,2025-12-26,ss2602,成交量,SS
2,东证期货,47230,-8757.0,2025-12-26,ss2602,成交量,SS
3,华泰期货,24173,-5894.0,2025-12-26,ss2602,成交量,SS
4,中信期货,19496,-9467.0,2025-12-26,ss2602,成交量,SS
5,浙商期货,13396,-3941.0,2025-12-26,ss2602,成交量,SS
6,华闻期货,10419,-3018.0,2025-12-26,ss2602,成交量,SS
7,海通期货,9139,-4201.0,2025-12-26,ss2602,成交量,SS
8,中泰期货,8984,-4351.0,2025-12-26,ss2602,成交量,SS
9,银河期货,5840,-463.0,2025-12-26,ss2602,成交量,SS
10,永安期货,4082,1859.0,2025-12-26,ss2602,成交量,SS
11,申万期货,2532,-339.0,2025-12-26,ss2602,成交量,SS
12,东方财富,2511,-836.0,2025-12-26,ss2602,成交量,SS
13,平安期货,2353,-150.0,2025-12-26,ss2602,成交量,SS
14,国联期货,2334,-2024.0,2025-12-26,ss2602,成交量,SS
15,广发期货,2120,-2848.0,2025-12-26,ss2602,成交量,SS
16,光大期货,1986,44.0,2025-12-26,ss2602,成交量,SS
17,中粮期货,1929,126.0,2025-12-26,ss2602,成交量,SS
18,乾坤期货,1867,1232.0,2025-12-26,ss2602,成交量,SS
19,中信建投,1524,-1548.0,2025-12-26,ss2602,成交量,SS
20,南华期货,1485,147.0,2025-12-26,ss2602,成交量,SS
1,国泰君安,64373,6125.0,2025-12-29,ss2602,成交量,SS
2,东证期货,49545,2315.0,2025-12-29,ss2602,成交量,SS
3,华泰期货,31417,7244.0,2025-12-29,ss2602,成交量,SS
4,中信期货,30604,11108.0,2025-12-29,ss2602,成交量,SS
5,浙商期货,30046,16650.0,2025-12-29,ss2602,成交量,SS
6,中泰期货,16410,7426.0,2025-12-29,ss2602,成交量,SS
7,海通期货,12868,3729.0,2025-12-29,ss2602,成交量,SS
8,华闻期货,12467,2048.0,2025-12-29,ss2602,成交量,SS
9,银河期货,7497,1657.0,2025-12-29,ss2602,成交量,SS
10,永安期货,4082,0.0,2025-12-29,ss2602,成交量,SS
11,国联期货,3840,1506.0,2025-12-29,ss2602,成交量,SS
12,国信期货,3803,2505.0,2025-12-29,ss2602,成交量,SS
13,东方财富,3198,687.0,2025-12-29,ss2602,成交量,SS
14,乾坤期货,3124,1257.0,2025-12-29,ss2602,成交量,SS
15,申万期货,3034,502.0,2025-12-29,ss2602,成交量,SS
16,中信建投,2327,803.0,2025-12-29,ss2602,成交量,SS
17,宝城期货,2225,1223.0,2025-12-29,ss2602,成交量,SS
18,东亚期货,2224,897.0,2025-12-29,ss2602,成交量,SS
19,广发期货,2169,49.0,2025-12-29,ss2602,成交量,SS
20,徽商期货,2020,1104.0,2025-12-29,ss2602,成交量,SS
1,国泰君安,91038,26665.0,2025-12-30,ss2602,成交量,SS
2,东证期货,59974,10429.0,2025-12-30,ss2602,成交量,SS
3,华泰期货,29897,-1520.0,2025-12-30,ss2602,成交量,SS
4,中信期货,25480,-5124.0,2025-12-30,ss2602,成交量,SS
5,海通期货,16537,3669.0,2025-12-30,ss2602,成交量,SS
6,华闻期货,14115,1648.0,2025-12-30,ss2602,成交量,SS
7,中泰期货,9765,-6645.0,2025-12-30,ss2602,成交量,SS
8,银河期货,9473,1976.0,2025-12-30,ss2602,成交量,SS
9,国联期货,4845,1005.0,2025-12-30,ss2602,成交量,SS
10,东方财富,3779,581.0,2025-12-30,ss2602,成交量,SS
11,建信期货,3735,3165.0,2025-12-30,ss2602,成交量,SS
12,申万期货,3546,512.0,2025-12-30,ss2602,成交量,SS
13,招商期货,3535,2570.0,2025-12-30,ss2602,成交量,SS
14,国信期货,3332,-471.0,2025-12-30,ss2602,成交量,SS
15,广发期货,3260,1091.0,2025-12-30,ss2602,成交量,SS
16,永安期货,3193,-889.0,2025-12-30,ss2602,成交量,SS
17,东吴期货,3119,2190.0,2025-12-30,ss2602,成交量,SS
18,浙商期货,2893,-27153.0,2025-12-30,ss2602,成交量,SS
19,海证期货,2693,1755.0,2025-12-30,ss2602,成交量,SS
20,国投期货,2548,706.0,2025-12-30,ss2602,成交量,SS
1,国泰君安,73412,-17626.0,2025-12-31,ss2602,成交量,SS
2,东证期货,53948,-6026.0,2025-12-31,ss2602,成交量,SS
3,华泰期货,29378,-519.0,2025-12-31,ss2602,成交量,SS
4,中信期货,25957,477.0,2025-12-31,ss2602,成交量,SS
5,海通期货,14324,-2213.0,2025-12-31,ss2602,成交量,SS
6,华闻期货,12032,-2083.0,2025-12-31,ss2602,成交量,SS
7,中泰期货,8709,-1056.0,2025-12-31,ss2602,成交量,SS
8,银河期货,5507,-3966.0,2025-12-31,ss2602,成交量,SS
9,东方财富,3685,-94.0,2025-12-31,ss2602,成交量,SS
10,浙商期货,3544,651.0,2025-12-31,ss2602,成交量,SS
11,永安期货,3121,-72.0,2025-12-31,ss2602,成交量,SS
12,平安期货,2499,826.0,2025-12-31,ss2602,成交量,SS
13,建信期货,2494,-1241.0,2025-12-31,ss2602,成交量,SS
14,国联期货,2338,-2507.0,2025-12-31,ss2602,成交量,SS
15,国信期货,2156,-1176.0,2025-12-31,ss2602,成交量,SS
16,中信建投,2117,-50.0,2025-12-31,ss2602,成交量,SS
17,申万期货,2020,-1526.0,2025-12-31,ss2602,成交量,SS
18,广发期货,1996,-1264.0,2025-12-31,ss2602,成交量,SS
19,东亚期货,1782,-171.0,2025-12-31,ss2602,成交量,SS
20,方正中期,1474,-804.0,2025-12-31,ss2602,成交量,SS
