排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,174020,11170.0,2025-12-25,TA2605,空单持仓,TA
2,中信期货,102830,-7307.0,2025-12-25,TA2605,空单持仓,TA
3,东证期货,93814,-7681.0,2025-12-25,TA2605,空单持仓,TA
4,南华期货,52636,96.0,2025-12-25,TA2605,空单持仓,TA
5,银河期货,45791,1659.0,2025-12-25,TA2605,空单持仓,TA
6,建信期货,43389,4350.0,2025-12-25,TA2605,空单持仓,TA
7,浙商期货,42038,12769.0,2025-12-25,TA2605,空单持仓,TA
8,华泰期货,38794,-2080.0,2025-12-25,TA2605,空单持仓,TA
9,东吴期货,34121,6170.0,2025-12-25,TA2605,空单持仓,TA
10,盛达期货,32830,272.0,2025-12-25,TA2605,空单持仓,TA
11,国贸期货,32586,-989.0,2025-12-25,TA2605,空单持仓,TA
12,永安期货,32107,-163.0,2025-12-25,TA2605,空单持仓,TA
13,紫金天风,30729,1905.0,2025-12-25,TA2605,空单持仓,TA
14,光大期货,28752,1884.0,2025-12-25,TA2605,空单持仓,TA
15,华安期货,26535,6080.0,2025-12-25,TA2605,空单持仓,TA
16,广发期货,23520,2910.0,2025-12-25,TA2605,空单持仓,TA
17,恒力期货,23071,1302.0,2025-12-25,TA2605,空单持仓,TA
18,东海期货,22068,1649.0,2025-12-25,TA2605,空单持仓,TA
19,中信建投,21893,365.0,2025-12-25,TA2605,空单持仓,TA
20,宝城期货,21501,15108.0,2025-12-25,TA2605,空单持仓,TA
1,国泰君安,182012,7992.0,2025-12-26,TA2605,空单持仓,TA
2,中信期货,107001,4171.0,2025-12-26,TA2605,空单持仓,TA
3,东证期货,101702,7888.0,2025-12-26,TA2605,空单持仓,TA
4,南华期货,54189,1553.0,2025-12-26,TA2605,空单持仓,TA
5,建信期货,50195,6806.0,2025-12-26,TA2605,空单持仓,TA
6,国贸期货,49932,17346.0,2025-12-26,TA2605,空单持仓,TA
7,浙商期货,47435,5397.0,2025-12-26,TA2605,空单持仓,TA
8,银河期货,47046,1255.0,2025-12-26,TA2605,空单持仓,TA
9,宝城期货,44355,22854.0,2025-12-26,TA2605,空单持仓,TA
10,东吴期货,40246,6125.0,2025-12-26,TA2605,空单持仓,TA
11,华泰期货,39352,558.0,2025-12-26,TA2605,空单持仓,TA
12,盛达期货,31333,-1497.0,2025-12-26,TA2605,空单持仓,TA
13,永安期货,31074,-1033.0,2025-12-26,TA2605,空单持仓,TA
14,光大期货,29527,775.0,2025-12-26,TA2605,空单持仓,TA
15,紫金天风,27574,-3155.0,2025-12-26,TA2605,空单持仓,TA
16,恒力期货,27498,4427.0,2025-12-26,TA2605,空单持仓,TA
17,华安期货,26391,-144.0,2025-12-26,TA2605,空单持仓,TA
18,东海期货,24750,2682.0,2025-12-26,TA2605,空单持仓,TA
19,中信建投,22327,434.0,2025-12-26,TA2605,空单持仓,TA
20,广发期货,20591,-2929.0,2025-12-26,TA2605,空单持仓,TA
1,国泰君安,190715,8703.0,2025-12-29,TA2605,空单持仓,TA
2,中信期货,104813,-2188.0,2025-12-29,TA2605,空单持仓,TA
3,东证期货,88200,-13502.0,2025-12-29,TA2605,空单持仓,TA
4,银河期货,57320,10274.0,2025-12-29,TA2605,空单持仓,TA
5,南华期货,56305,2116.0,2025-12-29,TA2605,空单持仓,TA
6,浙商期货,50675,3240.0,2025-12-29,TA2605,空单持仓,TA
7,国贸期货,48130,-1802.0,2025-12-29,TA2605,空单持仓,TA
8,建信期货,42485,-7710.0,2025-12-29,TA2605,空单持仓,TA
9,永安期货,40810,9736.0,2025-12-29,TA2605,空单持仓,TA
10,东吴期货,35930,-4316.0,2025-12-29,TA2605,空单持仓,TA
11,华泰期货,32241,-7111.0,2025-12-29,TA2605,空单持仓,TA
12,光大期货,26713,-2814.0,2025-12-29,TA2605,空单持仓,TA
13,盛达期货,26342,-4991.0,2025-12-29,TA2605,空单持仓,TA
14,恒力期货,26045,-1453.0,2025-12-29,TA2605,空单持仓,TA
15,紫金天风,25658,-1916.0,2025-12-29,TA2605,空单持仓,TA
16,宝城期货,24522,-19833.0,2025-12-29,TA2605,空单持仓,TA
17,华安期货,23463,-2928.0,2025-12-29,TA2605,空单持仓,TA
18,东海期货,22198,-2552.0,2025-12-29,TA2605,空单持仓,TA
19,中信建投,22195,-132.0,2025-12-29,TA2605,空单持仓,TA
20,大越期货,20978,2032.0,2025-12-29,TA2605,空单持仓,TA
1,国泰君安,193478,2763.0,2025-12-30,TA2605,空单持仓,TA
2,东证期货,89514,1314.0,2025-12-30,TA2605,空单持仓,TA
3,中信期货,88408,-16405.0,2025-12-30,TA2605,空单持仓,TA
4,银河期货,59337,2017.0,2025-12-30,TA2605,空单持仓,TA
5,南华期货,58174,1869.0,2025-12-30,TA2605,空单持仓,TA
6,浙商期货,50291,-384.0,2025-12-30,TA2605,空单持仓,TA
7,国贸期货,47472,-658.0,2025-12-30,TA2605,空单持仓,TA
8,建信期货,46263,3778.0,2025-12-30,TA2605,空单持仓,TA
9,永安期货,41441,631.0,2025-12-30,TA2605,空单持仓,TA
10,东吴期货,38055,2125.0,2025-12-30,TA2605,空单持仓,TA
11,华泰期货,37641,5400.0,2025-12-30,TA2605,空单持仓,TA
12,恒力期货,32881,6836.0,2025-12-30,TA2605,空单持仓,TA
13,宝城期货,28818,4296.0,2025-12-30,TA2605,空单持仓,TA
14,光大期货,27730,1017.0,2025-12-30,TA2605,空单持仓,TA
15,盛达期货,26431,89.0,2025-12-30,TA2605,空单持仓,TA
16,紫金天风,25547,-111.0,2025-12-30,TA2605,空单持仓,TA
17,华安期货,23565,102.0,2025-12-30,TA2605,空单持仓,TA
18,东海期货,22956,758.0,2025-12-30,TA2605,空单持仓,TA
19,中信建投,21622,-573.0,2025-12-30,TA2605,空单持仓,TA
20,大越期货,21282,304.0,2025-12-30,TA2605,空单持仓,TA
1,国泰君安,195779,2301.0,2025-12-31,TA2605,空单持仓,TA
2,东证期货,91523,2009.0,2025-12-31,TA2605,空单持仓,TA
3,中信期货,90140,1732.0,2025-12-31,TA2605,空单持仓,TA
4,南华期货,57309,-865.0,2025-12-31,TA2605,空单持仓,TA
5,银河期货,55842,-3495.0,2025-12-31,TA2605,空单持仓,TA
6,国贸期货,54851,7379.0,2025-12-31,TA2605,空单持仓,TA
7,浙商期货,50768,477.0,2025-12-31,TA2605,空单持仓,TA
8,建信期货,49678,3415.0,2025-12-31,TA2605,空单持仓,TA
9,华泰期货,37550,-91.0,2025-12-31,TA2605,空单持仓,TA
10,东吴期货,37390,-665.0,2025-12-31,TA2605,空单持仓,TA
11,恒力期货,34585,1704.0,2025-12-31,TA2605,空单持仓,TA
12,永安期货,30920,-10521.0,2025-12-31,TA2605,空单持仓,TA
13,宝城期货,28733,-85.0,2025-12-31,TA2605,空单持仓,TA
14,紫金天风,25853,306.0,2025-12-31,TA2605,空单持仓,TA
15,光大期货,24844,-2886.0,2025-12-31,TA2605,空单持仓,TA
16,东海期货,24793,1837.0,2025-12-31,TA2605,空单持仓,TA
17,盛达期货,21292,-5139.0,2025-12-31,TA2605,空单持仓,TA
18,大越期货,20984,-298.0,2025-12-31,TA2605,空单持仓,TA
19,中信建投,20936,-686.0,2025-12-31,TA2605,空单持仓,TA
20,华安期货,20483,-3082.0,2025-12-31,TA2605,空单持仓,TA
