排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,24307,-18989.0,2025-12-25,UR2605,成交量,UR
2,东证期货,17329,-18132.0,2025-12-25,UR2605,成交量,UR
3,国泰君安,13917,-9908.0,2025-12-25,UR2605,成交量,UR
4,银河期货,13609,1930.0,2025-12-25,UR2605,成交量,UR
5,中泰期货,11695,-4189.0,2025-12-25,UR2605,成交量,UR
6,华闻期货,10915,-4646.0,2025-12-25,UR2605,成交量,UR
7,光大期货,7834,-1879.0,2025-12-25,UR2605,成交量,UR
8,南华期货,6977,-5023.0,2025-12-25,UR2605,成交量,UR
9,浙商期货,6220,460.0,2025-12-25,UR2605,成交量,UR
10,徽商期货,5035,-3167.0,2025-12-25,UR2605,成交量,UR
11,华泰期货,4291,-2207.0,2025-12-25,UR2605,成交量,UR
12,广发期货,3834,-1336.0,2025-12-25,UR2605,成交量,UR
13,五矿期货,3826,-91.0,2025-12-25,UR2605,成交量,UR
14,永安期货,3621,-699.0,2025-12-25,UR2605,成交量,UR
15,国信期货,3342,-147.0,2025-12-25,UR2605,成交量,UR
16,中信建投,3155,-2307.0,2025-12-25,UR2605,成交量,UR
17,西南期货,3090,759.0,2025-12-25,UR2605,成交量,UR
18,宏源期货,3077,-3188.0,2025-12-25,UR2605,成交量,UR
19,齐盛期货,3030,269.0,2025-12-25,UR2605,成交量,UR
20,新湖期货,2737,-1681.0,2025-12-25,UR2605,成交量,UR
1,中信期货,26714,2407.0,2025-12-26,UR2605,成交量,UR
2,东证期货,19805,2476.0,2025-12-26,UR2605,成交量,UR
3,国泰君安,15725,1808.0,2025-12-26,UR2605,成交量,UR
4,银河期货,12372,-1237.0,2025-12-26,UR2605,成交量,UR
5,中泰期货,10504,-1191.0,2025-12-26,UR2605,成交量,UR
6,光大期货,9770,1936.0,2025-12-26,UR2605,成交量,UR
7,华闻期货,8492,-2423.0,2025-12-26,UR2605,成交量,UR
8,南华期货,7671,694.0,2025-12-26,UR2605,成交量,UR
9,五矿期货,4648,822.0,2025-12-26,UR2605,成交量,UR
10,广发期货,4133,299.0,2025-12-26,UR2605,成交量,UR
11,华泰期货,4046,-245.0,2025-12-26,UR2605,成交量,UR
12,浙商期货,3946,-2274.0,2025-12-26,UR2605,成交量,UR
13,中信建投,3376,221.0,2025-12-26,UR2605,成交量,UR
14,齐盛期货,3106,76.0,2025-12-26,UR2605,成交量,UR
15,宏源期货,3077,0.0,2025-12-26,UR2605,成交量,UR
16,徽商期货,2874,-2161.0,2025-12-26,UR2605,成交量,UR
17,国信期货,2520,-822.0,2025-12-26,UR2605,成交量,UR
18,永安期货,2260,-1361.0,2025-12-26,UR2605,成交量,UR
19,中财期货,2132,-210.0,2025-12-26,UR2605,成交量,UR
20,方正中期,2108,364.0,2025-12-26,UR2605,成交量,UR
1,中信期货,26266,-448.0,2025-12-29,UR2605,成交量,UR
2,东证期货,22060,2255.0,2025-12-29,UR2605,成交量,UR
3,国泰君安,12566,-3159.0,2025-12-29,UR2605,成交量,UR
4,光大期货,11469,1699.0,2025-12-29,UR2605,成交量,UR
5,华闻期货,11350,2858.0,2025-12-29,UR2605,成交量,UR
6,南华期货,10099,2428.0,2025-12-29,UR2605,成交量,UR
7,银河期货,9346,-3026.0,2025-12-29,UR2605,成交量,UR
8,中泰期货,7075,-3429.0,2025-12-29,UR2605,成交量,UR
9,五矿期货,6303,1655.0,2025-12-29,UR2605,成交量,UR
10,华泰期货,5424,1378.0,2025-12-29,UR2605,成交量,UR
11,广发期货,5172,1039.0,2025-12-29,UR2605,成交量,UR
12,永安期货,4161,1901.0,2025-12-29,UR2605,成交量,UR
13,中信建投,4135,759.0,2025-12-29,UR2605,成交量,UR
14,宏源期货,4106,1029.0,2025-12-29,UR2605,成交量,UR
15,中财期货,3810,1678.0,2025-12-29,UR2605,成交量,UR
16,海通期货,3266,1445.0,2025-12-29,UR2605,成交量,UR
17,兴证期货,3266,1438.0,2025-12-29,UR2605,成交量,UR
18,国元期货,3105,1237.0,2025-12-29,UR2605,成交量,UR
19,国信期货,2829,309.0,2025-12-29,UR2605,成交量,UR
20,渤海期货,2702,1193.0,2025-12-29,UR2605,成交量,UR
1,中信期货,37594,11328.0,2025-12-30,UR2605,成交量,UR
2,东证期货,32428,10368.0,2025-12-30,UR2605,成交量,UR
3,国泰君安,20379,7813.0,2025-12-30,UR2605,成交量,UR
4,华闻期货,15950,4600.0,2025-12-30,UR2605,成交量,UR
5,银河期货,15249,5903.0,2025-12-30,UR2605,成交量,UR
6,光大期货,14866,3397.0,2025-12-30,UR2605,成交量,UR
7,南华期货,12924,2825.0,2025-12-30,UR2605,成交量,UR
8,中泰期货,12515,5440.0,2025-12-30,UR2605,成交量,UR
9,五矿期货,9815,3512.0,2025-12-30,UR2605,成交量,UR
10,华泰期货,8186,2762.0,2025-12-30,UR2605,成交量,UR
11,永安期货,8185,4024.0,2025-12-30,UR2605,成交量,UR
12,齐盛期货,6625,4298.0,2025-12-30,UR2605,成交量,UR
13,中信建投,6453,2318.0,2025-12-30,UR2605,成交量,UR
14,广发期货,6111,939.0,2025-12-30,UR2605,成交量,UR
15,徽商期货,5235,2574.0,2025-12-30,UR2605,成交量,UR
16,宏源期货,5223,1117.0,2025-12-30,UR2605,成交量,UR
17,浙商期货,5124,3522.0,2025-12-30,UR2605,成交量,UR
18,海通期货,4641,1375.0,2025-12-30,UR2605,成交量,UR
19,一德期货,4335,3363.0,2025-12-30,UR2605,成交量,UR
20,国元期货,3962,857.0,2025-12-30,UR2605,成交量,UR
1,国泰君安,26800,6421.0,2025-12-31,UR2605,成交量,UR
2,东证期货,17428,-15000.0,2025-12-31,UR2605,成交量,UR
3,中信期货,15094,-22500.0,2025-12-31,UR2605,成交量,UR
4,中泰期货,8961,-3554.0,2025-12-31,UR2605,成交量,UR
5,光大期货,7019,-7847.0,2025-12-31,UR2605,成交量,UR
6,华闻期货,6778,-9172.0,2025-12-31,UR2605,成交量,UR
7,银河期货,5522,-9727.0,2025-12-31,UR2605,成交量,UR
8,五矿期货,5486,-4329.0,2025-12-31,UR2605,成交量,UR
9,南华期货,5227,-7697.0,2025-12-31,UR2605,成交量,UR
10,广发期货,3479,-2632.0,2025-12-31,UR2605,成交量,UR
11,华泰期货,3390,-4796.0,2025-12-31,UR2605,成交量,UR
12,永安期货,3323,-4862.0,2025-12-31,UR2605,成交量,UR
13,浙商期货,2733,-2391.0,2025-12-31,UR2605,成交量,UR
14,国信期货,2484,-614.0,2025-12-31,UR2605,成交量,UR
15,徽商期货,2316,-2919.0,2025-12-31,UR2605,成交量,UR
16,中信建投,2294,-4159.0,2025-12-31,UR2605,成交量,UR
17,海通期货,2276,-2365.0,2025-12-31,UR2605,成交量,UR
18,新湖期货,2055,1160.0,2025-12-31,UR2605,成交量,UR
19,兴证期货,1899,-577.0,2025-12-31,UR2605,成交量,UR
20,方正中期,1822,-1620.0,2025-12-31,UR2605,成交量,UR
