排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中财期货,90728,-874.0,2025-12-25,v2605,多单持仓,V
2,东证期货,60536,7256.0,2025-12-25,v2605,多单持仓,V
3,恒力期货,59181,175.0,2025-12-25,v2605,多单持仓,V
4,国泰君安,53542,-2170.0,2025-12-25,v2605,多单持仓,V
5,安粮期货,51377,0.0,2025-12-25,v2605,多单持仓,V
6,信达期货,45097,2459.0,2025-12-25,v2605,多单持仓,V
7,永安期货,36085,-1070.0,2025-12-25,v2605,多单持仓,V
8,中信期货,30495,1299.0,2025-12-25,v2605,多单持仓,V
9,华泰期货,29488,3439.0,2025-12-25,v2605,多单持仓,V
10,物产中大,28888,71.0,2025-12-25,v2605,多单持仓,V
11,南华期货,20561,-597.0,2025-12-25,v2605,多单持仓,V
12,国联期货,19836,-448.0,2025-12-25,v2605,多单持仓,V
13,中信建投,17902,1228.0,2025-12-25,v2605,多单持仓,V
14,银河期货,16423,-2172.0,2025-12-25,v2605,多单持仓,V
15,盛达期货,14480,918.0,2025-12-25,v2605,多单持仓,V
16,方正中期,14101,227.0,2025-12-25,v2605,多单持仓,V
17,华安期货,13437,1098.0,2025-12-25,v2605,多单持仓,V
18,光大期货,12584,262.0,2025-12-25,v2605,多单持仓,V
19,海通期货,11898,-293.0,2025-12-25,v2605,多单持仓,V
20,大越期货,11122,-26.0,2025-12-25,v2605,多单持仓,V
1,恒力期货,101991,42810.0,2025-12-26,v2605,多单持仓,V
2,中财期货,90886,158.0,2025-12-26,v2605,多单持仓,V
3,国泰君安,52453,-1089.0,2025-12-26,v2605,多单持仓,V
4,东证期货,50618,-9918.0,2025-12-26,v2605,多单持仓,V
5,信达期货,47092,1995.0,2025-12-26,v2605,多单持仓,V
6,中信期货,31937,1442.0,2025-12-26,v2605,多单持仓,V
7,永安期货,30482,-5603.0,2025-12-26,v2605,多单持仓,V
8,物产中大,28739,-149.0,2025-12-26,v2605,多单持仓,V
9,华泰期货,28538,-950.0,2025-12-26,v2605,多单持仓,V
10,国联期货,21259,1423.0,2025-12-26,v2605,多单持仓,V
11,中泰期货,18439,7456.0,2025-12-26,v2605,多单持仓,V
12,光大期货,18207,5623.0,2025-12-26,v2605,多单持仓,V
13,银河期货,17977,1554.0,2025-12-26,v2605,多单持仓,V
14,南华期货,17492,-3069.0,2025-12-26,v2605,多单持仓,V
15,中信建投,17240,-662.0,2025-12-26,v2605,多单持仓,V
16,盛达期货,14852,372.0,2025-12-26,v2605,多单持仓,V
17,方正中期,14294,193.0,2025-12-26,v2605,多单持仓,V
18,海通期货,12705,807.0,2025-12-26,v2605,多单持仓,V
19,华安期货,12426,-1011.0,2025-12-26,v2605,多单持仓,V
20,金石期货,11665,11348.0,2025-12-26,v2605,多单持仓,V
1,恒力期货,101763,-228.0,2025-12-29,v2605,多单持仓,V
2,中财期货,89028,-1858.0,2025-12-29,v2605,多单持仓,V
3,国泰君安,54522,2069.0,2025-12-29,v2605,多单持仓,V
4,信达期货,47214,122.0,2025-12-29,v2605,多单持仓,V
5,东证期货,45588,-5030.0,2025-12-29,v2605,多单持仓,V
6,物产中大,28262,-477.0,2025-12-29,v2605,多单持仓,V
7,永安期货,28246,-2236.0,2025-12-29,v2605,多单持仓,V
8,华泰期货,28132,-406.0,2025-12-29,v2605,多单持仓,V
9,中信期货,25794,-6143.0,2025-12-29,v2605,多单持仓,V
10,国联期货,20939,-320.0,2025-12-29,v2605,多单持仓,V
11,海通期货,18499,5794.0,2025-12-29,v2605,多单持仓,V
12,中信建投,18144,904.0,2025-12-29,v2605,多单持仓,V
13,银河期货,16804,-1173.0,2025-12-29,v2605,多单持仓,V
14,中泰期货,16523,-1916.0,2025-12-29,v2605,多单持仓,V
15,南华期货,16245,-1247.0,2025-12-29,v2605,多单持仓,V
16,盛达期货,16152,1300.0,2025-12-29,v2605,多单持仓,V
17,方正中期,15705,1411.0,2025-12-29,v2605,多单持仓,V
18,光大期货,13238,-4969.0,2025-12-29,v2605,多单持仓,V
19,华安期货,12935,509.0,2025-12-29,v2605,多单持仓,V
20,大越期货,11051,-41.0,2025-12-29,v2605,多单持仓,V
1,恒力期货,101683,-80.0,2025-12-30,v2605,多单持仓,V
2,中财期货,88796,-232.0,2025-12-30,v2605,多单持仓,V
3,国泰君安,52212,-2310.0,2025-12-30,v2605,多单持仓,V
4,信达期货,47559,345.0,2025-12-30,v2605,多单持仓,V
5,东证期货,42687,-2901.0,2025-12-30,v2605,多单持仓,V
6,物产中大,28018,-244.0,2025-12-30,v2605,多单持仓,V
7,永安期货,27772,-474.0,2025-12-30,v2605,多单持仓,V
8,华泰期货,27727,-405.0,2025-12-30,v2605,多单持仓,V
9,中信期货,25595,-199.0,2025-12-30,v2605,多单持仓,V
10,国联期货,21228,289.0,2025-12-30,v2605,多单持仓,V
11,银河期货,19299,2495.0,2025-12-30,v2605,多单持仓,V
12,中信建投,17565,-579.0,2025-12-30,v2605,多单持仓,V
13,盛达期货,15417,-735.0,2025-12-30,v2605,多单持仓,V
14,方正中期,14651,-1054.0,2025-12-30,v2605,多单持仓,V
15,南华期货,14323,-1922.0,2025-12-30,v2605,多单持仓,V
16,光大期货,13118,-120.0,2025-12-30,v2605,多单持仓,V
17,华安期货,12698,-237.0,2025-12-30,v2605,多单持仓,V
18,海通期货,11369,-7130.0,2025-12-30,v2605,多单持仓,V
19,大越期货,11143,92.0,2025-12-30,v2605,多单持仓,V
20,中泰期货,11089,-5434.0,2025-12-30,v2605,多单持仓,V
