排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,317693,2419.0,2025-12-25,v2605,成交量,V
2,中信期货,230111,-7323.0,2025-12-25,v2605,成交量,V
3,东证期货,169601,-11873.0,2025-12-25,v2605,成交量,V
4,广发期货,134437,-11819.0,2025-12-25,v2605,成交量,V
5,华闻期货,79553,3596.0,2025-12-25,v2605,成交量,V
6,徽商期货,62301,11528.0,2025-12-25,v2605,成交量,V
7,华泰期货,58063,-1556.0,2025-12-25,v2605,成交量,V
8,国联期货,54996,-3750.0,2025-12-25,v2605,成交量,V
9,中泰期货,53170,-1049.0,2025-12-25,v2605,成交量,V
10,浙商期货,50229,7086.0,2025-12-25,v2605,成交量,V
11,银河期货,47928,5786.0,2025-12-25,v2605,成交量,V
12,国信期货,39753,5213.0,2025-12-25,v2605,成交量,V
13,中信建投,38730,-2276.0,2025-12-25,v2605,成交量,V
14,方正中期,36251,9385.0,2025-12-25,v2605,成交量,V
15,中财期货,35444,24431.0,2025-12-25,v2605,成交量,V
16,南华期货,33983,-3130.0,2025-12-25,v2605,成交量,V
17,海通期货,30110,-12463.0,2025-12-25,v2605,成交量,V
18,永安期货,28240,6276.0,2025-12-25,v2605,成交量,V
19,东方财富,23633,-5446.0,2025-12-25,v2605,成交量,V
20,创元期货,22780,-539.0,2025-12-25,v2605,成交量,V
1,国泰君安,407603,89910.0,2025-12-26,v2605,成交量,V
2,中信期货,276572,46461.0,2025-12-26,v2605,成交量,V
3,东证期货,207254,37653.0,2025-12-26,v2605,成交量,V
4,广发期货,159747,25310.0,2025-12-26,v2605,成交量,V
5,华闻期货,94712,15159.0,2025-12-26,v2605,成交量,V
6,中泰期货,67634,14464.0,2025-12-26,v2605,成交量,V
7,华泰期货,66042,7979.0,2025-12-26,v2605,成交量,V
8,国联期货,60791,5795.0,2025-12-26,v2605,成交量,V
9,浙商期货,55849,5620.0,2025-12-26,v2605,成交量,V
10,银河期货,54806,6878.0,2025-12-26,v2605,成交量,V
11,徽商期货,54151,-8150.0,2025-12-26,v2605,成交量,V
12,南华期货,46901,12918.0,2025-12-26,v2605,成交量,V
13,中信建投,42971,4241.0,2025-12-26,v2605,成交量,V
14,海通期货,41591,11481.0,2025-12-26,v2605,成交量,V
15,国信期货,39325,-428.0,2025-12-26,v2605,成交量,V
16,永安期货,34460,6220.0,2025-12-26,v2605,成交量,V
17,东方财富,29720,6087.0,2025-12-26,v2605,成交量,V
18,方正中期,28541,-7710.0,2025-12-26,v2605,成交量,V
19,创元期货,26311,3531.0,2025-12-26,v2605,成交量,V
20,东吴期货,25670,3858.0,2025-12-26,v2605,成交量,V
1,国泰君安,400045,-7558.0,2025-12-29,v2605,成交量,V
2,中信期货,294238,17666.0,2025-12-29,v2605,成交量,V
3,东证期货,189194,-18060.0,2025-12-29,v2605,成交量,V
4,广发期货,123579,-36168.0,2025-12-29,v2605,成交量,V
5,华闻期货,106466,11754.0,2025-12-29,v2605,成交量,V
6,华泰期货,82713,16671.0,2025-12-29,v2605,成交量,V
7,国联期货,76903,16112.0,2025-12-29,v2605,成交量,V
8,中泰期货,69235,1601.0,2025-12-29,v2605,成交量,V
9,银河期货,52546,-2260.0,2025-12-29,v2605,成交量,V
10,徽商期货,51666,-2485.0,2025-12-29,v2605,成交量,V
11,浙商期货,50022,-5827.0,2025-12-29,v2605,成交量,V
12,南华期货,49738,2837.0,2025-12-29,v2605,成交量,V
13,海通期货,49187,7596.0,2025-12-29,v2605,成交量,V
14,中信建投,44640,1669.0,2025-12-29,v2605,成交量,V
15,国信期货,30826,-8499.0,2025-12-29,v2605,成交量,V
16,方正中期,30414,1873.0,2025-12-29,v2605,成交量,V
17,东方财富,30200,480.0,2025-12-29,v2605,成交量,V
18,民生期货,25487,1375.0,2025-12-29,v2605,成交量,V
19,光大期货,25332,2756.0,2025-12-29,v2605,成交量,V
20,永安期货,24578,-9882.0,2025-12-29,v2605,成交量,V
1,东证期货,164176,-25018.0,2025-12-30,v2605,成交量,V
2,中信期货,152794,-141444.0,2025-12-30,v2605,成交量,V
3,国泰君安,151765,-248280.0,2025-12-30,v2605,成交量,V
4,广发期货,100563,-23016.0,2025-12-30,v2605,成交量,V
5,华闻期货,62443,-44023.0,2025-12-30,v2605,成交量,V
6,国联期货,55882,-21021.0,2025-12-30,v2605,成交量,V
7,华泰期货,52553,-30160.0,2025-12-30,v2605,成交量,V
8,中泰期货,47305,-21930.0,2025-12-30,v2605,成交量,V
9,南华期货,45640,-4098.0,2025-12-30,v2605,成交量,V
10,银河期货,43062,-9484.0,2025-12-30,v2605,成交量,V
11,徽商期货,39044,-12622.0,2025-12-30,v2605,成交量,V
12,浙商期货,33738,-16284.0,2025-12-30,v2605,成交量,V
13,中信建投,31492,-13148.0,2025-12-30,v2605,成交量,V
14,方正中期,30196,-218.0,2025-12-30,v2605,成交量,V
15,海通期货,26172,-23015.0,2025-12-30,v2605,成交量,V
16,国信期货,25568,-5258.0,2025-12-30,v2605,成交量,V
17,东方财富,23479,-6721.0,2025-12-30,v2605,成交量,V
18,浙江新世纪,21808,-310.0,2025-12-30,v2605,成交量,V
19,瑞达期货,20697,-3622.0,2025-12-30,v2605,成交量,V
20,东吴期货,20133,1436.0,2025-12-30,v2605,成交量,V
