排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中粮期货,159510,916.0,2025-12-25,y2605,空单持仓,Y
2,国投期货,77375,518.0,2025-12-25,y2605,空单持仓,Y
3,东证期货,60914,-1269.0,2025-12-25,y2605,空单持仓,Y
4,广发期货,41902,-3378.0,2025-12-25,y2605,空单持仓,Y
5,中信期货,29514,-3478.0,2025-12-25,y2605,空单持仓,Y
6,摩根大通,27447,-703.0,2025-12-25,y2605,空单持仓,Y
7,国泰君安,23381,-2467.0,2025-12-25,y2605,空单持仓,Y
8,中金财富,14323,-596.0,2025-12-25,y2605,空单持仓,Y
9,乾坤期货,12675,362.0,2025-12-25,y2605,空单持仓,Y
10,永安期货,12620,401.0,2025-12-25,y2605,空单持仓,Y
11,一德期货,11641,272.0,2025-12-25,y2605,空单持仓,Y
12,中泰期货,11074,203.0,2025-12-25,y2605,空单持仓,Y
13,五矿期货,10932,29.0,2025-12-25,y2605,空单持仓,Y
14,华泰期货,10890,-259.0,2025-12-25,y2605,空单持仓,Y
15,银河期货,8820,-1805.0,2025-12-25,y2605,空单持仓,Y
16,海通期货,7953,-262.0,2025-12-25,y2605,空单持仓,Y
17,国信期货,7270,-105.0,2025-12-25,y2605,空单持仓,Y
18,新湖期货,7179,-390.0,2025-12-25,y2605,空单持仓,Y
19,宏源期货,6945,43.0,2025-12-25,y2605,空单持仓,Y
20,中信建投,5604,-97.0,2025-12-25,y2605,空单持仓,Y
1,中粮期货,158526,-984.0,2025-12-26,y2605,空单持仓,Y
2,国投期货,83301,5926.0,2025-12-26,y2605,空单持仓,Y
3,东证期货,60181,-733.0,2025-12-26,y2605,空单持仓,Y
4,广发期货,42072,170.0,2025-12-26,y2605,空单持仓,Y
5,摩根大通,26292,-1155.0,2025-12-26,y2605,空单持仓,Y
6,中信期货,26247,-3267.0,2025-12-26,y2605,空单持仓,Y
7,国泰君安,21157,-2224.0,2025-12-26,y2605,空单持仓,Y
8,一德期货,12929,1288.0,2025-12-26,y2605,空单持仓,Y
9,永安期货,12666,46.0,2025-12-26,y2605,空单持仓,Y
10,中金财富,12659,-1664.0,2025-12-26,y2605,空单持仓,Y
11,乾坤期货,11804,-871.0,2025-12-26,y2605,空单持仓,Y
12,五矿期货,11293,361.0,2025-12-26,y2605,空单持仓,Y
13,华泰期货,10712,-178.0,2025-12-26,y2605,空单持仓,Y
14,中泰期货,10531,-543.0,2025-12-26,y2605,空单持仓,Y
15,银河期货,8057,-763.0,2025-12-26,y2605,空单持仓,Y
16,海通期货,7824,-129.0,2025-12-26,y2605,空单持仓,Y
17,新湖期货,7495,316.0,2025-12-26,y2605,空单持仓,Y
18,宏源期货,7213,268.0,2025-12-26,y2605,空单持仓,Y
19,国信期货,6051,-1219.0,2025-12-26,y2605,空单持仓,Y
20,中信建投,5520,-84.0,2025-12-26,y2605,空单持仓,Y
1,中粮期货,157732,-794.0,2025-12-29,y2605,空单持仓,Y
2,国投期货,86125,2824.0,2025-12-29,y2605,空单持仓,Y
