排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,50121,-297.0,2025-12-25,y2605,成交量,Y
2,东证期货,41118,-6247.0,2025-12-25,y2605,成交量,Y
3,中信期货,36766,-6006.0,2025-12-25,y2605,成交量,Y
4,广发期货,19587,-2710.0,2025-12-25,y2605,成交量,Y
5,光大期货,16021,-1762.0,2025-12-25,y2605,成交量,Y
6,银河期货,13643,5298.0,2025-12-25,y2605,成交量,Y
7,华泰期货,12977,-1668.0,2025-12-25,y2605,成交量,Y
8,浙商期货,11945,-143.0,2025-12-25,y2605,成交量,Y
9,国投期货,11774,3792.0,2025-12-25,y2605,成交量,Y
10,华闻期货,11055,1722.0,2025-12-25,y2605,成交量,Y
11,中粮期货,10897,129.0,2025-12-25,y2605,成交量,Y
12,国联期货,9219,-1451.0,2025-12-25,y2605,成交量,Y
13,中泰期货,6762,431.0,2025-12-25,y2605,成交量,Y
14,海通期货,6501,-2487.0,2025-12-25,y2605,成交量,Y
15,申银万国,5319,2550.0,2025-12-25,y2605,成交量,Y
16,一德期货,4749,-806.0,2025-12-25,y2605,成交量,Y
17,宏源期货,4695,156.0,2025-12-25,y2605,成交量,Y
18,永安期货,4283,-3188.0,2025-12-25,y2605,成交量,Y
19,瑞达期货,4280,-58.0,2025-12-25,y2605,成交量,Y
20,中财期货,4236,324.0,2025-12-25,y2605,成交量,Y
1,国泰君安,54201,4080.0,2025-12-26,y2605,成交量,Y
2,东证期货,46116,4998.0,2025-12-26,y2605,成交量,Y
3,中信期货,38855,2089.0,2025-12-26,y2605,成交量,Y
4,广发期货,19634,47.0,2025-12-26,y2605,成交量,Y
5,光大期货,17867,1846.0,2025-12-26,y2605,成交量,Y
6,华泰期货,15837,2860.0,2025-12-26,y2605,成交量,Y
7,华闻期货,12618,1563.0,2025-12-26,y2605,成交量,Y
8,银河期货,11805,-1838.0,2025-12-26,y2605,成交量,Y
9,国联期货,11123,1904.0,2025-12-26,y2605,成交量,Y
10,国投期货,10521,-1253.0,2025-12-26,y2605,成交量,Y
11,中泰期货,7792,1030.0,2025-12-26,y2605,成交量,Y
12,中粮期货,6809,-4088.0,2025-12-26,y2605,成交量,Y
13,海通期货,6798,297.0,2025-12-26,y2605,成交量,Y
14,乾坤期货,5864,5388.0,2025-12-26,y2605,成交量,Y
15,宏源期货,5621,926.0,2025-12-26,y2605,成交量,Y
16,浙商期货,5300,-6645.0,2025-12-26,y2605,成交量,Y
17,一德期货,4735,-14.0,2025-12-26,y2605,成交量,Y
18,中信建投,4728,837.0,2025-12-26,y2605,成交量,Y
19,国信期货,4281,1055.0,2025-12-26,y2605,成交量,Y
20,弘业期货,4014,-219.0,2025-12-26,y2605,成交量,Y
1,国泰君安,55886,1685.0,2025-12-29,y2605,成交量,Y
2,东证期货,50495,4379.0,2025-12-29,y2605,成交量,Y
3,中信期货,43955,5100.0,2025-12-29,y2605,成交量,Y
4,光大期货,19108,1241.0,2025-12-29,y2605,成交量,Y
5,广发期货,18789,-845.0,2025-12-29,y2605,成交量,Y
6,浙商期货,13232,7932.0,2025-12-29,y2605,成交量,Y
7,华泰期货,11965,-3872.0,2025-12-29,y2605,成交量,Y
8,国联期货,11456,333.0,2025-12-29,y2605,成交量,Y
9,中粮期货,10565,3756.0,2025-12-29,y2605,成交量,Y
10,银河期货,9990,-1815.0,2025-12-29,y2605,成交量,Y
11,华闻期货,8377,-4241.0,2025-12-29,y2605,成交量,Y
12,永安期货,8078,5016.0,2025-12-29,y2605,成交量,Y
13,中泰期货,7185,-607.0,2025-12-29,y2605,成交量,Y
14,海通期货,6861,63.0,2025-12-29,y2605,成交量,Y
15,国投期货,6379,-4142.0,2025-12-29,y2605,成交量,Y
16,摩根大通,5851,2164.0,2025-12-29,y2605,成交量,Y
17,宏源期货,5677,56.0,2025-12-29,y2605,成交量,Y
18,乾坤期货,5328,-536.0,2025-12-29,y2605,成交量,Y
19,中金财富,4694,1771.0,2025-12-29,y2605,成交量,Y
20,徽商期货,4589,1512.0,2025-12-29,y2605,成交量,Y
1,东证期货,55191,4696.0,2025-12-30,y2605,成交量,Y
2,国泰君安,47241,-8645.0,2025-12-30,y2605,成交量,Y
3,中信期货,41181,-2774.0,2025-12-30,y2605,成交量,Y
4,广发期货,20251,1462.0,2025-12-30,y2605,成交量,Y
5,光大期货,17544,-1564.0,2025-12-30,y2605,成交量,Y
6,浙商期货,11861,-1371.0,2025-12-30,y2605,成交量,Y
7,中粮期货,11690,1125.0,2025-12-30,y2605,成交量,Y
8,华泰期货,11623,-342.0,2025-12-30,y2605,成交量,Y
9,海通期货,11433,4572.0,2025-12-30,y2605,成交量,Y
10,银河期货,9892,-98.0,2025-12-30,y2605,成交量,Y
11,国投期货,8485,2106.0,2025-12-30,y2605,成交量,Y
12,国联期货,8459,-2997.0,2025-12-30,y2605,成交量,Y
13,摩根大通,8192,2341.0,2025-12-30,y2605,成交量,Y
14,华闻期货,7366,-1011.0,2025-12-30,y2605,成交量,Y
15,中泰期货,5962,-1223.0,2025-12-30,y2605,成交量,Y
16,乾坤期货,5631,303.0,2025-12-30,y2605,成交量,Y
17,宏源期货,4985,-692.0,2025-12-30,y2605,成交量,Y
18,中信建投,4937,484.0,2025-12-30,y2605,成交量,Y
19,徽商期货,4836,247.0,2025-12-30,y2605,成交量,Y
20,申银万国,4504,1934.0,2025-12-30,y2605,成交量,Y
