排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,9555,-3053.0,2025-12-25,zn2602,多单持仓,ZN
2,东证期货,8937,-256.0,2025-12-25,zn2602,多单持仓,ZN
3,国泰君安,6042,-655.0,2025-12-25,zn2602,多单持仓,ZN
4,国信期货,4928,316.0,2025-12-25,zn2602,多单持仓,ZN
5,东吴期货,3288,3.0,2025-12-25,zn2602,多单持仓,ZN
6,银河期货,3200,-73.0,2025-12-25,zn2602,多单持仓,ZN
7,东亚期货,2875,-181.0,2025-12-25,zn2602,多单持仓,ZN
8,中粮期货,2654,717.0,2025-12-25,zn2602,多单持仓,ZN
9,中信建投,2369,-161.0,2025-12-25,zn2602,多单持仓,ZN
10,中泰期货,2161,153.0,2025-12-25,zn2602,多单持仓,ZN
11,华泰期货,2035,-755.0,2025-12-25,zn2602,多单持仓,ZN
12,南华期货,1887,-92.0,2025-12-25,zn2602,多单持仓,ZN
13,广发期货,1784,-158.0,2025-12-25,zn2602,多单持仓,ZN
14,国投期货,1770,264.0,2025-12-25,zn2602,多单持仓,ZN
15,建信期货,1728,30.0,2025-12-25,zn2602,多单持仓,ZN
16,浙商期货,1649,113.0,2025-12-25,zn2602,多单持仓,ZN
17,瑞银期货,1466,0.0,2025-12-25,zn2602,多单持仓,ZN
18,申万期货,1449,412.0,2025-12-25,zn2602,多单持仓,ZN
19,国贸期货,1331,731.0,2025-12-25,zn2602,多单持仓,ZN
20,瑞达期货,1054,178.0,2025-12-25,zn2602,多单持仓,ZN
1,东证期货,10557,1620.0,2025-12-26,zn2602,多单持仓,ZN
2,中信期货,9394,-161.0,2025-12-26,zn2602,多单持仓,ZN
3,国泰君安,6123,81.0,2025-12-26,zn2602,多单持仓,ZN
4,国信期货,5062,134.0,2025-12-26,zn2602,多单持仓,ZN
5,东吴期货,3329,41.0,2025-12-26,zn2602,多单持仓,ZN
6,银河期货,3014,-186.0,2025-12-26,zn2602,多单持仓,ZN
7,东亚期货,2792,-83.0,2025-12-26,zn2602,多单持仓,ZN
8,中粮期货,2727,73.0,2025-12-26,zn2602,多单持仓,ZN
9,中信建投,2498,129.0,2025-12-26,zn2602,多单持仓,ZN
10,国投期货,2280,510.0,2025-12-26,zn2602,多单持仓,ZN
