排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,14781,338.0,2025-12-25,zn2602,空单持仓,ZN
2,国泰君安,8669,322.0,2025-12-25,zn2602,空单持仓,ZN
3,云晨期货,4812,268.0,2025-12-25,zn2602,空单持仓,ZN
4,乾坤期货,4702,18.0,2025-12-25,zn2602,空单持仓,ZN
5,华泰期货,4650,30.0,2025-12-25,zn2602,空单持仓,ZN
6,东证期货,4395,1399.0,2025-12-25,zn2602,空单持仓,ZN
7,银河期货,3152,-886.0,2025-12-25,zn2602,空单持仓,ZN
8,建信期货,3133,-246.0,2025-12-25,zn2602,空单持仓,ZN
9,铜冠金源,2866,-13.0,2025-12-25,zn2602,空单持仓,ZN
10,紫金天风,2198,156.0,2025-12-25,zn2602,空单持仓,ZN
11,广发期货,2045,-317.0,2025-12-25,zn2602,空单持仓,ZN
12,永安期货,1571,-293.0,2025-12-25,zn2602,空单持仓,ZN
13,东吴期货,1523,111.0,2025-12-25,zn2602,空单持仓,ZN
14,中金财富,1356,145.0,2025-12-25,zn2602,空单持仓,ZN
15,金瑞期货,1298,-169.0,2025-12-25,zn2602,空单持仓,ZN
16,瑞达期货,1281,81.0,2025-12-25,zn2602,空单持仓,ZN
17,平安期货,1193,13.0,2025-12-25,zn2602,空单持仓,ZN
18,南华期货,1186,-169.0,2025-12-25,zn2602,空单持仓,ZN
19,中信建投,1132,-19.0,2025-12-25,zn2602,空单持仓,ZN
20,国贸期货,1131,-1444.0,2025-12-25,zn2602,空单持仓,ZN
1,中信期货,14424,-357.0,2025-12-26,zn2602,空单持仓,ZN
2,国泰君安,8784,115.0,2025-12-26,zn2602,空单持仓,ZN
3,东证期货,4919,524.0,2025-12-26,zn2602,空单持仓,ZN
4,云晨期货,4640,-172.0,2025-12-26,zn2602,空单持仓,ZN
5,华泰期货,4406,-244.0,2025-12-26,zn2602,空单持仓,ZN
6,乾坤期货,3476,-1226.0,2025-12-26,zn2602,空单持仓,ZN
7,永安期货,3276,1705.0,2025-12-26,zn2602,空单持仓,ZN
8,银河期货,3275,123.0,2025-12-26,zn2602,空单持仓,ZN
9,建信期货,3066,-67.0,2025-12-26,zn2602,空单持仓,ZN
10,铜冠金源,2861,-5.0,2025-12-26,zn2602,空单持仓,ZN
11,东吴期货,2258,735.0,2025-12-26,zn2602,空单持仓,ZN
12,紫金天风,2228,30.0,2025-12-26,zn2602,空单持仓,ZN
13,国贸期货,2108,977.0,2025-12-26,zn2602,空单持仓,ZN
14,广发期货,2108,63.0,2025-12-26,zn2602,空单持仓,ZN
15,中金财富,1777,421.0,2025-12-26,zn2602,空单持仓,ZN
16,金瑞期货,1447,149.0,2025-12-26,zn2602,空单持仓,ZN
17,瑞达期货,1402,121.0,2025-12-26,zn2602,空单持仓,ZN
18,南华期货,1234,48.0,2025-12-26,zn2602,空单持仓,ZN
19,平安期货,1189,-4.0,2025-12-26,zn2602,空单持仓,ZN
20,创元期货,1183,84.0,2025-12-26,zn2602,空单持仓,ZN
1,中信期货,13132,-1292.0,2025-12-29,zn2602,空单持仓,ZN
2,国泰君安,9723,939.0,2025-12-29,zn2602,空单持仓,ZN
3,东证期货,4631,-288.0,2025-12-29,zn2602,空单持仓,ZN
4,华泰期货,4569,163.0,2025-12-29,zn2602,空单持仓,ZN
5,云晨期货,4481,-159.0,2025-12-29,zn2602,空单持仓,ZN
6,银河期货,4131,856.0,2025-12-29,zn2602,空单持仓,ZN
7,乾坤期货,3396,-80.0,2025-12-29,zn2602,空单持仓,ZN
8,建信期货,3021,-45.0,2025-12-29,zn2602,空单持仓,ZN
9,铜冠金源,2864,3.0,2025-12-29,zn2602,空单持仓,ZN
10,紫金天风,2270,42.0,2025-12-29,zn2602,空单持仓,ZN
11,广发期货,1954,-154.0,2025-12-29,zn2602,空单持仓,ZN
12,永安期货,1934,-1342.0,2025-12-29,zn2602,空单持仓,ZN
13,金瑞期货,1744,297.0,2025-12-29,zn2602,空单持仓,ZN
14,国贸期货,1706,-402.0,2025-12-29,zn2602,空单持仓,ZN
15,瑞达期货,1542,140.0,2025-12-29,zn2602,空单持仓,ZN
16,东吴期货,1481,-777.0,2025-12-29,zn2602,空单持仓,ZN
17,平安期货,1330,141.0,2025-12-29,zn2602,空单持仓,ZN
18,中金财富,1299,-478.0,2025-12-29,zn2602,空单持仓,ZN
19,国投期货,1222,343.0,2025-12-29,zn2602,空单持仓,ZN
20,南华期货,1163,-71.0,2025-12-29,zn2602,空单持仓,ZN
1,中信期货,12617,-515.0,2025-12-30,zn2602,空单持仓,ZN
2,国泰君安,8434,-1289.0,2025-12-30,zn2602,空单持仓,ZN
3,银河期货,4996,865.0,2025-12-30,zn2602,空单持仓,ZN
4,东证期货,4773,142.0,2025-12-30,zn2602,空单持仓,ZN
5,云晨期货,4646,165.0,2025-12-30,zn2602,空单持仓,ZN
6,华泰期货,4361,-208.0,2025-12-30,zn2602,空单持仓,ZN
7,乾坤期货,3450,54.0,2025-12-30,zn2602,空单持仓,ZN
