排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,36163,-9383.0,2025-12-25,zn2602,成交量,ZN
2,东证期货,26255,-8187.0,2025-12-25,zn2602,成交量,ZN
3,中泰期货,21696,1525.0,2025-12-25,zn2602,成交量,ZN
4,国泰君安,21461,-49011.0,2025-12-25,zn2602,成交量,ZN
5,华泰期货,11915,-4360.0,2025-12-25,zn2602,成交量,ZN
6,华闻期货,10366,-3030.0,2025-12-25,zn2602,成交量,ZN
7,广发期货,8083,-1470.0,2025-12-25,zn2602,成交量,ZN
8,海通期货,7883,-1722.0,2025-12-25,zn2602,成交量,ZN
9,南华期货,7873,-3687.0,2025-12-25,zn2602,成交量,ZN
10,银河期货,7121,-1565.0,2025-12-25,zn2602,成交量,ZN
11,浙商期货,5388,-1347.0,2025-12-25,zn2602,成交量,ZN
12,申万期货,4392,445.0,2025-12-25,zn2602,成交量,ZN
13,国贸期货,4141,-3157.0,2025-12-25,zn2602,成交量,ZN
14,招商期货,3506,1771.0,2025-12-25,zn2602,成交量,ZN
15,光大期货,3005,-567.0,2025-12-25,zn2602,成交量,ZN
16,国信期货,2599,-974.0,2025-12-25,zn2602,成交量,ZN
17,中辉期货,2577,545.0,2025-12-25,zn2602,成交量,ZN
18,永安期货,2390,-819.0,2025-12-25,zn2602,成交量,ZN
19,中粮期货,2329,1611.0,2025-12-25,zn2602,成交量,ZN
20,国联期货,2309,54.0,2025-12-25,zn2602,成交量,ZN
1,国泰君安,64502,43041.0,2025-12-26,zn2602,成交量,ZN
2,中信期货,30902,-5261.0,2025-12-26,zn2602,成交量,ZN
3,东证期货,29468,3213.0,2025-12-26,zn2602,成交量,ZN
4,中泰期货,17762,-3934.0,2025-12-26,zn2602,成交量,ZN
5,华泰期货,12380,465.0,2025-12-26,zn2602,成交量,ZN
6,广发期货,10309,2226.0,2025-12-26,zn2602,成交量,ZN
7,海通期货,9687,1804.0,2025-12-26,zn2602,成交量,ZN
8,华闻期货,9355,-1011.0,2025-12-26,zn2602,成交量,ZN
9,银河期货,9133,2012.0,2025-12-26,zn2602,成交量,ZN
10,国贸期货,6863,2722.0,2025-12-26,zn2602,成交量,ZN
11,浙商期货,5843,455.0,2025-12-26,zn2602,成交量,ZN
12,南华期货,5434,-2439.0,2025-12-26,zn2602,成交量,ZN
13,光大期货,4266,1261.0,2025-12-26,zn2602,成交量,ZN
14,申万期货,4183,-209.0,2025-12-26,zn2602,成交量,ZN
15,永安期货,3707,1317.0,2025-12-26,zn2602,成交量,ZN
16,国联期货,3158,849.0,2025-12-26,zn2602,成交量,ZN
17,国信期货,2627,28.0,2025-12-26,zn2602,成交量,ZN
18,徽商期货,2099,358.0,2025-12-26,zn2602,成交量,ZN
19,中信建投,2095,219.0,2025-12-26,zn2602,成交量,ZN
20,招商期货,2010,-1496.0,2025-12-26,zn2602,成交量,ZN
1,国泰君安,83725,19223.0,2025-12-29,zn2602,成交量,ZN
2,中信期货,62961,32059.0,2025-12-29,zn2602,成交量,ZN
3,东证期货,45973,16505.0,2025-12-29,zn2602,成交量,ZN
4,华闻期货,28741,19386.0,2025-12-29,zn2602,成交量,ZN
5,中泰期货,27728,9966.0,2025-12-29,zn2602,成交量,ZN
6,海通期货,21880,12193.0,2025-12-29,zn2602,成交量,ZN
