date,receipt,change
2025-06-03,17247,0.0
2025-06-04,17247,0.0
2025-06-05,17847,600.0
2025-06-06,17847,0.0
2025-06-09,17847,0.0
2025-06-10,17817,-30.0
2025-06-11,17817,0.0
2025-06-12,17847,30.0
2025-06-13,18177,330.0
2025-06-16,18177,0.0
2025-06-17,18177,0.0
2025-06-18,18168,-9.0
2025-06-19,18168,0.0
2025-06-20,18168,0.0
2025-06-23,18168,0.0
2025-06-24,18213,45.0
2025-06-25,18213,0.0
2025-06-26,18237,24.0
2025-06-27,18237,0.0
2025-06-30,18237,0.0
2025-07-01,18453,216.0
2025-07-02,18456,3.0
2025-07-03,18456,0.0
2025-07-04,21456,3000.0
2025-07-07,21456,0.0
2025-07-08,21558,102.0
2025-07-09,21585,27.0
2025-07-10,24585,3000.0
2025-07-11,24585,0.0
2025-07-14,28857,4272.0
2025-07-15,28872,15.0
2025-07-16,28872,0.0
2025-07-17,28872,0.0
2025-07-18,28857,-15.0
2025-07-21,28857,0.0
2025-07-22,28857,0.0
2025-07-23,28857,0.0
2025-07-24,29358,501.0
2025-07-25,30258,900.0
2025-07-28,30258,
2025-07-29,31263,
2025-07-30,33462,2199.0
2025-07-31,35643,2181.0
2025-08-01,35745,102.0
2025-08-04,35889,
2025-08-05,36009,120.0
2025-08-06,36045,
2025-08-07,36045,0.0
2025-08-08,36045,0.0
2025-08-11,36045,0.0
2025-08-12,36045,0.0
2025-08-13,36045,0.0
2025-08-14,36345,300.0
2025-08-15,36345,0.0
2025-08-18,36345,0.0
2025-08-19,36333,-12.0
2025-08-20,36582,249.0
2025-08-21,36642,60.0
2025-08-22,37455,813.0
2025-08-25,37515,60.0
2025-08-26,37503,-12.0
2025-08-27,37503,0.0
2025-08-28,39504,2001.0
2025-08-29,39624,120.0
2025-09-01,39744,120.0
2025-09-02,40191,447.0
2025-09-03,40251,60.0
2025-09-04,43254,3003.0
2025-09-05,43335,81.0
2025-09-08,43335,0.0
2025-09-09,44415,1080.0
2025-09-10,45951,1536.0
2025-09-11,50151,4200.0
2025-09-12,52950,2799.0
2025-09-15,53226,276.0
2025-09-16,53226,0.0
2025-09-17,54126,900.0
2025-09-18,56430,2304.0
2025-09-19,57429,999.0
2025-09-22,57429,
2025-09-23,59013,1584.0
2025-09-24,60543,1530.0
2025-09-25,65634,5091.0
2025-09-26,65826,192.0
2025-09-29,68628,2802.0
2025-09-30,70728,2100.0
2025-10-09,70728,0.0
2025-10-10,70728,0.0
2025-10-13,70728,0.0
2025-10-14,72183,1455.0
2025-10-15,75099,2916.0
2025-10-16,80961,5862.0
2025-10-17,84606,3645.0
2025-10-20,84606,0.0
2025-10-21,86565,1959.0
2025-10-22,87015,450.0
2025-10-23,87015,0.0
2025-10-24,87015,0.0
2025-10-27,87015,0.0
2025-10-28,87015,0.0
2025-10-29,87816,801.0
2025-10-30,87816,0.0
2025-10-31,87816,0.0
2025-11-03,87816,0.0
2025-11-04,87816,0.0
2025-11-05,87816,0.0
2025-11-06,87816,0.0
2025-11-07,89616,1800.0
2025-11-10,89616,0.0
2025-11-11,89616,0.0
2025-11-12,89616,0.0
2025-11-13,90426,810.0
2025-11-14,90426,0.0
2025-11-17,90426,0.0
2025-11-18,90426,0.0
2025-11-19,90426,0.0
2025-11-20,90426,0.0
2025-11-21,90426,0.0
2025-11-24,90426,0.0
2025-11-25,90423,-3.0
2025-11-26,90423,0.0
2025-11-27,90423,0.0
2025-11-28,90873,450.0
2025-12-01,90873,0.0
2025-12-02,90873,0.0
2025-12-03,90873,0.0
2025-12-04,90870,-3.0
2025-12-05,91299,429.0
2025-12-08,91299,0.0
2025-12-09,91299,0.0
2025-12-10,91299,0.0
2025-12-11,91302,3.0
2025-12-12,91302,0.0
2025-12-15,91302,0.0
2025-12-16,91302,0.0
2025-12-17,91722,420.0
2025-12-18,91716,-6.0
2025-12-19,91716,0.0
2025-12-22,91716,0.0
2025-12-23,93711,1995.0
2025-12-24,93711,0.0
2025-12-25,93711,0.0
2025-12-26,97692,3981.0
2025-12-29,97704,12.0
2025-12-30,97704,0.0
2025-12-31,97704,0.0
