date,receipt,change
2025-06-03,149530,0.0
2025-06-04,149530,0.0
2025-06-05,149530,0.0
2025-06-06,149530,0.0
2025-06-09,149530,0.0
2025-06-10,149530,0.0
2025-06-11,149530,0.0
2025-06-12,149530,0.0
2025-06-13,149530,0.0
2025-06-16,149530,0.0
2025-06-17,149530,0.0
2025-06-18,149530,0.0
2025-06-19,149530,0.0
2025-06-20,149530,0.0
2025-06-23,149530,0.0
2025-06-24,161080,11550.0
2025-06-25,161080,0.0
2025-06-26,161080,0.0
2025-06-27,161080,0.0
2025-06-30,157080,-4000.0
2025-07-01,157080,0.0
2025-07-02,154530,-2550.0
2025-07-03,154530,0.0
2025-07-04,154530,0.0
2025-07-07,148230,-6300.0
2025-07-08,146990,-1240.0
2025-07-09,118670,-28320.0
2025-07-10,118670,0.0
2025-07-11,118670,0.0
2025-07-14,118670,0.0
2025-07-15,118670,0.0
2025-07-16,118670,0.0
2025-07-17,118670,0.0
2025-07-18,118670,0.0
2025-07-21,118670,0.0
2025-07-22,118670,0.0
2025-07-23,118670,0.0
2025-07-24,118670,0.0
2025-07-25,118670,0.0
2025-07-28,42950,
2025-07-29,42950,
2025-07-30,41910,-1040.0
2025-07-31,41910,0.0
2025-08-01,41910,0.0
2025-08-04,41910,
2025-08-05,40240,-1670.0
2025-08-06,37420,
2025-08-07,37420,0.0
2025-08-08,36520,-900.0
2025-08-11,35020,-1500.0
2025-08-12,32040,-2980.0
2025-08-13,32040,0.0
2025-08-14,31840,-200.0
2025-08-15,31640,-200.0
2025-08-18,31140,-500.0
2025-08-19,31140,0.0
2025-08-20,31140,0.0
2025-08-21,30940,-200.0
2025-08-22,30940,0.0
2025-08-25,30940,0.0
2025-08-26,29790,-1150.0
2025-08-27,29790,0.0
2025-08-28,29790,0.0
2025-08-29,29790,0.0
2025-09-01,29790,0.0
2025-09-02,29790,0.0
2025-09-03,29790,0.0
2025-09-04,28890,-900.0
2025-09-05,26890,-2000.0
2025-09-08,26890,0.0
2025-09-09,26890,0.0
2025-09-10,26890,0.0
2025-09-11,26490,-400.0
2025-09-12,26290,-200.0
2025-09-15,25590,-700.0
2025-09-16,23590,-2000.0
2025-09-17,23590,0.0
2025-09-18,23240,-350.0
2025-09-19,23240,0.0
2025-09-22,18940,
2025-09-23,18940,0.0
2025-09-24,18940,0.0
2025-09-25,18940,0.0
2025-09-26,13930,-5010.0
2025-09-29,13930,0.0
2025-09-30,13040,-890.0
2025-10-09,13040,0.0
2025-10-10,13040,0.0
2025-10-13,13040,0.0
2025-10-14,13040,0.0
2025-10-15,13040,0.0
2025-10-16,13040,0.0
2025-10-17,13040,0.0
2025-10-20,13040,0.0
2025-10-21,13040,0.0
2025-10-22,13040,0.0
2025-10-23,12420,-620.0
2025-10-24,12420,0.0
2025-10-27,9920,-2500.0
2025-10-28,9920,0.0
2025-10-29,9920,0.0
2025-10-30,9120,-800.0
2025-10-31,7120,-2000.0
2025-11-03,6940,-180.0
2025-11-04,5940,-1000.0
2025-11-05,4690,-1250.0
2025-11-06,4690,0.0
2025-11-07,4690,0.0
2025-11-10,4690,0.0
2025-11-11,4690,0.0
2025-11-12,4690,0.0
2025-11-13,4690,0.0
2025-11-14,4690,0.0
2025-11-17,4690,0.0
2025-11-18,4690,0.0
2025-11-19,4690,0.0
2025-11-20,4690,0.0
2025-11-21,4690,0.0
2025-11-24,4690,0.0
2025-11-25,4690,0.0
2025-11-26,4690,0.0
2025-11-27,4690,0.0
2025-11-28,4690,0.0
2025-12-01,4690,0.0
2025-12-02,4690,0.0
2025-12-03,4690,0.0
2025-12-04,4690,0.0
2025-12-05,4690,0.0
2025-12-08,2690,-2000.0
2025-12-09,2690,0.0
2025-12-10,2690,0.0
2025-12-11,4680,1990.0
2025-12-12,4680,0.0
2025-12-15,4180,-500.0
2025-12-16,4180,0.0
2025-12-17,4180,0.0
2025-12-18,4180,0.0
2025-12-19,4180,0.0
2025-12-22,4180,0.0
2025-12-23,4180,0.0
2025-12-24,4180,0.0
2025-12-25,4180,0.0
2025-12-26,4180,0.0
2025-12-29,4180,0.0
2025-12-30,8260,4080.0
2025-12-31,8260,0.0
