date,receipt,change
2025-06-03,21918,-78.0
2025-06-04,21753,-165.0
2025-06-05,21678,-75.0
2025-06-06,21519,-131.0
2025-06-09,21449,-69.0
2025-06-10,21403,-46.0
2025-06-11,21362,-41.0
2025-06-12,21306,-47.0
2025-06-13,21271,-35.0
2025-06-16,21218,-53.0
2025-06-17,21133,-85.0
2025-06-18,21070,-63.0
2025-06-19,20982,-88.0
2025-06-20,20862,-143.0
2025-06-23,20785,-77.0
2025-06-24,20640,-145.0
2025-06-25,20561,-79.0
2025-06-26,20474,-87.0
2025-06-27,20411,-63.0
2025-06-30,20356,-55.0
2025-07-01,20235,-121.0
2025-07-02,20195,-40.0
2025-07-03,20106,-89.0
2025-07-04,19961,-145.0
2025-07-07,19906,-55.0
2025-07-08,19777,-129.0
2025-07-09,19705,-72.0
2025-07-10,19622,-83.0
2025-07-11,19557,-65.0
2025-07-14,19476,-85.0
2025-07-15,19297,-179.0
2025-07-16,19152,-145.0
2025-07-17,19043,-109.0
2025-07-18,18942,-101.0
2025-07-21,18882,-60.0
2025-07-22,18758,-124.0
2025-07-23,18657,-101.0
2025-07-24,18568,-89.0
2025-07-25,18425,-141.0
2025-07-28,9226,
2025-07-29,9156,
2025-07-30,9055,-101.0
2025-07-31,8940,-115.0
2025-08-01,8807,-133.0
2025-08-04,8684,
2025-08-05,8563,-121.0
2025-08-06,8464,
2025-08-07,8329,-135.0
2025-08-08,8252,-77.0
2025-08-11,8172,-80.0
2025-08-12,8087,-85.0
2025-08-13,8006,-81.0
2025-08-14,7922,-84.0
2025-08-15,7829,-93.0
2025-08-18,7762,-67.0
2025-08-19,7596,-166.0
2025-08-20,7455,-141.0
2025-08-21,7335,-120.0
2025-08-22,7198,-137.0
2025-08-25,7104,-94.0
2025-08-26,6977,-127.0
2025-08-27,6859,-118.0
2025-08-28,6720,-139.0
2025-08-29,6514,-206.0
2025-09-01,6320,-194.0
2025-09-02,6131,-189.0
2025-09-03,5996,-135.0
2025-09-04,5829,-167.0
2025-09-05,5710,-119.0
2025-09-08,5571,-139.0
2025-09-09,5459,-112.0
2025-09-10,5322,-137.0
2025-09-11,5159,-163.0
2025-09-12,5017,-142.0
2025-09-15,4899,-118.0
2025-09-16,4759,-140.0
2025-09-17,4615,-144.0
2025-09-18,4438,-177.0
2025-09-19,4232,-206.0
2025-09-22,4096,
2025-09-23,3915,-181.0
2025-09-24,3716,-199.0
2025-09-25,3583,-133.0
2025-09-26,3397,-186.0
2025-09-29,3173,-224.0
2025-09-30,3081,-92.0
2025-10-09,3030,-51.0
2025-10-10,2942,-88.0
2025-10-13,2867,-75.0
2025-10-14,2823,-44.0
2025-10-15,2773,-50.0
2025-10-16,2724,-49.0
2025-10-17,2653,-71.0
2025-10-20,2598,-55.0
2025-10-21,2579,-19.0
2025-10-22,2565,-14.0
2025-10-23,2526,-39.0
2025-10-24,2503,-23.0
2025-10-27,2488,-15.0
2025-10-28,2471,-17.0
2025-10-29,2460,-11.0
2025-10-30,2434,-26.0
2025-10-31,2414,-20.0
2025-11-03,2494,80.0
2025-11-04,2570,76.0
2025-11-05,2752,182.0
2025-11-06,2769,17.0
2025-11-07,3013,244.0
2025-11-10,3294,281.0
2025-11-11,3619,325.0
2025-11-12,3884,265.0
2025-11-13,4180,296.0
2025-11-14,4401,221.0
2025-11-17,4396,-5.0
2025-11-18,4386,-10.0
2025-11-19,3486,-900.0
2025-11-20,3503,17.0
2025-11-21,2244,-1259.0
2025-11-24,2240,-4.0
2025-11-25,2319,79.0
2025-11-26,2317,-2.0
2025-11-27,2382,65.0
2025-11-28,2408,26.0
2025-12-01,2403,-5.0
2025-12-02,2499,96.0
2025-12-03,2589,90.0
2025-12-04,2639,50.0
2025-12-05,2709,70.0
2025-12-08,2753,44.0
2025-12-09,2749,-4.0
2025-12-10,2970,221.0
2025-12-11,2967,-3.0
2025-12-12,3109,142.0
2025-12-15,3166,57.0
2025-12-16,3199,33.0
2025-12-17,3482,283.0
2025-12-18,3619,137.0
2025-12-19,3870,251.0
2025-12-22,4075,205.0
2025-12-23,4088,13.0
2025-12-24,4370,282.0
2025-12-25,4626,256.0
2025-12-26,4853,227.0
2025-12-29,5085,232.0
2025-12-30,5212,127.0
2025-12-31,5712,500.0
