date,receipt,change
2025-06-03,15305,-131.0
2025-06-04,15075,-230.0
2025-06-05,15037,-38.0
2025-06-06,15016,-21.0
2025-06-09,15016,0.0
2025-06-10,15006,-10.0
2025-06-11,14992,-14.0
2025-06-12,14838,-154.0
2025-06-13,14748,-90.0
2025-06-16,14614,-134.0
2025-06-17,14599,-15.0
2025-06-18,14706,107.0
2025-06-19,14706,0.0
2025-06-20,14706,0.0
2025-06-23,14706,0.0
2025-06-24,14706,0.0
2025-06-25,14706,0.0
2025-06-26,15336,630.0
2025-06-27,15319,-17.0
2025-06-30,15319,0.0
2025-07-01,15384,65.0
2025-07-02,15384,0.0
2025-07-03,15516,132.0
2025-07-04,15614,98.0
2025-07-07,15614,0.0
2025-07-08,15584,-30.0
2025-07-09,16002,418.0
2025-07-10,15978,-24.0
2025-07-11,16230,252.0
2025-07-14,16230,0.0
2025-07-15,16470,240.0
2025-07-16,16314,-156.0
2025-07-17,16222,-92.0
2025-07-18,16220,-2.0
2025-07-21,16172,-48.0
2025-07-22,16105,-67.0
2025-07-23,16105,0.0
2025-07-24,16071,-34.0
2025-07-25,15923,-148.0
2025-07-28,8740,
2025-07-29,8739,
2025-07-30,8739,0.0
2025-07-31,8739,0.0
2025-08-01,9188,449.0
2025-08-04,9248,
2025-08-05,9254,6.0
2025-08-06,9226,
2025-08-07,9220,-6.0
2025-08-08,9214,-6.0
2025-08-11,9214,0.0
2025-08-12,9214,0.0
2025-08-13,9214,0.0
2025-08-14,9214,0.0
2025-08-15,9214,0.0
2025-08-18,9495,281.0
2025-08-19,9495,0.0
2025-08-20,9832,337.0
2025-08-21,9826,-6.0
2025-08-22,9891,65.0
2025-08-25,10088,197.0
2025-08-26,10022,-66.0
2025-08-27,9962,-60.0
2025-08-28,10025,63.0
2025-08-29,10091,66.0
2025-09-01,10089,-2.0
2025-09-02,10089,0.0
2025-09-03,10037,-52.0
2025-09-04,10030,-7.0
2025-09-05,9986,-44.0
2025-09-08,9964,-22.0
2025-09-09,9331,-633.0
2025-09-10,9325,-6.0
2025-09-11,9194,-131.0
2025-09-12,9188,-6.0
2025-09-15,9126,-62.0
2025-09-16,8900,-226.0
2025-09-17,8871,-29.0
2025-09-18,8661,-210.0
2025-09-19,8430,-231.0
2025-09-22,8323,
2025-09-23,7640,-683.0
2025-09-24,7404,-236.0
2025-09-25,7063,-341.0
2025-09-26,6743,-320.0
2025-09-29,6155,-588.0
2025-09-30,0,-6155.0
2025-10-09,0,0.0
2025-10-10,0,0.0
2025-10-13,0,0.0
2025-10-14,0,0.0
2025-10-15,0,0.0
2025-10-16,0,0.0
2025-10-17,0,0.0
2025-10-20,0,0.0
2025-10-21,0,0.0
2025-10-22,0,0.0
2025-10-23,0,0.0
2025-10-24,0,0.0
2025-10-27,0,0.0
2025-10-28,0,0.0
2025-10-29,0,0.0
2025-10-30,0,0.0
2025-10-31,0,0.0
2025-11-03,0,0.0
2025-11-04,0,0.0
2025-11-05,0,0.0
2025-11-06,0,0.0
2025-11-07,0,0.0
2025-11-10,0,0.0
2025-11-11,0,0.0
2025-11-12,0,0.0
2025-11-13,0,0.0
2025-11-14,0,0.0
2025-11-17,0,0.0
2025-11-18,0,0.0
2025-11-19,0,0.0
2025-11-20,0,0.0
2025-11-21,0,0.0
2025-11-24,0,0.0
2025-11-25,0,0.0
2025-11-26,0,0.0
2025-11-27,0,0.0
2025-11-28,0,0.0
2025-12-01,54,54.0
2025-12-02,516,462.0
2025-12-03,624,108.0
2025-12-04,659,35.0
2025-12-05,659,0.0
2025-12-08,701,42.0
2025-12-09,686,-15.0
2025-12-10,850,164.0
2025-12-11,851,1.0
2025-12-12,883,32.0
2025-12-15,883,0.0
2025-12-16,883,0.0
2025-12-17,982,99.0
2025-12-18,982,0.0
2025-12-19,1092,110.0
2025-12-22,1092,0.0
2025-12-23,1092,0.0
2025-12-24,1092,0.0
2025-12-25,1092,0.0
2025-12-26,1092,0.0
2025-12-29,1171,79.0
2025-12-30,1342,171.0
2025-12-31,2120,778.0
